Name,CDR,Makespan
j.rnd.10x10.train.1,phi.MWR.E1,1575
j.rnd.10x10.train.2,phi.MWR.E1,1224
j.rnd.10x10.train.3,phi.MWR.E1,1324
j.rnd.10x10.train.4,phi.MWR.E1,1444
j.rnd.10x10.train.5,phi.MWR.E1,1395
j.rnd.10x10.train.6,phi.MWR.E1,1789
j.rnd.10x10.train.7,phi.MWR.E1,1432
j.rnd.10x10.train.8,phi.MWR.E1,1407
j.rnd.10x10.train.9,phi.MWR.E1,1406
j.rnd.10x10.train.10,phi.MWR.E1,1494
j.rnd.10x10.train.11,phi.MWR.E1,1400
j.rnd.10x10.train.12,phi.MWR.E1,1359
j.rnd.10x10.train.13,phi.MWR.E1,1741
j.rnd.10x10.train.14,phi.MWR.E1,1324
j.rnd.10x10.train.15,phi.MWR.E1,1507
j.rnd.10x10.train.16,phi.MWR.E1,1421
j.rnd.10x10.train.17,phi.MWR.E1,1516
j.rnd.10x10.train.18,phi.MWR.E1,1630
j.rnd.10x10.train.19,phi.MWR.E1,1447
j.rnd.10x10.train.20,phi.MWR.E1,1300
j.rnd.10x10.train.21,phi.MWR.E1,1301
j.rnd.10x10.train.22,phi.MWR.E1,1315
j.rnd.10x10.train.23,phi.MWR.E1,1804
j.rnd.10x10.train.24,phi.MWR.E1,1482
j.rnd.10x10.train.25,phi.MWR.E1,1219
j.rnd.10x10.train.26,phi.MWR.E1,1296
j.rnd.10x10.train.27,phi.MWR.E1,1353
j.rnd.10x10.train.28,phi.MWR.E1,1507
j.rnd.10x10.train.29,phi.MWR.E1,1384
j.rnd.10x10.train.30,phi.MWR.E1,1662
j.rnd.10x10.train.31,phi.MWR.E1,1694
j.rnd.10x10.train.32,phi.MWR.E1,1734
j.rnd.10x10.train.33,phi.MWR.E1,1466
j.rnd.10x10.train.34,phi.MWR.E1,1472
j.rnd.10x10.train.35,phi.MWR.E1,1655
j.rnd.10x10.train.36,phi.MWR.E1,1226
j.rnd.10x10.train.37,phi.MWR.E1,1499
j.rnd.10x10.train.38,phi.MWR.E1,1219
j.rnd.10x10.train.39,phi.MWR.E1,1320
