Name,CDR,Makespan,BestFoundMakespan
j.rnd_pj1doubled.6x5.train.1,phi.MWR.E1,858,755
j.rnd_pj1doubled.6x5.train.2,phi.MWR.E1,645,549
j.rnd_pj1doubled.6x5.train.3,phi.MWR.E1,733,446
j.rnd_pj1doubled.6x5.train.4,phi.MWR.E1,988,670
j.rnd_pj1doubled.6x5.train.5,phi.MWR.E1,927,745
j.rnd_pj1doubled.6x5.train.6,phi.MWR.E1,1006,771
j.rnd_pj1doubled.6x5.train.7,phi.MWR.E1,923,695
j.rnd_pj1doubled.6x5.train.8,phi.MWR.E1,891,654
j.rnd_pj1doubled.6x5.train.9,phi.MWR.E1,808,574
j.rnd_pj1doubled.6x5.train.10,phi.MWR.E1,1007,833
j.rnd_pj1doubled.6x5.train.11,phi.MWR.E1,936,783
j.rnd_pj1doubled.6x5.train.12,phi.MWR.E1,855,502
j.rnd_pj1doubled.6x5.train.13,phi.MWR.E1,1165,848
j.rnd_pj1doubled.6x5.train.14,phi.MWR.E1,1038,668
j.rnd_pj1doubled.6x5.train.15,phi.MWR.E1,1025,715
j.rnd_pj1doubled.6x5.train.16,phi.MWR.E1,1298,999
j.rnd_pj1doubled.6x5.train.17,phi.MWR.E1,1096,883
j.rnd_pj1doubled.6x5.train.18,phi.MWR.E1,1077,720
j.rnd_pj1doubled.6x5.train.19,phi.MWR.E1,1097,704
j.rnd_pj1doubled.6x5.train.20,phi.MWR.E1,891,634
j.rnd_pj1doubled.6x5.train.21,phi.MWR.E1,821,524
j.rnd_pj1doubled.6x5.train.22,phi.MWR.E1,1040,820
j.rnd_pj1doubled.6x5.train.23,phi.MWR.E1,1003,746
j.rnd_pj1doubled.6x5.train.24,phi.MWR.E1,792,610
j.rnd_pj1doubled.6x5.train.25,phi.MWR.E1,741,555
j.rnd_pj1doubled.6x5.train.26,phi.MWR.E1,1103,780
j.rnd_pj1doubled.6x5.train.27,phi.MWR.E1,979,691
j.rnd_pj1doubled.6x5.train.28,phi.MWR.E1,891,636
j.rnd_pj1doubled.6x5.train.29,phi.MWR.E1,844,696
