Name,CDR,Makespan,BestFoundMakespan
j.rnd_p1mdoubled.6x5.train.1,phi.RNDmax.E1,1231,766
j.rnd_p1mdoubled.6x5.train.2,phi.RNDmax.E1,1007,576
j.rnd_p1mdoubled.6x5.train.3,phi.RNDmax.E1,862,467
j.rnd_p1mdoubled.6x5.train.4,phi.RNDmax.E1,1375,984
j.rnd_p1mdoubled.6x5.train.5,phi.RNDmax.E1,1022,667
j.rnd_p1mdoubled.6x5.train.6,phi.RNDmax.E1,1062,610
j.rnd_p1mdoubled.6x5.train.7,phi.RNDmax.E1,985,691
j.rnd_p1mdoubled.6x5.train.8,phi.RNDmax.E1,969,654
j.rnd_p1mdoubled.6x5.train.9,phi.RNDmax.E1,911,446
j.rnd_p1mdoubled.6x5.train.10,phi.RNDmax.E1,1260,818
j.rnd_p1mdoubled.6x5.train.11,phi.RNDmax.E1,1059,636
j.rnd_p1mdoubled.6x5.train.12,phi.RNDmax.E1,1006,669
j.rnd_p1mdoubled.6x5.train.13,phi.RNDmax.E1,1055,670
j.rnd_p1mdoubled.6x5.train.14,phi.RNDmax.E1,1057,658
j.rnd_p1mdoubled.6x5.train.15,phi.RNDmax.E1,976,511
j.rnd_p1mdoubled.6x5.train.16,phi.RNDmax.E1,1285,891
j.rnd_p1mdoubled.6x5.train.17,phi.RNDmax.E1,1305,886
j.rnd_p1mdoubled.6x5.train.18,phi.RNDmax.E1,986,528
j.rnd_p1mdoubled.6x5.train.19,phi.RNDmax.E1,1291,894
j.rnd_p1mdoubled.6x5.train.20,phi.RNDmax.E1,907,496
j.rnd_p1mdoubled.6x5.train.21,phi.RNDmax.E1,959,508
j.rnd_p1mdoubled.6x5.train.22,phi.RNDmax.E1,1148,809
j.rnd_p1mdoubled.6x5.train.23,phi.RNDmax.E1,1145,709
j.rnd_p1mdoubled.6x5.train.24,phi.RNDmax.E1,851,551
j.rnd_p1mdoubled.6x5.train.25,phi.RNDmax.E1,959,526
j.rnd_p1mdoubled.6x5.train.26,phi.RNDmax.E1,1047,531
j.rnd_p1mdoubled.6x5.train.27,phi.RNDmax.E1,857,510
j.rnd_p1mdoubled.6x5.train.28,phi.RNDmax.E1,723,403
j.rnd_p1mdoubled.6x5.train.29,phi.RNDmax.E1,1227,814
j.rnd_p1mdoubled.6x5.train.30,phi.RNDmax.E1,972,565
j.rnd_p1mdoubled.6x5.train.31,phi.RNDmax.E1,872,469
j.rnd_p1mdoubled.6x5.train.32,phi.RNDmax.E1,1199,736
j.rnd_p1mdoubled.6x5.train.33,phi.RNDmax.E1,1170,742
j.rnd_p1mdoubled.6x5.train.34,phi.RNDmax.E1,913,668
j.rnd_p1mdoubled.6x5.train.35,phi.RNDmax.E1,1438,950
j.rnd_p1mdoubled.6x5.train.36,phi.RNDmax.E1,1022,582
j.rnd_p1mdoubled.6x5.train.37,phi.RNDmax.E1,966,566
j.rnd_p1mdoubled.6x5.train.38,phi.RNDmax.E1,1284,852
j.rnd_p1mdoubled.6x5.train.39,phi.RNDmax.E1,1021,574
j.rnd_p1mdoubled.6x5.train.40,phi.RNDmax.E1,836,580
j.rnd_p1mdoubled.6x5.train.41,phi.RNDmax.E1,1144,618
j.rnd_p1mdoubled.6x5.train.42,phi.RNDmax.E1,991,592
j.rnd_p1mdoubled.6x5.train.43,phi.RNDmax.E1,731,413
j.rnd_p1mdoubled.6x5.train.44,phi.RNDmax.E1,986,678
j.rnd_p1mdoubled.6x5.train.45,phi.RNDmax.E1,927,506
j.rnd_p1mdoubled.6x5.train.46,phi.RNDmax.E1,1095,660
j.rnd_p1mdoubled.6x5.train.47,phi.RNDmax.E1,1192,816
j.rnd_p1mdoubled.6x5.train.48,phi.RNDmax.E1,1282,822
j.rnd_p1mdoubled.6x5.train.49,phi.RNDmax.E1,949,464
j.rnd_p1mdoubled.6x5.train.50,phi.RNDmax.E1,861,521
j.rnd_p1mdoubled.6x5.train.51,phi.RNDmax.E1,1209,943
j.rnd_p1mdoubled.6x5.train.52,phi.RNDmax.E1,1027,691
j.rnd_p1mdoubled.6x5.train.53,phi.RNDmax.E1,859,544
j.rnd_p1mdoubled.6x5.train.54,phi.RNDmax.E1,1187,678
j.rnd_p1mdoubled.6x5.train.55,phi.RNDmax.E1,968,528
j.rnd_p1mdoubled.6x5.train.56,phi.RNDmax.E1,1080,518
j.rnd_p1mdoubled.6x5.train.57,phi.RNDmax.E1,1065,713
j.rnd_p1mdoubled.6x5.train.58,phi.RNDmax.E1,1163,705
j.rnd_p1mdoubled.6x5.train.59,phi.RNDmax.E1,929,514
j.rnd_p1mdoubled.6x5.train.60,phi.RNDmax.E1,1200,703
j.rnd_p1mdoubled.6x5.train.61,phi.RNDmax.E1,942,543
j.rnd_p1mdoubled.6x5.train.62,phi.RNDmax.E1,1004,522
j.rnd_p1mdoubled.6x5.train.63,phi.RNDmax.E1,1342,978
j.rnd_p1mdoubled.6x5.train.64,phi.RNDmax.E1,1303,904
j.rnd_p1mdoubled.6x5.train.65,phi.RNDmax.E1,1031,512
j.rnd_p1mdoubled.6x5.train.66,phi.RNDmax.E1,1121,718
j.rnd_p1mdoubled.6x5.train.67,phi.RNDmax.E1,844,605
j.rnd_p1mdoubled.6x5.train.68,phi.RNDmax.E1,823,504
j.rnd_p1mdoubled.6x5.train.69,phi.RNDmax.E1,1094,930
j.rnd_p1mdoubled.6x5.train.70,phi.RNDmax.E1,1067,593
j.rnd_p1mdoubled.6x5.train.71,phi.RNDmax.E1,897,548
j.rnd_p1mdoubled.6x5.train.72,phi.RNDmax.E1,1195,782
j.rnd_p1mdoubled.6x5.train.73,phi.RNDmax.E1,1019,618
j.rnd_p1mdoubled.6x5.train.74,phi.RNDmax.E1,707,392
j.rnd_p1mdoubled.6x5.train.75,phi.RNDmax.E1,1035,592
j.rnd_p1mdoubled.6x5.train.76,phi.RNDmax.E1,1020,574
j.rnd_p1mdoubled.6x5.train.77,phi.RNDmax.E1,1072,613
j.rnd_p1mdoubled.6x5.train.78,phi.RNDmax.E1,936,503
j.rnd_p1mdoubled.6x5.train.79,phi.RNDmax.E1,1159,784
j.rnd_p1mdoubled.6x5.train.80,phi.RNDmax.E1,900,432
j.rnd_p1mdoubled.6x5.train.81,phi.RNDmax.E1,979,598
j.rnd_p1mdoubled.6x5.train.82,phi.RNDmax.E1,1235,804
j.rnd_p1mdoubled.6x5.train.83,phi.RNDmax.E1,1028,688
j.rnd_p1mdoubled.6x5.train.84,phi.RNDmax.E1,865,464
j.rnd_p1mdoubled.6x5.train.85,phi.RNDmax.E1,1132,835
