Name,CDR,Makespan,BestFoundMakespan
j.rnd_pj1doubled.6x5.train.1,phi.RNDmax.E1,1207,635
j.rnd_pj1doubled.6x5.train.2,phi.RNDmax.E1,820,468
j.rnd_pj1doubled.6x5.train.3,phi.RNDmax.E1,793,393
j.rnd_pj1doubled.6x5.train.4,phi.RNDmax.E1,988,583
j.rnd_pj1doubled.6x5.train.5,phi.RNDmax.E1,970,604
j.rnd_pj1doubled.6x5.train.6,phi.RNDmax.E1,1013,623
j.rnd_pj1doubled.6x5.train.7,phi.RNDmax.E1,983,571
j.rnd_pj1doubled.6x5.train.8,phi.RNDmax.E1,873,501
j.rnd_pj1doubled.6x5.train.9,phi.RNDmax.E1,928,480
j.rnd_pj1doubled.6x5.train.10,phi.RNDmax.E1,1028,595
j.rnd_pj1doubled.6x5.train.11,phi.RNDmax.E1,1000,637
j.rnd_pj1doubled.6x5.train.12,phi.RNDmax.E1,885,452
j.rnd_pj1doubled.6x5.train.13,phi.RNDmax.E1,1255,758
j.rnd_pj1doubled.6x5.train.14,phi.RNDmax.E1,1120,548
j.rnd_pj1doubled.6x5.train.15,phi.RNDmax.E1,1170,600
j.rnd_pj1doubled.6x5.train.16,phi.RNDmax.E1,1296,740
j.rnd_pj1doubled.6x5.train.17,phi.RNDmax.E1,1156,762
j.rnd_pj1doubled.6x5.train.18,phi.RNDmax.E1,1084,601
j.rnd_pj1doubled.6x5.train.19,phi.RNDmax.E1,1141,631
j.rnd_pj1doubled.6x5.train.20,phi.RNDmax.E1,875,445
j.rnd_pj1doubled.6x5.train.21,phi.RNDmax.E1,842,475
j.rnd_pj1doubled.6x5.train.22,phi.RNDmax.E1,1071,658
j.rnd_pj1doubled.6x5.train.23,phi.RNDmax.E1,1080,613
j.rnd_pj1doubled.6x5.train.24,phi.RNDmax.E1,979,488
j.rnd_pj1doubled.6x5.train.25,phi.RNDmax.E1,835,517
j.rnd_pj1doubled.6x5.train.26,phi.RNDmax.E1,1010,565
j.rnd_pj1doubled.6x5.train.27,phi.RNDmax.E1,958,555
j.rnd_pj1doubled.6x5.train.28,phi.RNDmax.E1,1050,538
j.rnd_pj1doubled.6x5.train.29,phi.RNDmax.E1,957,591
j.rnd_pj1doubled.6x5.train.30,phi.RNDmax.E1,1165,588
j.rnd_pj1doubled.6x5.train.31,phi.RNDmax.E1,963,498
j.rnd_pj1doubled.6x5.train.32,phi.RNDmax.E1,1189,647
j.rnd_pj1doubled.6x5.train.33,phi.RNDmax.E1,865,497
j.rnd_pj1doubled.6x5.train.34,phi.RNDmax.E1,1044,631
j.rnd_pj1doubled.6x5.train.35,phi.RNDmax.E1,1351,732
j.rnd_pj1doubled.6x5.train.36,phi.RNDmax.E1,1039,582
j.rnd_pj1doubled.6x5.train.37,phi.RNDmax.E1,1055,532
j.rnd_pj1doubled.6x5.train.38,phi.RNDmax.E1,1179,657
j.rnd_pj1doubled.6x5.train.39,phi.RNDmax.E1,1015,544
j.rnd_pj1doubled.6x5.train.40,phi.RNDmax.E1,757,420
j.rnd_pj1doubled.6x5.train.41,phi.RNDmax.E1,879,483
j.rnd_pj1doubled.6x5.train.42,phi.RNDmax.E1,954,538
j.rnd_pj1doubled.6x5.train.43,phi.RNDmax.E1,734,413
j.rnd_pj1doubled.6x5.train.44,phi.RNDmax.E1,1077,542
j.rnd_pj1doubled.6x5.train.45,phi.RNDmax.E1,891,549
j.rnd_pj1doubled.6x5.train.46,phi.RNDmax.E1,1156,661
j.rnd_pj1doubled.6x5.train.47,phi.RNDmax.E1,1255,726
j.rnd_pj1doubled.6x5.train.48,phi.RNDmax.E1,989,567
j.rnd_pj1doubled.6x5.train.49,phi.RNDmax.E1,957,558
j.rnd_pj1doubled.6x5.train.50,phi.RNDmax.E1,1075,605
j.rnd_pj1doubled.6x5.train.51,phi.RNDmax.E1,1169,637
j.rnd_pj1doubled.6x5.train.52,phi.RNDmax.E1,1082,645
j.rnd_pj1doubled.6x5.train.53,phi.RNDmax.E1,923,566
j.rnd_pj1doubled.6x5.train.54,phi.RNDmax.E1,1297,724
j.rnd_pj1doubled.6x5.train.55,phi.RNDmax.E1,1155,604
j.rnd_pj1doubled.6x5.train.56,phi.RNDmax.E1,1014,575
j.rnd_pj1doubled.6x5.train.57,phi.RNDmax.E1,779,524
j.rnd_pj1doubled.6x5.train.58,phi.RNDmax.E1,1086,610
j.rnd_pj1doubled.6x5.train.59,phi.RNDmax.E1,1028,546
j.rnd_pj1doubled.6x5.train.60,phi.RNDmax.E1,956,610
j.rnd_pj1doubled.6x5.train.61,phi.RNDmax.E1,919,595
j.rnd_pj1doubled.6x5.train.62,phi.RNDmax.E1,911,437
j.rnd_pj1doubled.6x5.train.63,phi.RNDmax.E1,1156,657
j.rnd_pj1doubled.6x5.train.64,phi.RNDmax.E1,1235,603
j.rnd_pj1doubled.6x5.train.65,phi.RNDmax.E1,843,525
j.rnd_pj1doubled.6x5.train.66,phi.RNDmax.E1,1216,718
j.rnd_pj1doubled.6x5.train.67,phi.RNDmax.E1,998,520
j.rnd_pj1doubled.6x5.train.68,phi.RNDmax.E1,1008,553
j.rnd_pj1doubled.6x5.train.69,phi.RNDmax.E1,1050,592
j.rnd_pj1doubled.6x5.train.70,phi.RNDmax.E1,1068,599
j.rnd_pj1doubled.6x5.train.71,phi.RNDmax.E1,1195,714
j.rnd_pj1doubled.6x5.train.72,phi.RNDmax.E1,1270,716
j.rnd_pj1doubled.6x5.train.73,phi.RNDmax.E1,1132,531
j.rnd_pj1doubled.6x5.train.74,phi.RNDmax.E1,818,408
j.rnd_pj1doubled.6x5.train.75,phi.RNDmax.E1,1187,721
j.rnd_pj1doubled.6x5.train.76,phi.RNDmax.E1,1010,543
j.rnd_pj1doubled.6x5.train.77,phi.RNDmax.E1,816,430
j.rnd_pj1doubled.6x5.train.78,phi.RNDmax.E1,1006,543
j.rnd_pj1doubled.6x5.train.79,phi.RNDmax.E1,1114,566
j.rnd_pj1doubled.6x5.train.80,phi.RNDmax.E1,849,521
j.rnd_pj1doubled.6x5.train.81,phi.RNDmax.E1,809,420
j.rnd_pj1doubled.6x5.train.82,phi.RNDmax.E1,1055,516
j.rnd_pj1doubled.6x5.train.83,phi.RNDmax.E1,1141,721
j.rnd_pj1doubled.6x5.train.84,phi.RNDmax.E1,815,450
j.rnd_pj1doubled.6x5.train.85,phi.RNDmax.E1,1086,573
j.rnd_pj1doubled.6x5.train.86,phi.RNDmax.E1,723,432
j.rnd_pj1doubled.6x5.train.87,phi.RNDmax.E1,1002,561
j.rnd_pj1doubled.6x5.train.88,phi.RNDmax.E1,1022,523
j.rnd_pj1doubled.6x5.train.89,phi.RNDmax.E1,888,520
j.rnd_pj1doubled.6x5.train.90,phi.RNDmax.E1,971,605
j.rnd_pj1doubled.6x5.train.91,phi.RNDmax.E1,1115,710
j.rnd_pj1doubled.6x5.train.92,phi.RNDmax.E1,1196,706
j.rnd_pj1doubled.6x5.train.93,phi.RNDmax.E1,945,509
j.rnd_pj1doubled.6x5.train.94,phi.RNDmax.E1,1144,721
j.rnd_pj1doubled.6x5.train.95,phi.RNDmax.E1,956,557
j.rnd_pj1doubled.6x5.train.96,phi.RNDmax.E1,904,506
j.rnd_pj1doubled.6x5.train.97,phi.RNDmax.E1,1008,550
j.rnd_pj1doubled.6x5.train.98,phi.RNDmax.E1,871,473
j.rnd_pj1doubled.6x5.train.99,phi.RNDmax.E1,1022,562
j.rnd_pj1doubled.6x5.train.100,phi.RNDmax.E1,1116,650
j.rnd_pj1doubled.6x5.train.101,phi.RNDmax.E1,854,519
j.rnd_pj1doubled.6x5.train.102,phi.RNDmax.E1,988,575
j.rnd_pj1doubled.6x5.train.103,phi.RNDmax.E1,978,504
j.rnd_pj1doubled.6x5.train.104,phi.RNDmax.E1,1202,702
j.rnd_pj1doubled.6x5.train.105,phi.RNDmax.E1,935,519
j.rnd_pj1doubled.6x5.train.106,phi.RNDmax.E1,894,463
j.rnd_pj1doubled.6x5.train.107,phi.RNDmax.E1,1181,708
j.rnd_pj1doubled.6x5.train.108,phi.RNDmax.E1,918,500
j.rnd_pj1doubled.6x5.train.109,phi.RNDmax.E1,991,561
j.rnd_pj1doubled.6x5.train.110,phi.RNDmax.E1,1004,575
j.rnd_pj1doubled.6x5.train.111,phi.RNDmax.E1,1089,559
j.rnd_pj1doubled.6x5.train.112,phi.RNDmax.E1,999,572
j.rnd_pj1doubled.6x5.train.113,phi.RNDmax.E1,949,581
j.rnd_pj1doubled.6x5.train.114,phi.RNDmax.E1,1062,550
j.rnd_pj1doubled.6x5.train.115,phi.RNDmax.E1,812,455
j.rnd_pj1doubled.6x5.train.116,phi.RNDmax.E1,1172,550
j.rnd_pj1doubled.6x5.train.117,phi.RNDmax.E1,755,460
