Name,CDR,Makespan,BestFoundMakespan
f.jc.6x5.train.1,phi.RNDmean.E1,1258,820
f.jc.6x5.train.2,phi.RNDmean.E1,528,387
f.jc.6x5.train.3,phi.RNDmean.E1,460,296
f.jc.6x5.train.4,phi.RNDmean.E1,796,536
f.jc.6x5.train.5,phi.RNDmean.E1,860,576
f.jc.6x5.train.6,phi.RNDmean.E1,922,635
f.jc.6x5.train.7,phi.RNDmean.E1,1153,739
f.jc.6x5.train.8,phi.RNDmean.E1,1025,686
f.jc.6x5.train.9,phi.RNDmean.E1,581,380
f.jc.6x5.train.10,phi.RNDmean.E1,661,433
f.jc.6x5.train.11,phi.RNDmean.E1,778,544
f.jc.6x5.train.12,phi.RNDmean.E1,656,463
f.jc.6x5.train.13,phi.RNDmean.E1,1043,688
f.jc.6x5.train.14,phi.RNDmean.E1,1043,692
f.jc.6x5.train.15,phi.RNDmean.E1,1210,806
f.jc.6x5.train.16,phi.RNDmean.E1,1064,729
f.jc.6x5.train.17,phi.RNDmean.E1,637,398
f.jc.6x5.train.18,phi.RNDmean.E1,600,450
f.jc.6x5.train.19,phi.RNDmean.E1,857,559
f.jc.6x5.train.20,phi.RNDmean.E1,943,597
f.jc.6x5.train.21,phi.RNDmean.E1,871,599
f.jc.6x5.train.22,phi.RNDmean.E1,996,665
f.jc.6x5.train.23,phi.RNDmean.E1,1030,695
f.jc.6x5.train.24,phi.RNDmean.E1,1232,823
f.jc.6x5.train.25,phi.RNDmean.E1,267,189
f.jc.6x5.train.26,phi.RNDmean.E1,682,461
f.jc.6x5.train.27,phi.RNDmean.E1,684,419
f.jc.6x5.train.28,phi.RNDmean.E1,848,557
f.jc.6x5.train.29,phi.RNDmean.E1,968,637
f.jc.6x5.train.30,phi.RNDmean.E1,1133,715
f.jc.6x5.train.31,phi.RNDmean.E1,1180,795
f.jc.6x5.train.32,phi.RNDmean.E1,583,390
f.jc.6x5.train.33,phi.RNDmean.E1,670,426
f.jc.6x5.train.34,phi.RNDmean.E1,776,509
f.jc.6x5.train.35,phi.RNDmean.E1,907,591
f.jc.6x5.train.36,phi.RNDmean.E1,884,603
f.jc.6x5.train.37,phi.RNDmean.E1,922,593
f.jc.6x5.train.38,phi.RNDmean.E1,1171,739
f.jc.6x5.train.39,phi.RNDmean.E1,1133,740
f.jc.6x5.train.40,phi.RNDmean.E1,275,178
f.jc.6x5.train.41,phi.RNDmean.E1,646,439
f.jc.6x5.train.42,phi.RNDmean.E1,735,476
f.jc.6x5.train.43,phi.RNDmean.E1,762,519
f.jc.6x5.train.44,phi.RNDmean.E1,1001,646
f.jc.6x5.train.45,phi.RNDmean.E1,977,668
f.jc.6x5.train.46,phi.RNDmean.E1,1197,791
f.jc.6x5.train.47,phi.RNDmean.E1,599,409
f.jc.6x5.train.48,phi.RNDmean.E1,563,361
f.jc.6x5.train.49,phi.RNDmean.E1,592,449
f.jc.6x5.train.50,phi.RNDmean.E1,823,546
f.jc.6x5.train.51,phi.RNDmean.E1,905,568
f.jc.6x5.train.52,phi.RNDmean.E1,1054,713
f.jc.6x5.train.53,phi.RNDmean.E1,873,641
f.jc.6x5.train.54,phi.RNDmean.E1,1354,861
f.jc.6x5.train.55,phi.RNDmean.E1,647,424
f.jc.6x5.train.56,phi.RNDmean.E1,685,442
f.jc.6x5.train.57,phi.RNDmean.E1,760,510
f.jc.6x5.train.58,phi.RNDmean.E1,813,551
f.jc.6x5.train.59,phi.RNDmean.E1,876,568
f.jc.6x5.train.60,phi.RNDmean.E1,1109,694
f.jc.6x5.train.61,phi.RNDmean.E1,1100,759
f.jc.6x5.train.62,phi.RNDmean.E1,1223,822
f.jc.6x5.train.63,phi.RNDmean.E1,588,387
f.jc.6x5.train.64,phi.RNDmean.E1,646,461
f.jc.6x5.train.65,phi.RNDmean.E1,681,487
f.jc.6x5.train.66,phi.RNDmean.E1,853,574
f.jc.6x5.train.67,phi.RNDmean.E1,954,628
f.jc.6x5.train.68,phi.RNDmean.E1,1003,703
