Name,CDR,Makespan
j.rnd.10x10.train.1,phi.RNDmean.E1,1518
j.rnd.10x10.train.2,phi.RNDmean.E1,1448
j.rnd.10x10.train.3,phi.RNDmean.E1,1385
j.rnd.10x10.train.4,phi.RNDmean.E1,1548
j.rnd.10x10.train.5,phi.RNDmean.E1,1543
j.rnd.10x10.train.6,phi.RNDmean.E1,1547
j.rnd.10x10.train.7,phi.RNDmean.E1,1700
j.rnd.10x10.train.8,phi.RNDmean.E1,1343
j.rnd.10x10.train.9,phi.RNDmean.E1,1503
j.rnd.10x10.train.10,phi.RNDmean.E1,1586
j.rnd.10x10.train.11,phi.RNDmean.E1,1641
j.rnd.10x10.train.12,phi.RNDmean.E1,1474
j.rnd.10x10.train.13,phi.RNDmean.E1,1926
j.rnd.10x10.train.14,phi.RNDmean.E1,1478
j.rnd.10x10.train.15,phi.RNDmean.E1,1781
j.rnd.10x10.train.16,phi.RNDmean.E1,1500
j.rnd.10x10.train.17,phi.RNDmean.E1,1518
j.rnd.10x10.train.18,phi.RNDmean.E1,1535
j.rnd.10x10.train.19,phi.RNDmean.E1,1548
j.rnd.10x10.train.20,phi.RNDmean.E1,1429
j.rnd.10x10.train.21,phi.RNDmean.E1,1550
j.rnd.10x10.train.22,phi.RNDmean.E1,1474
j.rnd.10x10.train.23,phi.RNDmean.E1,1631
j.rnd.10x10.train.24,phi.RNDmean.E1,1563
j.rnd.10x10.train.25,phi.RNDmean.E1,1387
j.rnd.10x10.train.26,phi.RNDmean.E1,1321
j.rnd.10x10.train.27,phi.RNDmean.E1,1286
j.rnd.10x10.train.28,phi.RNDmean.E1,1309
j.rnd.10x10.train.29,phi.RNDmean.E1,1485
j.rnd.10x10.train.30,phi.RNDmean.E1,1564
j.rnd.10x10.train.31,phi.RNDmean.E1,1624
j.rnd.10x10.train.32,phi.RNDmean.E1,1487
j.rnd.10x10.train.33,phi.RNDmean.E1,1571
j.rnd.10x10.train.34,phi.RNDmean.E1,1516
j.rnd.10x10.train.35,phi.RNDmean.E1,1690
j.rnd.10x10.train.36,phi.RNDmean.E1,1403
j.rnd.10x10.train.37,phi.RNDmean.E1,1745
j.rnd.10x10.train.38,phi.RNDmean.E1,1471
j.rnd.10x10.train.39,phi.RNDmean.E1,1484
j.rnd.10x10.train.40,phi.RNDmean.E1,1431
j.rnd.10x10.train.41,phi.RNDmean.E1,1593
j.rnd.10x10.train.42,phi.RNDmean.E1,1652
j.rnd.10x10.train.43,phi.RNDmean.E1,1453
j.rnd.10x10.train.44,phi.RNDmean.E1,1530
j.rnd.10x10.train.45,phi.RNDmean.E1,1599
j.rnd.10x10.train.46,phi.RNDmean.E1,1556
j.rnd.10x10.train.47,phi.RNDmean.E1,1470
j.rnd.10x10.train.48,phi.RNDmean.E1,1538
j.rnd.10x10.train.49,phi.RNDmean.E1,1575
j.rnd.10x10.train.50,phi.RNDmean.E1,1519
j.rnd.10x10.train.51,phi.RNDmean.E1,1505
j.rnd.10x10.train.52,phi.RNDmean.E1,1605
j.rnd.10x10.train.53,phi.RNDmean.E1,1404
j.rnd.10x10.train.54,phi.RNDmean.E1,1671
j.rnd.10x10.train.55,phi.RNDmean.E1,1682
j.rnd.10x10.train.56,phi.RNDmean.E1,1497
j.rnd.10x10.train.57,phi.RNDmean.E1,1631
j.rnd.10x10.train.58,phi.RNDmean.E1,1594
j.rnd.10x10.train.59,phi.RNDmean.E1,1532
j.rnd.10x10.train.60,phi.RNDmean.E1,1558
j.rnd.10x10.train.61,phi.RNDmean.E1,1571
j.rnd.10x10.train.62,phi.RNDmean.E1,1437
j.rnd.10x10.train.63,phi.RNDmean.E1,1544
j.rnd.10x10.train.64,phi.RNDmean.E1,1489
j.rnd.10x10.train.65,phi.RNDmean.E1,1542
j.rnd.10x10.train.66,phi.RNDmean.E1,1570
j.rnd.10x10.train.67,phi.RNDmean.E1,1379
j.rnd.10x10.train.68,phi.RNDmean.E1,1315
j.rnd.10x10.train.69,phi.RNDmean.E1,1694
j.rnd.10x10.train.70,phi.RNDmean.E1,1586
j.rnd.10x10.train.71,phi.RNDmean.E1,1567
j.rnd.10x10.train.72,phi.RNDmean.E1,1492
j.rnd.10x10.train.73,phi.RNDmean.E1,1481
j.rnd.10x10.train.74,phi.RNDmean.E1,1335
j.rnd.10x10.train.75,phi.RNDmean.E1,1691
j.rnd.10x10.train.76,phi.RNDmean.E1,1465
j.rnd.10x10.train.77,phi.RNDmean.E1,1509
j.rnd.10x10.train.78,phi.RNDmean.E1,1632
j.rnd.10x10.train.79,phi.RNDmean.E1,1506
j.rnd.10x10.train.80,phi.RNDmean.E1,1394
j.rnd.10x10.train.81,phi.RNDmean.E1,1423
j.rnd.10x10.train.82,phi.RNDmean.E1,1457
j.rnd.10x10.train.83,phi.RNDmean.E1,1545
j.rnd.10x10.train.84,phi.RNDmean.E1,1310
j.rnd.10x10.train.85,phi.RNDmean.E1,1368
j.rnd.10x10.train.86,phi.RNDmean.E1,1410
j.rnd.10x10.train.87,phi.RNDmean.E1,1484
j.rnd.10x10.train.88,phi.RNDmean.E1,1628
j.rnd.10x10.train.89,phi.RNDmean.E1,1334
j.rnd.10x10.train.90,phi.RNDmean.E1,1612
j.rnd.10x10.train.91,phi.RNDmean.E1,1408
