Name,CDR,Makespan,BestFoundMakespan
j.rndn.10x10.train.1,phi.RNDmin.E1,1175,877
j.rndn.10x10.train.2,phi.RNDmin.E1,1166,770
j.rndn.10x10.train.3,phi.RNDmin.E1,1385,799
j.rndn.10x10.train.4,phi.RNDmin.E1,1256,831
j.rndn.10x10.train.5,phi.RNDmin.E1,1234,816
j.rndn.10x10.train.6,phi.RNDmin.E1,1278,831
j.rndn.10x10.train.7,phi.RNDmin.E1,1356,911
j.rndn.10x10.train.8,phi.RNDmin.E1,1157,866
j.rndn.10x10.train.9,phi.RNDmin.E1,1091,825
j.rndn.10x10.train.10,phi.RNDmin.E1,1070,768
j.rndn.10x10.train.11,phi.RNDmin.E1,1244,843
j.rndn.10x10.train.12,phi.RNDmin.E1,1203,811
j.rndn.10x10.train.13,phi.RNDmin.E1,1284,861
j.rndn.10x10.train.14,phi.RNDmin.E1,1047,816
j.rndn.10x10.train.15,phi.RNDmin.E1,1262,859
j.rndn.10x10.train.16,phi.RNDmin.E1,1248,859
j.rndn.10x10.train.17,phi.RNDmin.E1,1242,826
j.rndn.10x10.train.18,phi.RNDmin.E1,1132,852
j.rndn.10x10.train.19,phi.RNDmin.E1,1391,869
j.rndn.10x10.train.20,phi.RNDmin.E1,1295,866
j.rndn.10x10.train.21,phi.RNDmin.E1,1300,861
j.rndn.10x10.train.22,phi.RNDmin.E1,1036,843
j.rndn.10x10.train.23,phi.RNDmin.E1,1318,867
j.rndn.10x10.train.24,phi.RNDmin.E1,1206,852
j.rndn.10x10.train.25,phi.RNDmin.E1,1251,858
j.rndn.10x10.train.26,phi.RNDmin.E1,1270,847
j.rndn.10x10.train.27,phi.RNDmin.E1,1354,807
j.rndn.10x10.train.28,phi.RNDmin.E1,1189,871
j.rndn.10x10.train.29,phi.RNDmin.E1,1137,841
j.rndn.10x10.train.30,phi.RNDmin.E1,1112,855
j.rndn.10x10.train.31,phi.RNDmin.E1,1213,821
j.rndn.10x10.train.32,phi.RNDmin.E1,1201,855
j.rndn.10x10.train.33,phi.RNDmin.E1,1148,807
j.rndn.10x10.train.34,phi.RNDmin.E1,1213,809
j.rndn.10x10.train.35,phi.RNDmin.E1,1252,825
j.rndn.10x10.train.36,phi.RNDmin.E1,1158,812
j.rndn.10x10.train.37,phi.RNDmin.E1,1220,819
j.rndn.10x10.train.38,phi.RNDmin.E1,1289,817
j.rndn.10x10.train.39,phi.RNDmin.E1,1134,819
j.rndn.10x10.train.40,phi.RNDmin.E1,1179,888
j.rndn.10x10.train.41,phi.RNDmin.E1,1139,847
j.rndn.10x10.train.42,phi.RNDmin.E1,1331,825
j.rndn.10x10.train.43,phi.RNDmin.E1,1153,811
j.rndn.10x10.train.44,phi.RNDmin.E1,1337,868
j.rndn.10x10.train.45,phi.RNDmin.E1,1111,858
j.rndn.10x10.train.46,phi.RNDmin.E1,1246,869
j.rndn.10x10.train.47,phi.RNDmin.E1,1163,826
j.rndn.10x10.train.48,phi.RNDmin.E1,1397,865
j.rndn.10x10.train.49,phi.RNDmin.E1,1150,810
j.rndn.10x10.train.50,phi.RNDmin.E1,1212,857
j.rndn.10x10.train.51,phi.RNDmin.E1,1105,848
j.rndn.10x10.train.52,phi.RNDmin.E1,1260,870
j.rndn.10x10.train.53,phi.RNDmin.E1,1297,804
j.rndn.10x10.train.54,phi.RNDmin.E1,1203,869
j.rndn.10x10.train.55,phi.RNDmin.E1,1236,812
j.rndn.10x10.train.56,phi.RNDmin.E1,1203,855
j.rndn.10x10.train.57,phi.RNDmin.E1,1242,905
j.rndn.10x10.train.58,phi.RNDmin.E1,1302,864
j.rndn.10x10.train.59,phi.RNDmin.E1,1230,867
j.rndn.10x10.train.60,phi.RNDmin.E1,1087,795
j.rndn.10x10.train.61,phi.RNDmin.E1,1116,870
j.rndn.10x10.train.62,phi.RNDmin.E1,1198,865
j.rndn.10x10.train.63,phi.RNDmin.E1,1324,831
j.rndn.10x10.train.64,phi.RNDmin.E1,1256,830
j.rndn.10x10.train.65,phi.RNDmin.E1,1255,901
j.rndn.10x10.train.66,phi.RNDmin.E1,1376,865
