Name,CDR,Makespan,BestFoundMakespan
j.rnd_p1mdoubled.6x5.train.1,phi.RNDstd.E-1,965,766
j.rnd_p1mdoubled.6x5.train.2,phi.RNDstd.E-1,733,576
j.rnd_p1mdoubled.6x5.train.3,phi.RNDstd.E-1,505,467
j.rnd_p1mdoubled.6x5.train.4,phi.RNDstd.E-1,984,984
j.rnd_p1mdoubled.6x5.train.5,phi.RNDstd.E-1,735,667
j.rnd_p1mdoubled.6x5.train.6,phi.RNDstd.E-1,683,600
j.rnd_p1mdoubled.6x5.train.7,phi.RNDstd.E-1,734,691
j.rnd_p1mdoubled.6x5.train.8,phi.RNDstd.E-1,745,662
j.rnd_p1mdoubled.6x5.train.9,phi.RNDstd.E-1,559,453
j.rnd_p1mdoubled.6x5.train.10,phi.RNDstd.E-1,818,818
j.rnd_p1mdoubled.6x5.train.11,phi.RNDstd.E-1,717,636
j.rnd_p1mdoubled.6x5.train.12,phi.RNDstd.E-1,730,669
j.rnd_p1mdoubled.6x5.train.13,phi.RNDstd.E-1,715,670
j.rnd_p1mdoubled.6x5.train.14,phi.RNDstd.E-1,705,658
j.rnd_p1mdoubled.6x5.train.15,phi.RNDstd.E-1,582,517
j.rnd_p1mdoubled.6x5.train.16,phi.RNDstd.E-1,1019,891
j.rnd_p1mdoubled.6x5.train.17,phi.RNDstd.E-1,938,886
j.rnd_p1mdoubled.6x5.train.18,phi.RNDstd.E-1,676,534
j.rnd_p1mdoubled.6x5.train.19,phi.RNDstd.E-1,923,894
j.rnd_p1mdoubled.6x5.train.20,phi.RNDstd.E-1,560,496
j.rnd_p1mdoubled.6x5.train.21,phi.RNDstd.E-1,697,508
j.rnd_p1mdoubled.6x5.train.22,phi.RNDstd.E-1,811,809
j.rnd_p1mdoubled.6x5.train.23,phi.RNDstd.E-1,877,709
j.rnd_p1mdoubled.6x5.train.24,phi.RNDstd.E-1,655,551
j.rnd_p1mdoubled.6x5.train.25,phi.RNDstd.E-1,717,526
j.rnd_p1mdoubled.6x5.train.26,phi.RNDstd.E-1,716,531
j.rnd_p1mdoubled.6x5.train.27,phi.RNDstd.E-1,636,510
j.rnd_p1mdoubled.6x5.train.28,phi.RNDstd.E-1,531,403
j.rnd_p1mdoubled.6x5.train.29,phi.RNDstd.E-1,975,814
j.rnd_p1mdoubled.6x5.train.30,phi.RNDstd.E-1,591,562
j.rnd_p1mdoubled.6x5.train.31,phi.RNDstd.E-1,542,469
j.rnd_p1mdoubled.6x5.train.32,phi.RNDstd.E-1,767,736
j.rnd_p1mdoubled.6x5.train.33,phi.RNDstd.E-1,773,742
j.rnd_p1mdoubled.6x5.train.34,phi.RNDstd.E-1,752,668
j.rnd_p1mdoubled.6x5.train.35,phi.RNDstd.E-1,950,950
j.rnd_p1mdoubled.6x5.train.36,phi.RNDstd.E-1,631,582
j.rnd_p1mdoubled.6x5.train.37,phi.RNDstd.E-1,673,566
j.rnd_p1mdoubled.6x5.train.38,phi.RNDstd.E-1,941,852
j.rnd_p1mdoubled.6x5.train.39,phi.RNDstd.E-1,668,574
j.rnd_p1mdoubled.6x5.train.40,phi.RNDstd.E-1,640,580
j.rnd_p1mdoubled.6x5.train.41,phi.RNDstd.E-1,681,618
j.rnd_p1mdoubled.6x5.train.42,phi.RNDstd.E-1,611,592
j.rnd_p1mdoubled.6x5.train.43,phi.RNDstd.E-1,469,420
j.rnd_p1mdoubled.6x5.train.44,phi.RNDstd.E-1,689,678
j.rnd_p1mdoubled.6x5.train.45,phi.RNDstd.E-1,622,502
j.rnd_p1mdoubled.6x5.train.46,phi.RNDstd.E-1,810,660
j.rnd_p1mdoubled.6x5.train.47,phi.RNDstd.E-1,864,816
j.rnd_p1mdoubled.6x5.train.48,phi.RNDstd.E-1,822,822
j.rnd_p1mdoubled.6x5.train.49,phi.RNDstd.E-1,556,452
j.rnd_p1mdoubled.6x5.train.50,phi.RNDstd.E-1,672,512
j.rnd_p1mdoubled.6x5.train.51,phi.RNDstd.E-1,1024,943
j.rnd_p1mdoubled.6x5.train.52,phi.RNDstd.E-1,807,693
j.rnd_p1mdoubled.6x5.train.53,phi.RNDstd.E-1,623,544
j.rnd_p1mdoubled.6x5.train.54,phi.RNDstd.E-1,763,678
j.rnd_p1mdoubled.6x5.train.55,phi.RNDstd.E-1,673,559
j.rnd_p1mdoubled.6x5.train.56,phi.RNDstd.E-1,681,517
j.rnd_p1mdoubled.6x5.train.57,phi.RNDstd.E-1,792,713
j.rnd_p1mdoubled.6x5.train.58,phi.RNDstd.E-1,830,705
j.rnd_p1mdoubled.6x5.train.59,phi.RNDstd.E-1,728,523
j.rnd_p1mdoubled.6x5.train.60,phi.RNDstd.E-1,846,703
j.rnd_p1mdoubled.6x5.train.61,phi.RNDstd.E-1,721,545
j.rnd_p1mdoubled.6x5.train.62,phi.RNDstd.E-1,612,521
j.rnd_p1mdoubled.6x5.train.63,phi.RNDstd.E-1,995,978
j.rnd_p1mdoubled.6x5.train.64,phi.RNDstd.E-1,914,904
j.rnd_p1mdoubled.6x5.train.65,phi.RNDstd.E-1,638,526
j.rnd_p1mdoubled.6x5.train.66,phi.RNDstd.E-1,786,718
j.rnd_p1mdoubled.6x5.train.67,phi.RNDstd.E-1,652,605
j.rnd_p1mdoubled.6x5.train.68,phi.RNDstd.E-1,681,509
j.rnd_p1mdoubled.6x5.train.69,phi.RNDstd.E-1,1020,930
j.rnd_p1mdoubled.6x5.train.70,phi.RNDstd.E-1,706,593
j.rnd_p1mdoubled.6x5.train.71,phi.RNDstd.E-1,645,548
j.rnd_p1mdoubled.6x5.train.72,phi.RNDstd.E-1,878,782
j.rnd_p1mdoubled.6x5.train.73,phi.RNDstd.E-1,662,617
j.rnd_p1mdoubled.6x5.train.74,phi.RNDstd.E-1,503,380
j.rnd_p1mdoubled.6x5.train.75,phi.RNDstd.E-1,735,592
j.rnd_p1mdoubled.6x5.train.76,phi.RNDstd.E-1,688,574
j.rnd_p1mdoubled.6x5.train.77,phi.RNDstd.E-1,615,613
j.rnd_p1mdoubled.6x5.train.78,phi.RNDstd.E-1,577,503
j.rnd_p1mdoubled.6x5.train.79,phi.RNDstd.E-1,829,784
j.rnd_p1mdoubled.6x5.train.80,phi.RNDstd.E-1,531,424
j.rnd_p1mdoubled.6x5.train.81,phi.RNDstd.E-1,696,598
j.rnd_p1mdoubled.6x5.train.82,phi.RNDstd.E-1,804,804
