Name,CDR,Makespan,BestFoundMakespan
f.mc.6x5.train.1,phi.RNDstd.E1,1006,826
f.mc.6x5.train.2,phi.RNDstd.E1,421,402
f.mc.6x5.train.3,phi.RNDstd.E1,366,309
f.mc.6x5.train.4,phi.RNDstd.E1,600,537
f.mc.6x5.train.5,phi.RNDstd.E1,611,596
f.mc.6x5.train.6,phi.RNDstd.E1,789,666
f.mc.6x5.train.7,phi.RNDstd.E1,885,739
f.mc.6x5.train.8,phi.RNDstd.E1,773,690
f.mc.6x5.train.9,phi.RNDstd.E1,425,417
f.mc.6x5.train.10,phi.RNDstd.E1,448,412
f.mc.6x5.train.11,phi.RNDstd.E1,673,565
f.mc.6x5.train.12,phi.RNDstd.E1,549,492
f.mc.6x5.train.13,phi.RNDstd.E1,763,692
f.mc.6x5.train.14,phi.RNDstd.E1,889,706
f.mc.6x5.train.15,phi.RNDstd.E1,987,854
f.mc.6x5.train.16,phi.RNDstd.E1,762,599
f.mc.6x5.train.17,phi.RNDstd.E1,429,417
f.mc.6x5.train.18,phi.RNDstd.E1,556,475
f.mc.6x5.train.19,phi.RNDstd.E1,640,548
f.mc.6x5.train.20,phi.RNDstd.E1,694,615
f.mc.6x5.train.21,phi.RNDstd.E1,630,630
f.mc.6x5.train.22,phi.RNDstd.E1,931,710
f.mc.6x5.train.23,phi.RNDstd.E1,811,672
f.mc.6x5.train.24,phi.RNDstd.E1,949,849
f.mc.6x5.train.25,phi.RNDstd.E1,245,203
f.mc.6x5.train.26,phi.RNDstd.E1,467,465
f.mc.6x5.train.27,phi.RNDstd.E1,472,430
f.mc.6x5.train.28,phi.RNDstd.E1,695,600
f.mc.6x5.train.29,phi.RNDstd.E1,801,650
f.mc.6x5.train.30,phi.RNDstd.E1,895,736
f.mc.6x5.train.31,phi.RNDstd.E1,870,836
f.mc.6x5.train.32,phi.RNDstd.E1,457,393
f.mc.6x5.train.33,phi.RNDstd.E1,478,442
f.mc.6x5.train.34,phi.RNDstd.E1,636,539
f.mc.6x5.train.35,phi.RNDstd.E1,659,584
f.mc.6x5.train.36,phi.RNDstd.E1,636,622
f.mc.6x5.train.37,phi.RNDstd.E1,790,623
f.mc.6x5.train.38,phi.RNDstd.E1,830,740
f.mc.6x5.train.39,phi.RNDstd.E1,813,741
f.mc.6x5.train.40,phi.RNDstd.E1,261,194
f.mc.6x5.train.41,phi.RNDstd.E1,471,390
f.mc.6x5.train.42,phi.RNDstd.E1,498,493
f.mc.6x5.train.43,phi.RNDstd.E1,625,532
f.mc.6x5.train.44,phi.RNDstd.E1,688,638
f.mc.6x5.train.45,phi.RNDstd.E1,827,685
f.mc.6x5.train.46,phi.RNDstd.E1,829,820
f.mc.6x5.train.47,phi.RNDstd.E1,474,387
f.mc.6x5.train.48,phi.RNDstd.E1,403,369
f.mc.6x5.train.49,phi.RNDstd.E1,562,495
f.mc.6x5.train.50,phi.RNDstd.E1,652,584
f.mc.6x5.train.51,phi.RNDstd.E1,570,566
f.mc.6x5.train.52,phi.RNDstd.E1,772,745
f.mc.6x5.train.53,phi.RNDstd.E1,684,662
f.mc.6x5.train.54,phi.RNDstd.E1,964,865
f.mc.6x5.train.55,phi.RNDstd.E1,520,444
f.mc.6x5.train.56,phi.RNDstd.E1,553,500
f.mc.6x5.train.57,phi.RNDstd.E1,596,519
f.mc.6x5.train.58,phi.RNDstd.E1,585,585
f.mc.6x5.train.59,phi.RNDstd.E1,662,606
f.mc.6x5.train.60,phi.RNDstd.E1,758,681
f.mc.6x5.train.61,phi.RNDstd.E1,872,780
f.mc.6x5.train.62,phi.RNDstd.E1,955,851
f.mc.6x5.train.63,phi.RNDstd.E1,405,363
f.mc.6x5.train.64,phi.RNDstd.E1,499,478
f.mc.6x5.train.65,phi.RNDstd.E1,574,509
f.mc.6x5.train.66,phi.RNDstd.E1,588,579
f.mc.6x5.train.67,phi.RNDstd.E1,629,629
f.mc.6x5.train.68,phi.RNDstd.E1,762,737
f.mc.6x5.train.69,phi.RNDstd.E1,875,747
f.mc.6x5.train.70,phi.RNDstd.E1,422,364
f.mc.6x5.train.71,phi.RNDstd.E1,452,396
f.mc.6x5.train.72,phi.RNDstd.E1,481,460
f.mc.6x5.train.73,phi.RNDstd.E1,615,529
f.mc.6x5.train.74,phi.RNDstd.E1,677,614
f.mc.6x5.train.75,phi.RNDstd.E1,840,691
f.mc.6x5.train.76,phi.RNDstd.E1,1021,771
f.mc.6x5.train.77,phi.RNDstd.E1,869,827
f.mc.6x5.train.78,phi.RNDstd.E1,527,422
f.mc.6x5.train.79,phi.RNDstd.E1,678,537
f.mc.6x5.train.80,phi.RNDstd.E1,395,389
f.mc.6x5.train.81,phi.RNDstd.E1,648,541
f.mc.6x5.train.82,phi.RNDstd.E1,575,532
f.mc.6x5.train.83,phi.RNDstd.E1,726,722
f.mc.6x5.train.84,phi.RNDstd.E1,996,809
f.mc.6x5.train.85,phi.RNDstd.E1,316,262
f.mc.6x5.train.86,phi.RNDstd.E1,340,324
f.mc.6x5.train.87,phi.RNDstd.E1,499,485
f.mc.6x5.train.88,phi.RNDstd.E1,688,553
f.mc.6x5.train.89,phi.RNDstd.E1,575,489
f.mc.6x5.train.90,phi.RNDstd.E1,710,622
f.mc.6x5.train.91,phi.RNDstd.E1,749,740
f.mc.6x5.train.92,phi.RNDstd.E1,934,891
f.mc.6x5.train.93,phi.RNDstd.E1,482,406
f.mc.6x5.train.94,phi.RNDstd.E1,510,462
f.mc.6x5.train.95,phi.RNDstd.E1,526,517
f.mc.6x5.train.96,phi.RNDstd.E1,778,567
f.mc.6x5.train.97,phi.RNDstd.E1,721,650
f.mc.6x5.train.98,phi.RNDstd.E1,793,664
f.mc.6x5.train.99,phi.RNDstd.E1,895,807
f.mc.6x5.train.100,phi.RNDstd.E1,1056,878
f.mc.6x5.train.101,phi.RNDstd.E1,420,321
f.mc.6x5.train.102,phi.RNDstd.E1,454,446
f.mc.6x5.train.103,phi.RNDstd.E1,634,568
f.mc.6x5.train.104,phi.RNDstd.E1,524,524
f.mc.6x5.train.105,phi.RNDstd.E1,710,689
f.mc.6x5.train.106,phi.RNDstd.E1,763,672
f.mc.6x5.train.107,phi.RNDstd.E1,845,841
f.mc.6x5.train.108,phi.RNDstd.E1,303,286
f.mc.6x5.train.109,phi.RNDstd.E1,520,465
f.mc.6x5.train.110,phi.RNDstd.E1,468,401
f.mc.6x5.train.111,phi.RNDstd.E1,592,531
f.mc.6x5.train.112,phi.RNDstd.E1,636,569
f.mc.6x5.train.113,phi.RNDstd.E1,770,597
f.mc.6x5.train.114,phi.RNDstd.E1,756,670
