Name,CDR,Makespan
f.rnd.6x5.train.1,phi.SPT.E-1,592
f.rnd.6x5.train.2,phi.SPT.E-1,476
f.rnd.6x5.train.3,phi.SPT.E-1,496
f.rnd.6x5.train.4,phi.SPT.E-1,554
f.rnd.6x5.train.5,phi.SPT.E-1,546
f.rnd.6x5.train.6,phi.SPT.E-1,575
f.rnd.6x5.train.7,phi.SPT.E-1,593
f.rnd.6x5.train.8,phi.SPT.E-1,569
f.rnd.6x5.train.9,phi.SPT.E-1,517
f.rnd.6x5.train.10,phi.SPT.E-1,553
f.rnd.6x5.train.11,phi.SPT.E-1,559
f.rnd.6x5.train.12,phi.SPT.E-1,547
f.rnd.6x5.train.13,phi.SPT.E-1,660
f.rnd.6x5.train.14,phi.SPT.E-1,532
f.rnd.6x5.train.15,phi.SPT.E-1,642
f.rnd.6x5.train.16,phi.SPT.E-1,567
f.rnd.6x5.train.17,phi.SPT.E-1,534
f.rnd.6x5.train.18,phi.SPT.E-1,585
f.rnd.6x5.train.19,phi.SPT.E-1,599
f.rnd.6x5.train.20,phi.SPT.E-1,569
f.rnd.6x5.train.21,phi.SPT.E-1,520
f.rnd.6x5.train.22,phi.SPT.E-1,604
f.rnd.6x5.train.23,phi.SPT.E-1,559
f.rnd.6x5.train.24,phi.SPT.E-1,570
f.rnd.6x5.train.25,phi.SPT.E-1,545
f.rnd.6x5.train.26,phi.SPT.E-1,615
f.rnd.6x5.train.27,phi.SPT.E-1,515
f.rnd.6x5.train.28,phi.SPT.E-1,562
f.rnd.6x5.train.29,phi.SPT.E-1,539
f.rnd.6x5.train.30,phi.SPT.E-1,578
f.rnd.6x5.train.31,phi.SPT.E-1,557
f.rnd.6x5.train.32,phi.SPT.E-1,681
f.rnd.6x5.train.33,phi.SPT.E-1,613
f.rnd.6x5.train.34,phi.SPT.E-1,600
f.rnd.6x5.train.35,phi.SPT.E-1,660
f.rnd.6x5.train.36,phi.SPT.E-1,532
f.rnd.6x5.train.37,phi.SPT.E-1,468
f.rnd.6x5.train.38,phi.SPT.E-1,646
f.rnd.6x5.train.39,phi.SPT.E-1,531
f.rnd.6x5.train.40,phi.SPT.E-1,483
f.rnd.6x5.train.41,phi.SPT.E-1,568
f.rnd.6x5.train.42,phi.SPT.E-1,555
f.rnd.6x5.train.43,phi.SPT.E-1,397
f.rnd.6x5.train.44,phi.SPT.E-1,580
f.rnd.6x5.train.45,phi.SPT.E-1,498
f.rnd.6x5.train.46,phi.SPT.E-1,694
f.rnd.6x5.train.47,phi.SPT.E-1,611
f.rnd.6x5.train.48,phi.SPT.E-1,576
f.rnd.6x5.train.49,phi.SPT.E-1,593
f.rnd.6x5.train.50,phi.SPT.E-1,579
f.rnd.6x5.train.51,phi.SPT.E-1,684
f.rnd.6x5.train.52,phi.SPT.E-1,673
f.rnd.6x5.train.53,phi.SPT.E-1,579
f.rnd.6x5.train.54,phi.SPT.E-1,677
f.rnd.6x5.train.55,phi.SPT.E-1,625
f.rnd.6x5.train.56,phi.SPT.E-1,567
f.rnd.6x5.train.57,phi.SPT.E-1,528
f.rnd.6x5.train.58,phi.SPT.E-1,605
f.rnd.6x5.train.59,phi.SPT.E-1,643
f.rnd.6x5.train.60,phi.SPT.E-1,613
f.rnd.6x5.train.61,phi.SPT.E-1,557
f.rnd.6x5.train.62,phi.SPT.E-1,446
f.rnd.6x5.train.63,phi.SPT.E-1,605
f.rnd.6x5.train.64,phi.SPT.E-1,602
f.rnd.6x5.train.65,phi.SPT.E-1,597
f.rnd.6x5.train.66,phi.SPT.E-1,626
f.rnd.6x5.train.67,phi.SPT.E-1,549
f.rnd.6x5.train.68,phi.SPT.E-1,581
f.rnd.6x5.train.69,phi.SPT.E-1,550
f.rnd.6x5.train.70,phi.SPT.E-1,569
f.rnd.6x5.train.71,phi.SPT.E-1,519
f.rnd.6x5.train.72,phi.SPT.E-1,622
f.rnd.6x5.train.73,phi.SPT.E-1,487
f.rnd.6x5.train.74,phi.SPT.E-1,475
f.rnd.6x5.train.75,phi.SPT.E-1,546
f.rnd.6x5.train.76,phi.SPT.E-1,545
f.rnd.6x5.train.77,phi.SPT.E-1,528
f.rnd.6x5.train.78,phi.SPT.E-1,607
f.rnd.6x5.train.79,phi.SPT.E-1,603
f.rnd.6x5.train.80,phi.SPT.E-1,432
f.rnd.6x5.train.81,phi.SPT.E-1,512
f.rnd.6x5.train.82,phi.SPT.E-1,661
f.rnd.6x5.train.83,phi.SPT.E-1,573
