Name,CDR,Makespan,BestFoundMakespan
f.mc.6x5.train.1,phi.SPT.E1,848,828
f.mc.6x5.train.2,phi.SPT.E1,529,420
f.mc.6x5.train.3,phi.SPT.E1,395,335
f.mc.6x5.train.4,phi.SPT.E1,689,574
f.mc.6x5.train.5,phi.SPT.E1,607,596
f.mc.6x5.train.6,phi.SPT.E1,827,700
f.mc.6x5.train.7,phi.SPT.E1,884,747
f.mc.6x5.train.8,phi.SPT.E1,872,716
f.mc.6x5.train.9,phi.SPT.E1,425,417
f.mc.6x5.train.10,phi.SPT.E1,579,443
f.mc.6x5.train.11,phi.SPT.E1,675,586
f.mc.6x5.train.12,phi.SPT.E1,613,500
f.mc.6x5.train.13,phi.SPT.E1,769,694
f.mc.6x5.train.14,phi.SPT.E1,886,741
f.mc.6x5.train.15,phi.SPT.E1,1236,961
f.mc.6x5.train.16,phi.SPT.E1,759,637
f.mc.6x5.train.17,phi.SPT.E1,435,417
f.mc.6x5.train.18,phi.SPT.E1,570,476
f.mc.6x5.train.19,phi.SPT.E1,651,567
f.mc.6x5.train.20,phi.SPT.E1,789,622
f.mc.6x5.train.21,phi.SPT.E1,641,630
f.mc.6x5.train.22,phi.SPT.E1,862,771
f.mc.6x5.train.23,phi.SPT.E1,806,673
f.mc.6x5.train.24,phi.SPT.E1,1113,888
f.mc.6x5.train.25,phi.SPT.E1,256,216
f.mc.6x5.train.26,phi.SPT.E1,563,465
f.mc.6x5.train.27,phi.SPT.E1,520,432
f.mc.6x5.train.28,phi.SPT.E1,740,622
f.mc.6x5.train.29,phi.SPT.E1,827,655
f.mc.6x5.train.30,phi.SPT.E1,1052,740
f.mc.6x5.train.31,phi.SPT.E1,1020,838
f.mc.6x5.train.32,phi.SPT.E1,452,405
f.mc.6x5.train.33,phi.SPT.E1,545,496
f.mc.6x5.train.34,phi.SPT.E1,708,536
f.mc.6x5.train.35,phi.SPT.E1,798,676
f.mc.6x5.train.36,phi.SPT.E1,772,661
f.mc.6x5.train.37,phi.SPT.E1,824,682
f.mc.6x5.train.38,phi.SPT.E1,911,749
f.mc.6x5.train.39,phi.SPT.E1,967,806
f.mc.6x5.train.40,phi.SPT.E1,256,198
f.mc.6x5.train.41,phi.SPT.E1,475,415
f.mc.6x5.train.42,phi.SPT.E1,559,540
f.mc.6x5.train.43,phi.SPT.E1,644,535
f.mc.6x5.train.44,phi.SPT.E1,761,658
f.mc.6x5.train.45,phi.SPT.E1,859,708
f.mc.6x5.train.46,phi.SPT.E1,832,820
f.mc.6x5.train.47,phi.SPT.E1,523,408
f.mc.6x5.train.48,phi.SPT.E1,477,371
f.mc.6x5.train.49,phi.SPT.E1,586,498
f.mc.6x5.train.50,phi.SPT.E1,602,584
f.mc.6x5.train.51,phi.SPT.E1,758,567
f.mc.6x5.train.52,phi.SPT.E1,873,815
f.mc.6x5.train.53,phi.SPT.E1,795,691
f.mc.6x5.train.54,phi.SPT.E1,969,865
f.mc.6x5.train.55,phi.SPT.E1,522,467
f.mc.6x5.train.56,phi.SPT.E1,676,528
f.mc.6x5.train.57,phi.SPT.E1,702,575
f.mc.6x5.train.58,phi.SPT.E1,590,585
f.mc.6x5.train.59,phi.SPT.E1,792,656
f.mc.6x5.train.60,phi.SPT.E1,794,683
f.mc.6x5.train.61,phi.SPT.E1,975,816
f.mc.6x5.train.62,phi.SPT.E1,866,851
f.mc.6x5.train.63,phi.SPT.E1,440,365
f.mc.6x5.train.64,phi.SPT.E1,579,480
f.mc.6x5.train.65,phi.SPT.E1,650,530
f.mc.6x5.train.66,phi.SPT.E1,585,579
f.mc.6x5.train.67,phi.SPT.E1,640,629
f.mc.6x5.train.68,phi.SPT.E1,900,741
f.mc.6x5.train.69,phi.SPT.E1,902,755
f.mc.6x5.train.70,phi.SPT.E1,513,420
f.mc.6x5.train.71,phi.SPT.E1,448,396
f.mc.6x5.train.72,phi.SPT.E1,572,505
f.mc.6x5.train.73,phi.SPT.E1,644,527
f.mc.6x5.train.74,phi.SPT.E1,814,641
f.mc.6x5.train.75,phi.SPT.E1,916,826
f.mc.6x5.train.76,phi.SPT.E1,1009,848
f.mc.6x5.train.77,phi.SPT.E1,1126,911
f.mc.6x5.train.78,phi.SPT.E1,521,442
f.mc.6x5.train.79,phi.SPT.E1,736,574
f.mc.6x5.train.80,phi.SPT.E1,396,389
f.mc.6x5.train.81,phi.SPT.E1,647,543
f.mc.6x5.train.82,phi.SPT.E1,633,540
f.mc.6x5.train.83,phi.SPT.E1,878,722
f.mc.6x5.train.84,phi.SPT.E1,973,880
f.mc.6x5.train.85,phi.SPT.E1,331,268
f.mc.6x5.train.86,phi.SPT.E1,380,337
f.mc.6x5.train.87,phi.SPT.E1,497,485
f.mc.6x5.train.88,phi.SPT.E1,740,571
f.mc.6x5.train.89,phi.SPT.E1,628,490
f.mc.6x5.train.90,phi.SPT.E1,720,622
f.mc.6x5.train.91,phi.SPT.E1,749,740
f.mc.6x5.train.92,phi.SPT.E1,1094,924
f.mc.6x5.train.93,phi.SPT.E1,502,408
f.mc.6x5.train.94,phi.SPT.E1,579,508
f.mc.6x5.train.95,phi.SPT.E1,587,517
f.mc.6x5.train.96,phi.SPT.E1,794,663
f.mc.6x5.train.97,phi.SPT.E1,871,729
f.mc.6x5.train.98,phi.SPT.E1,913,690
f.mc.6x5.train.99,phi.SPT.E1,905,816
f.mc.6x5.train.100,phi.SPT.E1,1033,916
f.mc.6x5.train.101,phi.SPT.E1,445,372
f.mc.6x5.train.102,phi.SPT.E1,567,467
f.mc.6x5.train.103,phi.SPT.E1,700,569
f.mc.6x5.train.104,phi.SPT.E1,526,524
f.mc.6x5.train.105,phi.SPT.E1,823,693
f.mc.6x5.train.106,phi.SPT.E1,830,675
f.mc.6x5.train.107,phi.SPT.E1,849,841
f.mc.6x5.train.108,phi.SPT.E1,299,286
f.mc.6x5.train.109,phi.SPT.E1,571,473
f.mc.6x5.train.110,phi.SPT.E1,554,447
f.mc.6x5.train.111,phi.SPT.E1,659,576
f.mc.6x5.train.112,phi.SPT.E1,583,569
f.mc.6x5.train.113,phi.SPT.E1,832,703
f.mc.6x5.train.114,phi.SPT.E1,938,694
f.mc.6x5.train.115,phi.SPT.E1,982,829
f.mc.6x5.train.116,phi.SPT.E1,679,496
f.mc.6x5.train.117,phi.SPT.E1,463,423
f.mc.6x5.train.118,phi.SPT.E1,641,585
f.mc.6x5.train.119,phi.SPT.E1,738,594
f.mc.6x5.train.120,phi.SPT.E1,1001,858
f.mc.6x5.train.121,phi.SPT.E1,825,761
f.mc.6x5.train.122,phi.SPT.E1,959,772
f.mc.6x5.train.123,phi.SPT.E1,223,187
f.mc.6x5.train.124,phi.SPT.E1,611,510
f.mc.6x5.train.125,phi.SPT.E1,592,507
f.mc.6x5.train.126,phi.SPT.E1,752,575
f.mc.6x5.train.127,phi.SPT.E1,697,616
f.mc.6x5.train.128,phi.SPT.E1,671,660
f.mc.6x5.train.129,phi.SPT.E1,926,781
f.mc.6x5.train.130,phi.SPT.E1,827,696
f.mc.6x5.train.131,phi.SPT.E1,408,357
f.mc.6x5.train.132,phi.SPT.E1,448,415
f.mc.6x5.train.133,phi.SPT.E1,660,544
f.mc.6x5.train.134,phi.SPT.E1,637,570
f.mc.6x5.train.135,phi.SPT.E1,741,639
f.mc.6x5.train.136,phi.SPT.E1,700,698
f.mc.6x5.train.137,phi.SPT.E1,943,800
f.mc.6x5.train.138,phi.SPT.E1,1034,869
