Name,CDR,Makespan,BestFoundMakespan
f.rnd.10x10.train.1,phi.SPT.E1,1897,1385
f.rnd.10x10.train.2,phi.SPT.E1,1636,1223
f.rnd.10x10.train.3,phi.SPT.E1,1629,1293
f.rnd.10x10.train.4,phi.SPT.E1,1842,1308
f.rnd.10x10.train.5,phi.SPT.E1,1656,1248
f.rnd.10x10.train.6,phi.SPT.E1,1756,1333
f.rnd.10x10.train.7,phi.SPT.E1,1463,1246
f.rnd.10x10.train.8,phi.SPT.E1,1631,1190
f.rnd.10x10.train.9,phi.SPT.E1,1653,1276
f.rnd.10x10.train.10,phi.SPT.E1,1667,1283
f.rnd.10x10.train.11,phi.SPT.E1,1715,1465
f.rnd.10x10.train.12,phi.SPT.E1,1662,1167
f.rnd.10x10.train.13,phi.SPT.E1,2000,1485
f.rnd.10x10.train.14,phi.SPT.E1,1657,1337
f.rnd.10x10.train.15,phi.SPT.E1,1735,1324
f.rnd.10x10.train.16,phi.SPT.E1,1593,1293
f.rnd.10x10.train.17,phi.SPT.E1,1705,1303
f.rnd.10x10.train.18,phi.SPT.E1,1595,1365
f.rnd.10x10.train.19,phi.SPT.E1,1829,1369
f.rnd.10x10.train.20,phi.SPT.E1,1749,1252
f.rnd.10x10.train.21,phi.SPT.E1,1592,1266
f.rnd.10x10.train.22,phi.SPT.E1,1561,1253
f.rnd.10x10.train.23,phi.SPT.E1,1664,1426
f.rnd.10x10.train.24,phi.SPT.E1,1504,1217
f.rnd.10x10.train.25,phi.SPT.E1,1642,1267
f.rnd.10x10.train.26,phi.SPT.E1,1548,1173
f.rnd.10x10.train.27,phi.SPT.E1,1422,1133
f.rnd.10x10.train.28,phi.SPT.E1,1545,1127
f.rnd.10x10.train.29,phi.SPT.E1,1515,1166
f.rnd.10x10.train.30,phi.SPT.E1,1728,1342
f.rnd.10x10.train.31,phi.SPT.E1,1735,1416
f.rnd.10x10.train.32,phi.SPT.E1,1714,1318
f.rnd.10x10.train.33,phi.SPT.E1,1624,1287
f.rnd.10x10.train.34,phi.SPT.E1,1651,1270
f.rnd.10x10.train.35,phi.SPT.E1,1868,1448
f.rnd.10x10.train.36,phi.SPT.E1,1652,1213
f.rnd.10x10.train.37,phi.SPT.E1,1820,1378
f.rnd.10x10.train.38,phi.SPT.E1,1775,1172
f.rnd.10x10.train.39,phi.SPT.E1,1553,1255
f.rnd.10x10.train.40,phi.SPT.E1,1605,1131
f.rnd.10x10.train.41,phi.SPT.E1,1419,1108
f.rnd.10x10.train.42,phi.SPT.E1,1619,1308
f.rnd.10x10.train.43,phi.SPT.E1,1585,1189
f.rnd.10x10.train.44,phi.SPT.E1,1664,1273
f.rnd.10x10.train.45,phi.SPT.E1,1565,1299
f.rnd.10x10.train.46,phi.SPT.E1,1762,1203
f.rnd.10x10.train.47,phi.SPT.E1,1802,1222
f.rnd.10x10.train.48,phi.SPT.E1,1734,1364
f.rnd.10x10.train.49,phi.SPT.E1,1629,1322
f.rnd.10x10.train.50,phi.SPT.E1,1635,1228
f.rnd.10x10.train.51,phi.SPT.E1,1776,1226
f.rnd.10x10.train.52,phi.SPT.E1,1816,1533
f.rnd.10x10.train.53,phi.SPT.E1,1604,1260
f.rnd.10x10.train.54,phi.SPT.E1,1682,1359
f.rnd.10x10.train.55,phi.SPT.E1,1715,1419
f.rnd.10x10.train.56,phi.SPT.E1,1737,1334
f.rnd.10x10.train.57,phi.SPT.E1,1748,1318
f.rnd.10x10.train.58,phi.SPT.E1,1691,1289
f.rnd.10x10.train.59,phi.SPT.E1,1868,1269
f.rnd.10x10.train.60,phi.SPT.E1,1784,1268
f.rnd.10x10.train.61,phi.SPT.E1,1744,1248
f.rnd.10x10.train.62,phi.SPT.E1,1672,1242
f.rnd.10x10.train.63,phi.SPT.E1,1678,1304
f.rnd.10x10.train.64,phi.SPT.E1,1649,1286
f.rnd.10x10.train.65,phi.SPT.E1,1686,1274
f.rnd.10x10.train.66,phi.SPT.E1,1626,1307
f.rnd.10x10.train.67,phi.SPT.E1,1771,1256
f.rnd.10x10.train.68,phi.SPT.E1,1699,1246
f.rnd.10x10.train.69,phi.SPT.E1,1872,1470
f.rnd.10x10.train.70,phi.SPT.E1,1613,1215
f.rnd.10x10.train.71,phi.SPT.E1,1888,1483
f.rnd.10x10.train.72,phi.SPT.E1,1751,1234
f.rnd.10x10.train.73,phi.SPT.E1,1595,1256
f.rnd.10x10.train.74,phi.SPT.E1,1646,1298
f.rnd.10x10.train.75,phi.SPT.E1,1848,1361
f.rnd.10x10.train.76,phi.SPT.E1,1609,1246
f.rnd.10x10.train.77,phi.SPT.E1,1641,1194
f.rnd.10x10.train.78,phi.SPT.E1,1923,1357
f.rnd.10x10.train.79,phi.SPT.E1,1792,1291
f.rnd.10x10.train.80,phi.SPT.E1,1692,1194
f.rnd.10x10.train.81,phi.SPT.E1,1650,1308
f.rnd.10x10.train.82,phi.SPT.E1,1950,1485
f.rnd.10x10.train.83,phi.SPT.E1,2019,1319
f.rnd.10x10.train.84,phi.SPT.E1,1505,1172
f.rnd.10x10.train.85,phi.SPT.E1,1589,1170
f.rnd.10x10.train.86,phi.SPT.E1,1597,1213
f.rnd.10x10.train.87,phi.SPT.E1,1677,1258
f.rnd.10x10.train.88,phi.SPT.E1,1544,1329
f.rnd.10x10.train.89,phi.SPT.E1,1828,1313
f.rnd.10x10.train.90,phi.SPT.E1,1958,1088
f.rnd.10x10.train.91,phi.SPT.E1,1761,1342
f.rnd.10x10.train.92,phi.SPT.E1,1820,1341
f.rnd.10x10.train.93,phi.SPT.E1,1685,1259
f.rnd.10x10.train.94,phi.SPT.E1,1885,1337
f.rnd.10x10.train.95,phi.SPT.E1,1642,1338
f.rnd.10x10.train.96,phi.SPT.E1,1558,1238
f.rnd.10x10.train.97,phi.SPT.E1,1731,1343
f.rnd.10x10.train.98,phi.SPT.E1,1530,1174
f.rnd.10x10.train.99,phi.SPT.E1,1693,1283
f.rnd.10x10.train.100,phi.SPT.E1,1907,1433
f.rnd.10x10.train.101,phi.SPT.E1,1596,1244
f.rnd.10x10.train.102,phi.SPT.E1,1625,1221
f.rnd.10x10.train.103,phi.SPT.E1,1653,1275
f.rnd.10x10.train.104,phi.SPT.E1,1675,1368
f.rnd.10x10.train.105,phi.SPT.E1,1726,1315
