Name,CDR,Makespan
j.rnd.10x10.train.1,phi.SPT.E1,1292
j.rnd.10x10.train.2,phi.SPT.E1,1038
j.rnd.10x10.train.3,phi.SPT.E1,1047
j.rnd.10x10.train.4,phi.SPT.E1,1198
j.rnd.10x10.train.5,phi.SPT.E1,1113
j.rnd.10x10.train.6,phi.SPT.E1,1324
j.rnd.10x10.train.7,phi.SPT.E1,1288
j.rnd.10x10.train.8,phi.SPT.E1,1149
j.rnd.10x10.train.9,phi.SPT.E1,1037
j.rnd.10x10.train.10,phi.SPT.E1,1259
j.rnd.10x10.train.11,phi.SPT.E1,1172
j.rnd.10x10.train.12,phi.SPT.E1,1311
j.rnd.10x10.train.13,phi.SPT.E1,1345
j.rnd.10x10.train.14,phi.SPT.E1,1061
j.rnd.10x10.train.15,phi.SPT.E1,1437
j.rnd.10x10.train.16,phi.SPT.E1,1165
j.rnd.10x10.train.17,phi.SPT.E1,1230
j.rnd.10x10.train.18,phi.SPT.E1,1180
j.rnd.10x10.train.19,phi.SPT.E1,1429
j.rnd.10x10.train.20,phi.SPT.E1,1298
j.rnd.10x10.train.21,phi.SPT.E1,1203
j.rnd.10x10.train.22,phi.SPT.E1,1181
j.rnd.10x10.train.23,phi.SPT.E1,1302
j.rnd.10x10.train.24,phi.SPT.E1,1218
j.rnd.10x10.train.25,phi.SPT.E1,1107
j.rnd.10x10.train.26,phi.SPT.E1,1023
j.rnd.10x10.train.27,phi.SPT.E1,1137
j.rnd.10x10.train.28,phi.SPT.E1,1129
j.rnd.10x10.train.29,phi.SPT.E1,1045
j.rnd.10x10.train.30,phi.SPT.E1,1129
j.rnd.10x10.train.31,phi.SPT.E1,1196
j.rnd.10x10.train.32,phi.SPT.E1,1315
j.rnd.10x10.train.33,phi.SPT.E1,1191
j.rnd.10x10.train.34,phi.SPT.E1,1066
j.rnd.10x10.train.35,phi.SPT.E1,1327
j.rnd.10x10.train.36,phi.SPT.E1,1093
j.rnd.10x10.train.37,phi.SPT.E1,1324
j.rnd.10x10.train.38,phi.SPT.E1,1264
j.rnd.10x10.train.39,phi.SPT.E1,1218
j.rnd.10x10.train.40,phi.SPT.E1,1118
j.rnd.10x10.train.41,phi.SPT.E1,1248
j.rnd.10x10.train.42,phi.SPT.E1,1135
j.rnd.10x10.train.43,phi.SPT.E1,1178
j.rnd.10x10.train.44,phi.SPT.E1,1432
j.rnd.10x10.train.45,phi.SPT.E1,1077
j.rnd.10x10.train.46,phi.SPT.E1,1156
j.rnd.10x10.train.47,phi.SPT.E1,1233
j.rnd.10x10.train.48,phi.SPT.E1,1327
j.rnd.10x10.train.49,phi.SPT.E1,1113
j.rnd.10x10.train.50,phi.SPT.E1,1101
j.rnd.10x10.train.51,phi.SPT.E1,1156
