Name,CDR,Makespan
f.mxc.6x5.train.1,phi.allSlack.E-1,849
f.mxc.6x5.train.2,phi.allSlack.E-1,401
f.mxc.6x5.train.3,phi.allSlack.E-1,301
f.mxc.6x5.train.4,phi.allSlack.E-1,540
f.mxc.6x5.train.5,phi.allSlack.E-1,607
f.mxc.6x5.train.6,phi.allSlack.E-1,658
f.mxc.6x5.train.7,phi.allSlack.E-1,738
f.mxc.6x5.train.8,phi.allSlack.E-1,683
f.mxc.6x5.train.9,phi.allSlack.E-1,421
f.mxc.6x5.train.10,phi.allSlack.E-1,403
f.mxc.6x5.train.11,phi.allSlack.E-1,576
f.mxc.6x5.train.12,phi.allSlack.E-1,497
f.mxc.6x5.train.13,phi.allSlack.E-1,693
f.mxc.6x5.train.14,phi.allSlack.E-1,720
f.mxc.6x5.train.15,phi.allSlack.E-1,844
f.mxc.6x5.train.16,phi.allSlack.E-1,613
f.mxc.6x5.train.17,phi.allSlack.E-1,437
f.mxc.6x5.train.18,phi.allSlack.E-1,486
f.mxc.6x5.train.19,phi.allSlack.E-1,571
f.mxc.6x5.train.20,phi.allSlack.E-1,613
f.mxc.6x5.train.21,phi.allSlack.E-1,648
f.mxc.6x5.train.22,phi.allSlack.E-1,712
f.mxc.6x5.train.23,phi.allSlack.E-1,684
f.mxc.6x5.train.24,phi.allSlack.E-1,858
f.mxc.6x5.train.25,phi.allSlack.E-1,212
f.mxc.6x5.train.26,phi.allSlack.E-1,476
f.mxc.6x5.train.27,phi.allSlack.E-1,436
f.mxc.6x5.train.28,phi.allSlack.E-1,610
f.mxc.6x5.train.29,phi.allSlack.E-1,661
f.mxc.6x5.train.30,phi.allSlack.E-1,752
f.mxc.6x5.train.31,phi.allSlack.E-1,843
f.mxc.6x5.train.32,phi.allSlack.E-1,399
f.mxc.6x5.train.33,phi.allSlack.E-1,451
f.mxc.6x5.train.34,phi.allSlack.E-1,557
f.mxc.6x5.train.35,phi.allSlack.E-1,605
f.mxc.6x5.train.36,phi.allSlack.E-1,633
f.mxc.6x5.train.37,phi.allSlack.E-1,628
f.mxc.6x5.train.38,phi.allSlack.E-1,758
f.mxc.6x5.train.39,phi.allSlack.E-1,735
f.mxc.6x5.train.40,phi.allSlack.E-1,192
f.mxc.6x5.train.41,phi.allSlack.E-1,409
f.mxc.6x5.train.42,phi.allSlack.E-1,498
f.mxc.6x5.train.43,phi.allSlack.E-1,543
f.mxc.6x5.train.44,phi.allSlack.E-1,630
f.mxc.6x5.train.45,phi.allSlack.E-1,693
f.mxc.6x5.train.46,phi.allSlack.E-1,827
f.mxc.6x5.train.47,phi.allSlack.E-1,402
f.mxc.6x5.train.48,phi.allSlack.E-1,386
f.mxc.6x5.train.49,phi.allSlack.E-1,496
f.mxc.6x5.train.50,phi.allSlack.E-1,604
f.mxc.6x5.train.51,phi.allSlack.E-1,592
f.mxc.6x5.train.52,phi.allSlack.E-1,748
f.mxc.6x5.train.53,phi.allSlack.E-1,664
f.mxc.6x5.train.54,phi.allSlack.E-1,876
f.mxc.6x5.train.55,phi.allSlack.E-1,460
f.mxc.6x5.train.56,phi.allSlack.E-1,500
f.mxc.6x5.train.57,phi.allSlack.E-1,533
f.mxc.6x5.train.58,phi.allSlack.E-1,593
f.mxc.6x5.train.59,phi.allSlack.E-1,603
f.mxc.6x5.train.60,phi.allSlack.E-1,701
f.mxc.6x5.train.61,phi.allSlack.E-1,772
f.mxc.6x5.train.62,phi.allSlack.E-1,846
f.mxc.6x5.train.63,phi.allSlack.E-1,357
f.mxc.6x5.train.64,phi.allSlack.E-1,509
f.mxc.6x5.train.65,phi.allSlack.E-1,506
f.mxc.6x5.train.66,phi.allSlack.E-1,575
f.mxc.6x5.train.67,phi.allSlack.E-1,647
f.mxc.6x5.train.68,phi.allSlack.E-1,738
f.mxc.6x5.train.69,phi.allSlack.E-1,750
f.mxc.6x5.train.70,phi.allSlack.E-1,376
f.mxc.6x5.train.71,phi.allSlack.E-1,400
f.mxc.6x5.train.72,phi.allSlack.E-1,478
f.mxc.6x5.train.73,phi.allSlack.E-1,531
f.mxc.6x5.train.74,phi.allSlack.E-1,600
f.mxc.6x5.train.75,phi.allSlack.E-1,695
f.mxc.6x5.train.76,phi.allSlack.E-1,767
f.mxc.6x5.train.77,phi.allSlack.E-1,827
f.mxc.6x5.train.78,phi.allSlack.E-1,419
f.mxc.6x5.train.79,phi.allSlack.E-1,529
f.mxc.6x5.train.80,phi.allSlack.E-1,388
f.mxc.6x5.train.81,phi.allSlack.E-1,561
f.mxc.6x5.train.82,phi.allSlack.E-1,526
f.mxc.6x5.train.83,phi.allSlack.E-1,730
f.mxc.6x5.train.84,phi.allSlack.E-1,809
f.mxc.6x5.train.85,phi.allSlack.E-1,284
f.mxc.6x5.train.86,phi.allSlack.E-1,322
f.mxc.6x5.train.87,phi.allSlack.E-1,484
f.mxc.6x5.train.88,phi.allSlack.E-1,567
f.mxc.6x5.train.89,phi.allSlack.E-1,485
f.mxc.6x5.train.90,phi.allSlack.E-1,623
