Name,CDR,Makespan
f.mc.6x5.train.1,phi.allSlack.E1,839
f.mc.6x5.train.2,phi.allSlack.E1,410
f.mc.6x5.train.3,phi.allSlack.E1,369
f.mc.6x5.train.4,phi.allSlack.E1,568
f.mc.6x5.train.5,phi.allSlack.E1,596
f.mc.6x5.train.6,phi.allSlack.E1,753
f.mc.6x5.train.7,phi.allSlack.E1,773
f.mc.6x5.train.8,phi.allSlack.E1,751
f.mc.6x5.train.9,phi.allSlack.E1,423
f.mc.6x5.train.10,phi.allSlack.E1,489
f.mc.6x5.train.11,phi.allSlack.E1,626
f.mc.6x5.train.12,phi.allSlack.E1,497
f.mc.6x5.train.13,phi.allSlack.E1,692
f.mc.6x5.train.14,phi.allSlack.E1,754
f.mc.6x5.train.15,phi.allSlack.E1,1016
f.mc.6x5.train.16,phi.allSlack.E1,698
f.mc.6x5.train.17,phi.allSlack.E1,431
f.mc.6x5.train.18,phi.allSlack.E1,478
f.mc.6x5.train.19,phi.allSlack.E1,588
f.mc.6x5.train.20,phi.allSlack.E1,621
f.mc.6x5.train.21,phi.allSlack.E1,630
f.mc.6x5.train.22,phi.allSlack.E1,785
f.mc.6x5.train.23,phi.allSlack.E1,797
f.mc.6x5.train.24,phi.allSlack.E1,1005
f.mc.6x5.train.25,phi.allSlack.E1,210
f.mc.6x5.train.26,phi.allSlack.E1,467
f.mc.6x5.train.27,phi.allSlack.E1,517
f.mc.6x5.train.28,phi.allSlack.E1,658
f.mc.6x5.train.29,phi.allSlack.E1,659
f.mc.6x5.train.30,phi.allSlack.E1,823
f.mc.6x5.train.31,phi.allSlack.E1,896
f.mc.6x5.train.32,phi.allSlack.E1,412
f.mc.6x5.train.33,phi.allSlack.E1,456
f.mc.6x5.train.34,phi.allSlack.E1,590
f.mc.6x5.train.35,phi.allSlack.E1,747
f.mc.6x5.train.36,phi.allSlack.E1,680
f.mc.6x5.train.37,phi.allSlack.E1,709
f.mc.6x5.train.38,phi.allSlack.E1,826
f.mc.6x5.train.39,phi.allSlack.E1,891
f.mc.6x5.train.40,phi.allSlack.E1,215
f.mc.6x5.train.41,phi.allSlack.E1,427
f.mc.6x5.train.42,phi.allSlack.E1,493
f.mc.6x5.train.43,phi.allSlack.E1,634
f.mc.6x5.train.44,phi.allSlack.E1,683
f.mc.6x5.train.45,phi.allSlack.E1,710
f.mc.6x5.train.46,phi.allSlack.E1,832
f.mc.6x5.train.47,phi.allSlack.E1,409
f.mc.6x5.train.48,phi.allSlack.E1,373
f.mc.6x5.train.49,phi.allSlack.E1,499
f.mc.6x5.train.50,phi.allSlack.E1,600
f.mc.6x5.train.51,phi.allSlack.E1,629
f.mc.6x5.train.52,phi.allSlack.E1,826
f.mc.6x5.train.53,phi.allSlack.E1,736
f.mc.6x5.train.54,phi.allSlack.E1,964
f.mc.6x5.train.55,phi.allSlack.E1,487
f.mc.6x5.train.56,phi.allSlack.E1,583
f.mc.6x5.train.57,phi.allSlack.E1,578
f.mc.6x5.train.58,phi.allSlack.E1,585
f.mc.6x5.train.59,phi.allSlack.E1,675
f.mc.6x5.train.60,phi.allSlack.E1,771
f.mc.6x5.train.61,phi.allSlack.E1,858
f.mc.6x5.train.62,phi.allSlack.E1,851
f.mc.6x5.train.63,phi.allSlack.E1,403
f.mc.6x5.train.64,phi.allSlack.E1,523
f.mc.6x5.train.65,phi.allSlack.E1,562
f.mc.6x5.train.66,phi.allSlack.E1,579
f.mc.6x5.train.67,phi.allSlack.E1,640
f.mc.6x5.train.68,phi.allSlack.E1,783
f.mc.6x5.train.69,phi.allSlack.E1,878
f.mc.6x5.train.70,phi.allSlack.E1,411
f.mc.6x5.train.71,phi.allSlack.E1,451
f.mc.6x5.train.72,phi.allSlack.E1,500
f.mc.6x5.train.73,phi.allSlack.E1,558
f.mc.6x5.train.74,phi.allSlack.E1,690
f.mc.6x5.train.75,phi.allSlack.E1,841
f.mc.6x5.train.76,phi.allSlack.E1,848
f.mc.6x5.train.77,phi.allSlack.E1,918
f.mc.6x5.train.78,phi.allSlack.E1,464
f.mc.6x5.train.79,phi.allSlack.E1,636
f.mc.6x5.train.80,phi.allSlack.E1,391
f.mc.6x5.train.81,phi.allSlack.E1,570
f.mc.6x5.train.82,phi.allSlack.E1,587
f.mc.6x5.train.83,phi.allSlack.E1,808
f.mc.6x5.train.84,phi.allSlack.E1,911
f.mc.6x5.train.85,phi.allSlack.E1,268
f.mc.6x5.train.86,phi.allSlack.E1,330
f.mc.6x5.train.87,phi.allSlack.E1,489
f.mc.6x5.train.88,phi.allSlack.E1,641
f.mc.6x5.train.89,phi.allSlack.E1,494
f.mc.6x5.train.90,phi.allSlack.E1,629
f.mc.6x5.train.91,phi.allSlack.E1,743
f.mc.6x5.train.92,phi.allSlack.E1,1022
f.mc.6x5.train.93,phi.allSlack.E1,424
f.mc.6x5.train.94,phi.allSlack.E1,512
f.mc.6x5.train.95,phi.allSlack.E1,525
f.mc.6x5.train.96,phi.allSlack.E1,671
f.mc.6x5.train.97,phi.allSlack.E1,673
f.mc.6x5.train.98,phi.allSlack.E1,720
f.mc.6x5.train.99,phi.allSlack.E1,985
f.mc.6x5.train.100,phi.allSlack.E1,1025
f.mc.6x5.train.101,phi.allSlack.E1,385
f.mc.6x5.train.102,phi.allSlack.E1,478
f.mc.6x5.train.103,phi.allSlack.E1,697
f.mc.6x5.train.104,phi.allSlack.E1,524
f.mc.6x5.train.105,phi.allSlack.E1,759
f.mc.6x5.train.106,phi.allSlack.E1,702
f.mc.6x5.train.107,phi.allSlack.E1,841
f.mc.6x5.train.108,phi.allSlack.E1,299
f.mc.6x5.train.109,phi.allSlack.E1,465
f.mc.6x5.train.110,phi.allSlack.E1,414
f.mc.6x5.train.111,phi.allSlack.E1,589
f.mc.6x5.train.112,phi.allSlack.E1,573
f.mc.6x5.train.113,phi.allSlack.E1,761
f.mc.6x5.train.114,phi.allSlack.E1,780
f.mc.6x5.train.115,phi.allSlack.E1,825
f.mc.6x5.train.116,phi.allSlack.E1,538
f.mc.6x5.train.117,phi.allSlack.E1,437
f.mc.6x5.train.118,phi.allSlack.E1,553
f.mc.6x5.train.119,phi.allSlack.E1,608
f.mc.6x5.train.120,phi.allSlack.E1,861
f.mc.6x5.train.121,phi.allSlack.E1,794
f.mc.6x5.train.122,phi.allSlack.E1,795
f.mc.6x5.train.123,phi.allSlack.E1,199
f.mc.6x5.train.124,phi.allSlack.E1,570
f.mc.6x5.train.125,phi.allSlack.E1,510
f.mc.6x5.train.126,phi.allSlack.E1,591
f.mc.6x5.train.127,phi.allSlack.E1,620
f.mc.6x5.train.128,phi.allSlack.E1,666
f.mc.6x5.train.129,phi.allSlack.E1,847
f.mc.6x5.train.130,phi.allSlack.E1,693
f.mc.6x5.train.131,phi.allSlack.E1,359
f.mc.6x5.train.132,phi.allSlack.E1,423
f.mc.6x5.train.133,phi.allSlack.E1,613
f.mc.6x5.train.134,phi.allSlack.E1,571
f.mc.6x5.train.135,phi.allSlack.E1,653
f.mc.6x5.train.136,phi.allSlack.E1,700
f.mc.6x5.train.137,phi.allSlack.E1,871
f.mc.6x5.train.138,phi.allSlack.E1,899
f.mc.6x5.train.139,phi.allSlack.E1,415
f.mc.6x5.train.140,phi.allSlack.E1,646
f.mc.6x5.train.141,phi.allSlack.E1,740
f.mc.6x5.train.142,phi.allSlack.E1,748
f.mc.6x5.train.143,phi.allSlack.E1,666
f.mc.6x5.train.144,phi.allSlack.E1,809
f.mc.6x5.train.145,phi.allSlack.E1,707
f.mc.6x5.train.146,phi.allSlack.E1,345
f.mc.6x5.train.147,phi.allSlack.E1,358
f.mc.6x5.train.148,phi.allSlack.E1,687
f.mc.6x5.train.149,phi.allSlack.E1,471
f.mc.6x5.train.150,phi.allSlack.E1,696
f.mc.6x5.train.151,phi.allSlack.E1,731
f.mc.6x5.train.152,phi.allSlack.E1,833
f.mc.6x5.train.153,phi.allSlack.E1,905
f.mc.6x5.train.154,phi.allSlack.E1,409
f.mc.6x5.train.155,phi.allSlack.E1,450
f.mc.6x5.train.156,phi.allSlack.E1,559
f.mc.6x5.train.157,phi.allSlack.E1,762
f.mc.6x5.train.158,phi.allSlack.E1,606
f.mc.6x5.train.159,phi.allSlack.E1,789
f.mc.6x5.train.160,phi.allSlack.E1,837
f.mc.6x5.train.161,phi.allSlack.E1,481
f.mc.6x5.train.162,phi.allSlack.E1,404
f.mc.6x5.train.163,phi.allSlack.E1,572
f.mc.6x5.train.164,phi.allSlack.E1,530
f.mc.6x5.train.165,phi.allSlack.E1,609
f.mc.6x5.train.166,phi.allSlack.E1,816
f.mc.6x5.train.167,phi.allSlack.E1,755
f.mc.6x5.train.168,phi.allSlack.E1,770
f.mc.6x5.train.169,phi.allSlack.E1,469
f.mc.6x5.train.170,phi.allSlack.E1,473
f.mc.6x5.train.171,phi.allSlack.E1,496
f.mc.6x5.train.172,phi.allSlack.E1,509
f.mc.6x5.train.173,phi.allSlack.E1,610
f.mc.6x5.train.174,phi.allSlack.E1,730
f.mc.6x5.train.175,phi.allSlack.E1,808
f.mc.6x5.train.176,phi.allSlack.E1,791
f.mc.6x5.train.177,phi.allSlack.E1,517
f.mc.6x5.train.178,phi.allSlack.E1,486
f.mc.6x5.train.179,phi.allSlack.E1,578
f.mc.6x5.train.180,phi.allSlack.E1,677
f.mc.6x5.train.181,phi.allSlack.E1,693
f.mc.6x5.train.182,phi.allSlack.E1,971
f.mc.6x5.train.183,phi.allSlack.E1,984
f.mc.6x5.train.184,phi.allSlack.E1,442
f.mc.6x5.train.185,phi.allSlack.E1,548
f.mc.6x5.train.186,phi.allSlack.E1,512
f.mc.6x5.train.187,phi.allSlack.E1,491
f.mc.6x5.train.188,phi.allSlack.E1,633
f.mc.6x5.train.189,phi.allSlack.E1,821
f.mc.6x5.train.190,phi.allSlack.E1,874
f.mc.6x5.train.191,phi.allSlack.E1,851
f.mc.6x5.train.192,phi.allSlack.E1,344
f.mc.6x5.train.193,phi.allSlack.E1,499
f.mc.6x5.train.194,phi.allSlack.E1,462
f.mc.6x5.train.195,phi.allSlack.E1,590
f.mc.6x5.train.196,phi.allSlack.E1,595
f.mc.6x5.train.197,phi.allSlack.E1,782
f.mc.6x5.train.198,phi.allSlack.E1,964
f.mc.6x5.train.199,phi.allSlack.E1,336
f.mc.6x5.train.200,phi.allSlack.E1,365
f.mc.6x5.train.201,phi.allSlack.E1,589
f.mc.6x5.train.202,phi.allSlack.E1,619
f.mc.6x5.train.203,phi.allSlack.E1,646
f.mc.6x5.train.204,phi.allSlack.E1,725
f.mc.6x5.train.205,phi.allSlack.E1,808
f.mc.6x5.train.206,phi.allSlack.E1,950
f.mc.6x5.train.207,phi.allSlack.E1,392
f.mc.6x5.train.208,phi.allSlack.E1,332
f.mc.6x5.train.209,phi.allSlack.E1,377
f.mc.6x5.train.210,phi.allSlack.E1,533
f.mc.6x5.train.211,phi.allSlack.E1,635
f.mc.6x5.train.212,phi.allSlack.E1,749
f.mc.6x5.train.213,phi.allSlack.E1,643
f.mc.6x5.train.214,phi.allSlack.E1,963
f.mc.6x5.train.215,phi.allSlack.E1,367
f.mc.6x5.train.216,phi.allSlack.E1,600
f.mc.6x5.train.217,phi.allSlack.E1,450
f.mc.6x5.train.218,phi.allSlack.E1,587
f.mc.6x5.train.219,phi.allSlack.E1,602
f.mc.6x5.train.220,phi.allSlack.E1,756
f.mc.6x5.train.221,phi.allSlack.E1,864
f.mc.6x5.train.222,phi.allSlack.E1,348
f.mc.6x5.train.223,phi.allSlack.E1,421
f.mc.6x5.train.224,phi.allSlack.E1,512
f.mc.6x5.train.225,phi.allSlack.E1,607
f.mc.6x5.train.226,phi.allSlack.E1,703
f.mc.6x5.train.227,phi.allSlack.E1,808
f.mc.6x5.train.228,phi.allSlack.E1,662
f.mc.6x5.train.229,phi.allSlack.E1,892
f.mc.6x5.train.230,phi.allSlack.E1,466
f.mc.6x5.train.231,phi.allSlack.E1,486
f.mc.6x5.train.232,phi.allSlack.E1,419
f.mc.6x5.train.233,phi.allSlack.E1,670
f.mc.6x5.train.234,phi.allSlack.E1,668
f.mc.6x5.train.235,phi.allSlack.E1,628
f.mc.6x5.train.236,phi.allSlack.E1,850
f.mc.6x5.train.237,phi.allSlack.E1,236
f.mc.6x5.train.238,phi.allSlack.E1,490
f.mc.6x5.train.239,phi.allSlack.E1,575
f.mc.6x5.train.240,phi.allSlack.E1,566
f.mc.6x5.train.241,phi.allSlack.E1,547
f.mc.6x5.train.242,phi.allSlack.E1,772
f.mc.6x5.train.243,phi.allSlack.E1,890
f.mc.6x5.train.244,phi.allSlack.E1,861
f.mc.6x5.train.245,phi.allSlack.E1,322
f.mc.6x5.train.246,phi.allSlack.E1,499
f.mc.6x5.train.247,phi.allSlack.E1,548
f.mc.6x5.train.248,phi.allSlack.E1,686
f.mc.6x5.train.249,phi.allSlack.E1,631
f.mc.6x5.train.250,phi.allSlack.E1,512
f.mc.6x5.train.251,phi.allSlack.E1,849
f.mc.6x5.train.252,phi.allSlack.E1,901
f.mc.6x5.train.253,phi.allSlack.E1,487
f.mc.6x5.train.254,phi.allSlack.E1,239
f.mc.6x5.train.255,phi.allSlack.E1,536
f.mc.6x5.train.256,phi.allSlack.E1,612
f.mc.6x5.train.257,phi.allSlack.E1,757
f.mc.6x5.train.258,phi.allSlack.E1,597
f.mc.6x5.train.259,phi.allSlack.E1,809
f.mc.6x5.train.260,phi.allSlack.E1,429
f.mc.6x5.train.261,phi.allSlack.E1,464
f.mc.6x5.train.262,phi.allSlack.E1,645
f.mc.6x5.train.263,phi.allSlack.E1,716
f.mc.6x5.train.264,phi.allSlack.E1,675
f.mc.6x5.train.265,phi.allSlack.E1,680
f.mc.6x5.train.266,phi.allSlack.E1,921
f.mc.6x5.train.267,phi.allSlack.E1,880
f.mc.6x5.train.268,phi.allSlack.E1,476
f.mc.6x5.train.269,phi.allSlack.E1,474
f.mc.6x5.train.270,phi.allSlack.E1,634
f.mc.6x5.train.271,phi.allSlack.E1,639
f.mc.6x5.train.272,phi.allSlack.E1,658
f.mc.6x5.train.273,phi.allSlack.E1,737
f.mc.6x5.train.274,phi.allSlack.E1,829
f.mc.6x5.train.275,phi.allSlack.E1,396
f.mc.6x5.train.276,phi.allSlack.E1,462
f.mc.6x5.train.277,phi.allSlack.E1,485
f.mc.6x5.train.278,phi.allSlack.E1,587
f.mc.6x5.train.279,phi.allSlack.E1,676
f.mc.6x5.train.280,phi.allSlack.E1,728
f.mc.6x5.train.281,phi.allSlack.E1,688
f.mc.6x5.train.282,phi.allSlack.E1,714
f.mc.6x5.train.283,phi.allSlack.E1,423
f.mc.6x5.train.284,phi.allSlack.E1,577
f.mc.6x5.train.285,phi.allSlack.E1,575
f.mc.6x5.train.286,phi.allSlack.E1,569
f.mc.6x5.train.287,phi.allSlack.E1,709
f.mc.6x5.train.288,phi.allSlack.E1,815
f.mc.6x5.train.289,phi.allSlack.E1,1036
f.mc.6x5.train.290,phi.allSlack.E1,940
f.mc.6x5.train.291,phi.allSlack.E1,425
f.mc.6x5.train.292,phi.allSlack.E1,433
f.mc.6x5.train.293,phi.allSlack.E1,590
f.mc.6x5.train.294,phi.allSlack.E1,709
f.mc.6x5.train.295,phi.allSlack.E1,453
f.mc.6x5.train.296,phi.allSlack.E1,697
f.mc.6x5.train.297,phi.allSlack.E1,909
f.mc.6x5.train.298,phi.allSlack.E1,353
f.mc.6x5.train.299,phi.allSlack.E1,366
f.mc.6x5.train.300,phi.allSlack.E1,473
f.mc.6x5.train.301,phi.allSlack.E1,574
f.mc.6x5.train.302,phi.allSlack.E1,608
f.mc.6x5.train.303,phi.allSlack.E1,764
f.mc.6x5.train.304,phi.allSlack.E1,747
f.mc.6x5.train.305,phi.allSlack.E1,991
f.mc.6x5.train.306,phi.allSlack.E1,428
f.mc.6x5.train.307,phi.allSlack.E1,470
f.mc.6x5.train.308,phi.allSlack.E1,643
f.mc.6x5.train.309,phi.allSlack.E1,670
f.mc.6x5.train.310,phi.allSlack.E1,716
f.mc.6x5.train.311,phi.allSlack.E1,824
f.mc.6x5.train.312,phi.allSlack.E1,1023
f.mc.6x5.train.313,phi.allSlack.E1,256
f.mc.6x5.train.314,phi.allSlack.E1,336
f.mc.6x5.train.315,phi.allSlack.E1,393
f.mc.6x5.train.316,phi.allSlack.E1,554
f.mc.6x5.train.317,phi.allSlack.E1,718
f.mc.6x5.train.318,phi.allSlack.E1,662
f.mc.6x5.train.319,phi.allSlack.E1,729
f.mc.6x5.train.320,phi.allSlack.E1,839
f.mc.6x5.train.321,phi.allSlack.E1,484
f.mc.6x5.train.322,phi.allSlack.E1,380
f.mc.6x5.train.323,phi.allSlack.E1,579
f.mc.6x5.train.324,phi.allSlack.E1,600
f.mc.6x5.train.325,phi.allSlack.E1,775
f.mc.6x5.train.326,phi.allSlack.E1,820
f.mc.6x5.train.327,phi.allSlack.E1,724
f.mc.6x5.train.328,phi.allSlack.E1,875
f.mc.6x5.train.329,phi.allSlack.E1,427
f.mc.6x5.train.330,phi.allSlack.E1,531
f.mc.6x5.train.331,phi.allSlack.E1,503
f.mc.6x5.train.332,phi.allSlack.E1,647
f.mc.6x5.train.333,phi.allSlack.E1,758
f.mc.6x5.train.334,phi.allSlack.E1,830
f.mc.6x5.train.335,phi.allSlack.E1,929
f.mc.6x5.train.336,phi.allSlack.E1,368
f.mc.6x5.train.337,phi.allSlack.E1,376
f.mc.6x5.train.338,phi.allSlack.E1,597
f.mc.6x5.train.339,phi.allSlack.E1,566
