Name,CDR,Makespan
j.rndn.10x10.train.1,phi.arrival.E-1,916
j.rndn.10x10.train.2,phi.arrival.E-1,807
j.rndn.10x10.train.3,phi.arrival.E-1,940
j.rndn.10x10.train.4,phi.arrival.E-1,828
j.rndn.10x10.train.5,phi.arrival.E-1,849
j.rndn.10x10.train.6,phi.arrival.E-1,908
j.rndn.10x10.train.7,phi.arrival.E-1,913
j.rndn.10x10.train.8,phi.arrival.E-1,905
j.rndn.10x10.train.9,phi.arrival.E-1,788
j.rndn.10x10.train.10,phi.arrival.E-1,851
j.rndn.10x10.train.11,phi.arrival.E-1,927
j.rndn.10x10.train.12,phi.arrival.E-1,851
j.rndn.10x10.train.13,phi.arrival.E-1,922
j.rndn.10x10.train.14,phi.arrival.E-1,870
j.rndn.10x10.train.15,phi.arrival.E-1,928
j.rndn.10x10.train.16,phi.arrival.E-1,814
j.rndn.10x10.train.17,phi.arrival.E-1,1004
j.rndn.10x10.train.18,phi.arrival.E-1,829
j.rndn.10x10.train.19,phi.arrival.E-1,999
j.rndn.10x10.train.20,phi.arrival.E-1,903
j.rndn.10x10.train.21,phi.arrival.E-1,958
j.rndn.10x10.train.22,phi.arrival.E-1,942
j.rndn.10x10.train.23,phi.arrival.E-1,1004
j.rndn.10x10.train.24,phi.arrival.E-1,852
j.rndn.10x10.train.25,phi.arrival.E-1,898
j.rndn.10x10.train.26,phi.arrival.E-1,835
j.rndn.10x10.train.27,phi.arrival.E-1,834
j.rndn.10x10.train.28,phi.arrival.E-1,936
j.rndn.10x10.train.29,phi.arrival.E-1,852
j.rndn.10x10.train.30,phi.arrival.E-1,1058
j.rndn.10x10.train.31,phi.arrival.E-1,863
j.rndn.10x10.train.32,phi.arrival.E-1,952
j.rndn.10x10.train.33,phi.arrival.E-1,845
j.rndn.10x10.train.34,phi.arrival.E-1,812
j.rndn.10x10.train.35,phi.arrival.E-1,867
j.rndn.10x10.train.36,phi.arrival.E-1,804
j.rndn.10x10.train.37,phi.arrival.E-1,862
j.rndn.10x10.train.38,phi.arrival.E-1,808
j.rndn.10x10.train.39,phi.arrival.E-1,837
j.rndn.10x10.train.40,phi.arrival.E-1,899
j.rndn.10x10.train.41,phi.arrival.E-1,866
j.rndn.10x10.train.42,phi.arrival.E-1,854
j.rndn.10x10.train.43,phi.arrival.E-1,911
j.rndn.10x10.train.44,phi.arrival.E-1,951
j.rndn.10x10.train.45,phi.arrival.E-1,938
j.rndn.10x10.train.46,phi.arrival.E-1,933
j.rndn.10x10.train.47,phi.arrival.E-1,822
j.rndn.10x10.train.48,phi.arrival.E-1,969
j.rndn.10x10.train.49,phi.arrival.E-1,852
j.rndn.10x10.train.50,phi.arrival.E-1,905
j.rndn.10x10.train.51,phi.arrival.E-1,846
j.rndn.10x10.train.52,phi.arrival.E-1,917
j.rndn.10x10.train.53,phi.arrival.E-1,820
j.rndn.10x10.train.54,phi.arrival.E-1,878
j.rndn.10x10.train.55,phi.arrival.E-1,907
j.rndn.10x10.train.56,phi.arrival.E-1,921
j.rndn.10x10.train.57,phi.arrival.E-1,980
j.rndn.10x10.train.58,phi.arrival.E-1,860
j.rndn.10x10.train.59,phi.arrival.E-1,826
j.rndn.10x10.train.60,phi.arrival.E-1,900
