Name,CDR,Makespan
f.jc.6x5.train.1,phi.arrival.E1,831
f.jc.6x5.train.2,phi.arrival.E1,390
f.jc.6x5.train.3,phi.arrival.E1,297
f.jc.6x5.train.4,phi.arrival.E1,546
f.jc.6x5.train.5,phi.arrival.E1,581
f.jc.6x5.train.6,phi.arrival.E1,636
f.jc.6x5.train.7,phi.arrival.E1,744
f.jc.6x5.train.8,phi.arrival.E1,686
f.jc.6x5.train.9,phi.arrival.E1,384
f.jc.6x5.train.10,phi.arrival.E1,440
f.jc.6x5.train.11,phi.arrival.E1,553
f.jc.6x5.train.12,phi.arrival.E1,470
f.jc.6x5.train.13,phi.arrival.E1,691
f.jc.6x5.train.14,phi.arrival.E1,703
f.jc.6x5.train.15,phi.arrival.E1,809
f.jc.6x5.train.16,phi.arrival.E1,736
f.jc.6x5.train.17,phi.arrival.E1,404
f.jc.6x5.train.18,phi.arrival.E1,455
f.jc.6x5.train.19,phi.arrival.E1,579
f.jc.6x5.train.20,phi.arrival.E1,596
f.jc.6x5.train.21,phi.arrival.E1,599
f.jc.6x5.train.22,phi.arrival.E1,669
f.jc.6x5.train.23,phi.arrival.E1,699
f.jc.6x5.train.24,phi.arrival.E1,827
f.jc.6x5.train.25,phi.arrival.E1,189
f.jc.6x5.train.26,phi.arrival.E1,461
f.jc.6x5.train.27,phi.arrival.E1,425
f.jc.6x5.train.28,phi.arrival.E1,564
f.jc.6x5.train.29,phi.arrival.E1,645
f.jc.6x5.train.30,phi.arrival.E1,724
f.jc.6x5.train.31,phi.arrival.E1,800
f.jc.6x5.train.32,phi.arrival.E1,391
f.jc.6x5.train.33,phi.arrival.E1,436
f.jc.6x5.train.34,phi.arrival.E1,518
f.jc.6x5.train.35,phi.arrival.E1,595
f.jc.6x5.train.36,phi.arrival.E1,618
f.jc.6x5.train.37,phi.arrival.E1,602
f.jc.6x5.train.38,phi.arrival.E1,762
f.jc.6x5.train.39,phi.arrival.E1,747
f.jc.6x5.train.40,phi.arrival.E1,193
f.jc.6x5.train.41,phi.arrival.E1,443
f.jc.6x5.train.42,phi.arrival.E1,481
f.jc.6x5.train.43,phi.arrival.E1,527
f.jc.6x5.train.44,phi.arrival.E1,654
f.jc.6x5.train.45,phi.arrival.E1,674
f.jc.6x5.train.46,phi.arrival.E1,801
f.jc.6x5.train.47,phi.arrival.E1,413
f.jc.6x5.train.48,phi.arrival.E1,370
f.jc.6x5.train.49,phi.arrival.E1,449
f.jc.6x5.train.50,phi.arrival.E1,548
f.jc.6x5.train.51,phi.arrival.E1,576
f.jc.6x5.train.52,phi.arrival.E1,717
f.jc.6x5.train.53,phi.arrival.E1,643
f.jc.6x5.train.54,phi.arrival.E1,868
f.jc.6x5.train.55,phi.arrival.E1,430
f.jc.6x5.train.56,phi.arrival.E1,461
f.jc.6x5.train.57,phi.arrival.E1,512
f.jc.6x5.train.58,phi.arrival.E1,556
