Name,CDR,Makespan
f.mc.6x5.train.1,phi.jobOps.E1,833
f.mc.6x5.train.2,phi.jobOps.E1,403
f.mc.6x5.train.3,phi.jobOps.E1,317
f.mc.6x5.train.4,phi.jobOps.E1,553
f.mc.6x5.train.5,phi.jobOps.E1,611
f.mc.6x5.train.6,phi.jobOps.E1,669
f.mc.6x5.train.7,phi.jobOps.E1,744
f.mc.6x5.train.8,phi.jobOps.E1,692
f.mc.6x5.train.9,phi.jobOps.E1,417
f.mc.6x5.train.10,phi.jobOps.E1,413
f.mc.6x5.train.11,phi.jobOps.E1,565
f.mc.6x5.train.12,phi.jobOps.E1,494
f.mc.6x5.train.13,phi.jobOps.E1,694
f.mc.6x5.train.14,phi.jobOps.E1,706
f.mc.6x5.train.15,phi.jobOps.E1,851
f.mc.6x5.train.16,phi.jobOps.E1,607
f.mc.6x5.train.17,phi.jobOps.E1,417
f.mc.6x5.train.18,phi.jobOps.E1,487
f.mc.6x5.train.19,phi.jobOps.E1,559
f.mc.6x5.train.20,phi.jobOps.E1,619
f.mc.6x5.train.21,phi.jobOps.E1,641
f.mc.6x5.train.22,phi.jobOps.E1,714
f.mc.6x5.train.23,phi.jobOps.E1,681
f.mc.6x5.train.24,phi.jobOps.E1,851
f.mc.6x5.train.25,phi.jobOps.E1,213
f.mc.6x5.train.26,phi.jobOps.E1,473
f.mc.6x5.train.27,phi.jobOps.E1,432
f.mc.6x5.train.28,phi.jobOps.E1,600
f.mc.6x5.train.29,phi.jobOps.E1,651
f.mc.6x5.train.30,phi.jobOps.E1,752
f.mc.6x5.train.31,phi.jobOps.E1,843
f.mc.6x5.train.32,phi.jobOps.E1,406
f.mc.6x5.train.33,phi.jobOps.E1,456
f.mc.6x5.train.34,phi.jobOps.E1,544
f.mc.6x5.train.35,phi.jobOps.E1,598
f.mc.6x5.train.36,phi.jobOps.E1,628
f.mc.6x5.train.37,phi.jobOps.E1,623
f.mc.6x5.train.38,phi.jobOps.E1,743
f.mc.6x5.train.39,phi.jobOps.E1,749
f.mc.6x5.train.40,phi.jobOps.E1,200
f.mc.6x5.train.41,phi.jobOps.E1,395
f.mc.6x5.train.42,phi.jobOps.E1,500
f.mc.6x5.train.43,phi.jobOps.E1,535
f.mc.6x5.train.44,phi.jobOps.E1,641
f.mc.6x5.train.45,phi.jobOps.E1,695
f.mc.6x5.train.46,phi.jobOps.E1,829
f.mc.6x5.train.47,phi.jobOps.E1,403
f.mc.6x5.train.48,phi.jobOps.E1,373
f.mc.6x5.train.49,phi.jobOps.E1,499
f.mc.6x5.train.50,phi.jobOps.E1,602
f.mc.6x5.train.51,phi.jobOps.E1,572
f.mc.6x5.train.52,phi.jobOps.E1,758
f.mc.6x5.train.53,phi.jobOps.E1,667
f.mc.6x5.train.54,phi.jobOps.E1,867
f.mc.6x5.train.55,phi.jobOps.E1,451
f.mc.6x5.train.56,phi.jobOps.E1,500
f.mc.6x5.train.57,phi.jobOps.E1,512
f.mc.6x5.train.58,phi.jobOps.E1,586
f.mc.6x5.train.59,phi.jobOps.E1,607
f.mc.6x5.train.60,phi.jobOps.E1,698
f.mc.6x5.train.61,phi.jobOps.E1,789
f.mc.6x5.train.62,phi.jobOps.E1,866
f.mc.6x5.train.63,phi.jobOps.E1,365
f.mc.6x5.train.64,phi.jobOps.E1,494
f.mc.6x5.train.65,phi.jobOps.E1,521
f.mc.6x5.train.66,phi.jobOps.E1,584
f.mc.6x5.train.67,phi.jobOps.E1,635
f.mc.6x5.train.68,phi.jobOps.E1,748
f.mc.6x5.train.69,phi.jobOps.E1,746
f.mc.6x5.train.70,phi.jobOps.E1,375
f.mc.6x5.train.71,phi.jobOps.E1,406
f.mc.6x5.train.72,phi.jobOps.E1,460
f.mc.6x5.train.73,phi.jobOps.E1,532
f.mc.6x5.train.74,phi.jobOps.E1,618
f.mc.6x5.train.75,phi.jobOps.E1,697
f.mc.6x5.train.76,phi.jobOps.E1,763
f.mc.6x5.train.77,phi.jobOps.E1,832
f.mc.6x5.train.78,phi.jobOps.E1,425
f.mc.6x5.train.79,phi.jobOps.E1,543
f.mc.6x5.train.80,phi.jobOps.E1,395
f.mc.6x5.train.81,phi.jobOps.E1,549
f.mc.6x5.train.82,phi.jobOps.E1,532
f.mc.6x5.train.83,phi.jobOps.E1,722
f.mc.6x5.train.84,phi.jobOps.E1,808
f.mc.6x5.train.85,phi.jobOps.E1,264
f.mc.6x5.train.86,phi.jobOps.E1,330
f.mc.6x5.train.87,phi.jobOps.E1,495
f.mc.6x5.train.88,phi.jobOps.E1,557
f.mc.6x5.train.89,phi.jobOps.E1,495
f.mc.6x5.train.90,phi.jobOps.E1,629
f.mc.6x5.train.91,phi.jobOps.E1,741
f.mc.6x5.train.92,phi.jobOps.E1,891
f.mc.6x5.train.93,phi.jobOps.E1,406
