Name,CDR,Makespan
f.mc.6x5.train.1,phi.jobWrm.E1,828
f.mc.6x5.train.2,phi.jobWrm.E1,417
f.mc.6x5.train.3,phi.jobWrm.E1,374
f.mc.6x5.train.4,phi.jobWrm.E1,616
f.mc.6x5.train.5,phi.jobWrm.E1,596
f.mc.6x5.train.6,phi.jobWrm.E1,665
f.mc.6x5.train.7,phi.jobWrm.E1,803
f.mc.6x5.train.8,phi.jobWrm.E1,740
f.mc.6x5.train.9,phi.jobWrm.E1,417
f.mc.6x5.train.10,phi.jobWrm.E1,455
f.mc.6x5.train.11,phi.jobWrm.E1,630
f.mc.6x5.train.12,phi.jobWrm.E1,495
f.mc.6x5.train.13,phi.jobWrm.E1,762
f.mc.6x5.train.14,phi.jobWrm.E1,819
f.mc.6x5.train.15,phi.jobWrm.E1,979
f.mc.6x5.train.16,phi.jobWrm.E1,667
f.mc.6x5.train.17,phi.jobWrm.E1,417
f.mc.6x5.train.18,phi.jobWrm.E1,523
f.mc.6x5.train.19,phi.jobWrm.E1,581
f.mc.6x5.train.20,phi.jobWrm.E1,782
f.mc.6x5.train.21,phi.jobWrm.E1,630
f.mc.6x5.train.22,phi.jobWrm.E1,717
f.mc.6x5.train.23,phi.jobWrm.E1,740
f.mc.6x5.train.24,phi.jobWrm.E1,987
f.mc.6x5.train.25,phi.jobWrm.E1,220
f.mc.6x5.train.26,phi.jobWrm.E1,513
f.mc.6x5.train.27,phi.jobWrm.E1,517
f.mc.6x5.train.28,phi.jobWrm.E1,632
f.mc.6x5.train.29,phi.jobWrm.E1,721
f.mc.6x5.train.30,phi.jobWrm.E1,814
f.mc.6x5.train.31,phi.jobWrm.E1,836
f.mc.6x5.train.32,phi.jobWrm.E1,444
f.mc.6x5.train.33,phi.jobWrm.E1,545
f.mc.6x5.train.34,phi.jobWrm.E1,593
f.mc.6x5.train.35,phi.jobWrm.E1,736
f.mc.6x5.train.36,phi.jobWrm.E1,651
f.mc.6x5.train.37,phi.jobWrm.E1,766
f.mc.6x5.train.38,phi.jobWrm.E1,815
f.mc.6x5.train.39,phi.jobWrm.E1,894
f.mc.6x5.train.40,phi.jobWrm.E1,209
f.mc.6x5.train.41,phi.jobWrm.E1,441
f.mc.6x5.train.42,phi.jobWrm.E1,540
f.mc.6x5.train.43,phi.jobWrm.E1,589
f.mc.6x5.train.44,phi.jobWrm.E1,677
f.mc.6x5.train.45,phi.jobWrm.E1,766
f.mc.6x5.train.46,phi.jobWrm.E1,820
f.mc.6x5.train.47,phi.jobWrm.E1,480
f.mc.6x5.train.48,phi.jobWrm.E1,371
f.mc.6x5.train.49,phi.jobWrm.E1,521
f.mc.6x5.train.50,phi.jobWrm.E1,584
f.mc.6x5.train.51,phi.jobWrm.E1,620
f.mc.6x5.train.52,phi.jobWrm.E1,842
f.mc.6x5.train.53,phi.jobWrm.E1,750
f.mc.6x5.train.54,phi.jobWrm.E1,865
f.mc.6x5.train.55,phi.jobWrm.E1,478
f.mc.6x5.train.56,phi.jobWrm.E1,566
f.mc.6x5.train.57,phi.jobWrm.E1,677
f.mc.6x5.train.58,phi.jobWrm.E1,588
f.mc.6x5.train.59,phi.jobWrm.E1,658
f.mc.6x5.train.60,phi.jobWrm.E1,716
f.mc.6x5.train.61,phi.jobWrm.E1,826
f.mc.6x5.train.62,phi.jobWrm.E1,851
f.mc.6x5.train.63,phi.jobWrm.E1,405
f.mc.6x5.train.64,phi.jobWrm.E1,480
f.mc.6x5.train.65,phi.jobWrm.E1,578
f.mc.6x5.train.66,phi.jobWrm.E1,582
f.mc.6x5.train.67,phi.jobWrm.E1,629
f.mc.6x5.train.68,phi.jobWrm.E1,741
f.mc.6x5.train.69,phi.jobWrm.E1,821
f.mc.6x5.train.70,phi.jobWrm.E1,467
f.mc.6x5.train.71,phi.jobWrm.E1,437
f.mc.6x5.train.72,phi.jobWrm.E1,512
f.mc.6x5.train.73,phi.jobWrm.E1,606
f.mc.6x5.train.74,phi.jobWrm.E1,650
f.mc.6x5.train.75,phi.jobWrm.E1,826
f.mc.6x5.train.76,phi.jobWrm.E1,943
f.mc.6x5.train.77,phi.jobWrm.E1,942
f.mc.6x5.train.78,phi.jobWrm.E1,457
f.mc.6x5.train.79,phi.jobWrm.E1,688
f.mc.6x5.train.80,phi.jobWrm.E1,389
f.mc.6x5.train.81,phi.jobWrm.E1,543
f.mc.6x5.train.82,phi.jobWrm.E1,595
f.mc.6x5.train.83,phi.jobWrm.E1,875
f.mc.6x5.train.84,phi.jobWrm.E1,880
f.mc.6x5.train.85,phi.jobWrm.E1,273
f.mc.6x5.train.86,phi.jobWrm.E1,354
f.mc.6x5.train.87,phi.jobWrm.E1,485
f.mc.6x5.train.88,phi.jobWrm.E1,626
f.mc.6x5.train.89,phi.jobWrm.E1,527
f.mc.6x5.train.90,phi.jobWrm.E1,626
f.mc.6x5.train.91,phi.jobWrm.E1,740
f.mc.6x5.train.92,phi.jobWrm.E1,1018
f.mc.6x5.train.93,phi.jobWrm.E1,444
f.mc.6x5.train.94,phi.jobWrm.E1,512
f.mc.6x5.train.95,phi.jobWrm.E1,513
f.mc.6x5.train.96,phi.jobWrm.E1,731
f.mc.6x5.train.97,phi.jobWrm.E1,823
f.mc.6x5.train.98,phi.jobWrm.E1,777
f.mc.6x5.train.99,phi.jobWrm.E1,981
f.mc.6x5.train.100,phi.jobWrm.E1,1024
f.mc.6x5.train.101,phi.jobWrm.E1,381
f.mc.6x5.train.102,phi.jobWrm.E1,492
f.mc.6x5.train.103,phi.jobWrm.E1,570
f.mc.6x5.train.104,phi.jobWrm.E1,524
f.mc.6x5.train.105,phi.jobWrm.E1,690
f.mc.6x5.train.106,phi.jobWrm.E1,676
f.mc.6x5.train.107,phi.jobWrm.E1,841
f.mc.6x5.train.108,phi.jobWrm.E1,286
f.mc.6x5.train.109,phi.jobWrm.E1,519
f.mc.6x5.train.110,phi.jobWrm.E1,517
f.mc.6x5.train.111,phi.jobWrm.E1,572
f.mc.6x5.train.112,phi.jobWrm.E1,569
f.mc.6x5.train.113,phi.jobWrm.E1,706
f.mc.6x5.train.114,phi.jobWrm.E1,800
f.mc.6x5.train.115,phi.jobWrm.E1,943
f.mc.6x5.train.116,phi.jobWrm.E1,550
f.mc.6x5.train.117,phi.jobWrm.E1,419
f.mc.6x5.train.118,phi.jobWrm.E1,603
f.mc.6x5.train.119,phi.jobWrm.E1,695
f.mc.6x5.train.120,phi.jobWrm.E1,995
f.mc.6x5.train.121,phi.jobWrm.E1,845
f.mc.6x5.train.122,phi.jobWrm.E1,882
f.mc.6x5.train.123,phi.jobWrm.E1,221
f.mc.6x5.train.124,phi.jobWrm.E1,511
f.mc.6x5.train.125,phi.jobWrm.E1,522
f.mc.6x5.train.126,phi.jobWrm.E1,656
f.mc.6x5.train.127,phi.jobWrm.E1,616
f.mc.6x5.train.128,phi.jobWrm.E1,660
f.mc.6x5.train.129,phi.jobWrm.E1,781
f.mc.6x5.train.130,phi.jobWrm.E1,751
f.mc.6x5.train.131,phi.jobWrm.E1,357
f.mc.6x5.train.132,phi.jobWrm.E1,416
f.mc.6x5.train.133,phi.jobWrm.E1,567
f.mc.6x5.train.134,phi.jobWrm.E1,624
f.mc.6x5.train.135,phi.jobWrm.E1,745
f.mc.6x5.train.136,phi.jobWrm.E1,700
f.mc.6x5.train.137,phi.jobWrm.E1,800
f.mc.6x5.train.138,phi.jobWrm.E1,976
f.mc.6x5.train.139,phi.jobWrm.E1,400
f.mc.6x5.train.140,phi.jobWrm.E1,581
f.mc.6x5.train.141,phi.jobWrm.E1,622
f.mc.6x5.train.142,phi.jobWrm.E1,827
f.mc.6x5.train.143,phi.jobWrm.E1,679
f.mc.6x5.train.144,phi.jobWrm.E1,739
f.mc.6x5.train.145,phi.jobWrm.E1,705
f.mc.6x5.train.146,phi.jobWrm.E1,342
f.mc.6x5.train.147,phi.jobWrm.E1,402
f.mc.6x5.train.148,phi.jobWrm.E1,623
f.mc.6x5.train.149,phi.jobWrm.E1,468
f.mc.6x5.train.150,phi.jobWrm.E1,725
f.mc.6x5.train.151,phi.jobWrm.E1,770
f.mc.6x5.train.152,phi.jobWrm.E1,833
f.mc.6x5.train.153,phi.jobWrm.E1,897
