Name,CDR,Makespan
j.rndn.10x10.train.1,phi.jobWrm.E1,970
j.rndn.10x10.train.2,phi.jobWrm.E1,785
j.rndn.10x10.train.3,phi.jobWrm.E1,880
j.rndn.10x10.train.4,phi.jobWrm.E1,916
j.rndn.10x10.train.5,phi.jobWrm.E1,846
j.rndn.10x10.train.6,phi.jobWrm.E1,917
j.rndn.10x10.train.7,phi.jobWrm.E1,1011
j.rndn.10x10.train.8,phi.jobWrm.E1,905
j.rndn.10x10.train.9,phi.jobWrm.E1,847
j.rndn.10x10.train.10,phi.jobWrm.E1,855
j.rndn.10x10.train.11,phi.jobWrm.E1,885
j.rndn.10x10.train.12,phi.jobWrm.E1,819
j.rndn.10x10.train.13,phi.jobWrm.E1,919
j.rndn.10x10.train.14,phi.jobWrm.E1,902
j.rndn.10x10.train.15,phi.jobWrm.E1,917
j.rndn.10x10.train.16,phi.jobWrm.E1,867
j.rndn.10x10.train.17,phi.jobWrm.E1,845
j.rndn.10x10.train.18,phi.jobWrm.E1,950
j.rndn.10x10.train.19,phi.jobWrm.E1,916
j.rndn.10x10.train.20,phi.jobWrm.E1,1004
j.rndn.10x10.train.21,phi.jobWrm.E1,957
j.rndn.10x10.train.22,phi.jobWrm.E1,959
j.rndn.10x10.train.23,phi.jobWrm.E1,901
j.rndn.10x10.train.24,phi.jobWrm.E1,921
j.rndn.10x10.train.25,phi.jobWrm.E1,953
j.rndn.10x10.train.26,phi.jobWrm.E1,881
j.rndn.10x10.train.27,phi.jobWrm.E1,876
j.rndn.10x10.train.28,phi.jobWrm.E1,932
j.rndn.10x10.train.29,phi.jobWrm.E1,853
j.rndn.10x10.train.30,phi.jobWrm.E1,911
j.rndn.10x10.train.31,phi.jobWrm.E1,872
j.rndn.10x10.train.32,phi.jobWrm.E1,916
j.rndn.10x10.train.33,phi.jobWrm.E1,907
j.rndn.10x10.train.34,phi.jobWrm.E1,841
j.rndn.10x10.train.35,phi.jobWrm.E1,833
j.rndn.10x10.train.36,phi.jobWrm.E1,803
j.rndn.10x10.train.37,phi.jobWrm.E1,872
j.rndn.10x10.train.38,phi.jobWrm.E1,897
j.rndn.10x10.train.39,phi.jobWrm.E1,911
j.rndn.10x10.train.40,phi.jobWrm.E1,936
j.rndn.10x10.train.41,phi.jobWrm.E1,861
j.rndn.10x10.train.42,phi.jobWrm.E1,859
j.rndn.10x10.train.43,phi.jobWrm.E1,858
j.rndn.10x10.train.44,phi.jobWrm.E1,939
j.rndn.10x10.train.45,phi.jobWrm.E1,956
j.rndn.10x10.train.46,phi.jobWrm.E1,891
j.rndn.10x10.train.47,phi.jobWrm.E1,858
j.rndn.10x10.train.48,phi.jobWrm.E1,952
j.rndn.10x10.train.49,phi.jobWrm.E1,857
j.rndn.10x10.train.50,phi.jobWrm.E1,910
j.rndn.10x10.train.51,phi.jobWrm.E1,846
j.rndn.10x10.train.52,phi.jobWrm.E1,954
j.rndn.10x10.train.53,phi.jobWrm.E1,768
j.rndn.10x10.train.54,phi.jobWrm.E1,913
j.rndn.10x10.train.55,phi.jobWrm.E1,942
j.rndn.10x10.train.56,phi.jobWrm.E1,908
j.rndn.10x10.train.57,phi.jobWrm.E1,990
j.rndn.10x10.train.58,phi.jobWrm.E1,922
j.rndn.10x10.train.59,phi.jobWrm.E1,909
j.rndn.10x10.train.60,phi.jobWrm.E1,768
j.rndn.10x10.train.61,phi.jobWrm.E1,941
j.rndn.10x10.train.62,phi.jobWrm.E1,1016
j.rndn.10x10.train.63,phi.jobWrm.E1,872
j.rndn.10x10.train.64,phi.jobWrm.E1,889
j.rndn.10x10.train.65,phi.jobWrm.E1,911
j.rndn.10x10.train.66,phi.jobWrm.E1,976
j.rndn.10x10.train.67,phi.jobWrm.E1,821
j.rndn.10x10.train.68,phi.jobWrm.E1,904
j.rndn.10x10.train.69,phi.jobWrm.E1,966
j.rndn.10x10.train.70,phi.jobWrm.E1,914
j.rndn.10x10.train.71,phi.jobWrm.E1,877
j.rndn.10x10.train.72,phi.jobWrm.E1,961
j.rndn.10x10.train.73,phi.jobWrm.E1,891
j.rndn.10x10.train.74,phi.jobWrm.E1,901
j.rndn.10x10.train.75,phi.jobWrm.E1,814
j.rndn.10x10.train.76,phi.jobWrm.E1,904
j.rndn.10x10.train.77,phi.jobWrm.E1,878
j.rndn.10x10.train.78,phi.jobWrm.E1,952
j.rndn.10x10.train.79,phi.jobWrm.E1,1000
j.rndn.10x10.train.80,phi.jobWrm.E1,898
j.rndn.10x10.train.81,phi.jobWrm.E1,790
j.rndn.10x10.train.82,phi.jobWrm.E1,899
j.rndn.10x10.train.83,phi.jobWrm.E1,947
j.rndn.10x10.train.84,phi.jobWrm.E1,937
j.rndn.10x10.train.85,phi.jobWrm.E1,838
j.rndn.10x10.train.86,phi.jobWrm.E1,943
j.rndn.10x10.train.87,phi.jobWrm.E1,918
j.rndn.10x10.train.88,phi.jobWrm.E1,879
j.rndn.10x10.train.89,phi.jobWrm.E1,860
j.rndn.10x10.train.90,phi.jobWrm.E1,896
j.rndn.10x10.train.91,phi.jobWrm.E1,808
j.rndn.10x10.train.92,phi.jobWrm.E1,903
j.rndn.10x10.train.93,phi.jobWrm.E1,891
j.rndn.10x10.train.94,phi.jobWrm.E1,869
j.rndn.10x10.train.95,phi.jobWrm.E1,866
j.rndn.10x10.train.96,phi.jobWrm.E1,896
j.rndn.10x10.train.97,phi.jobWrm.E1,892
j.rndn.10x10.train.98,phi.jobWrm.E1,814
j.rndn.10x10.train.99,phi.jobWrm.E1,856
j.rndn.10x10.train.100,phi.jobWrm.E1,907
j.rndn.10x10.train.101,phi.jobWrm.E1,810
j.rndn.10x10.train.102,phi.jobWrm.E1,944
j.rndn.10x10.train.103,phi.jobWrm.E1,1000
j.rndn.10x10.train.104,phi.jobWrm.E1,911
j.rndn.10x10.train.105,phi.jobWrm.E1,853
j.rndn.10x10.train.106,phi.jobWrm.E1,958
j.rndn.10x10.train.107,phi.jobWrm.E1,862
j.rndn.10x10.train.108,phi.jobWrm.E1,911
j.rndn.10x10.train.109,phi.jobWrm.E1,803
j.rndn.10x10.train.110,phi.jobWrm.E1,943
j.rndn.10x10.train.111,phi.jobWrm.E1,901
