Name,CDR,Makespan
f.mc.6x5.train.1,phi.macFree.E1,919
f.mc.6x5.train.2,phi.macFree.E1,451
f.mc.6x5.train.3,phi.macFree.E1,396
f.mc.6x5.train.4,phi.macFree.E1,546
f.mc.6x5.train.5,phi.macFree.E1,603
f.mc.6x5.train.6,phi.macFree.E1,762
f.mc.6x5.train.7,phi.macFree.E1,743
f.mc.6x5.train.8,phi.macFree.E1,692
f.mc.6x5.train.9,phi.macFree.E1,419
f.mc.6x5.train.10,phi.macFree.E1,483
f.mc.6x5.train.11,phi.macFree.E1,567
f.mc.6x5.train.12,phi.macFree.E1,492
f.mc.6x5.train.13,phi.macFree.E1,762
f.mc.6x5.train.14,phi.macFree.E1,811
f.mc.6x5.train.15,phi.macFree.E1,849
f.mc.6x5.train.16,phi.macFree.E1,628
f.mc.6x5.train.17,phi.macFree.E1,431
f.mc.6x5.train.18,phi.macFree.E1,489
f.mc.6x5.train.19,phi.macFree.E1,611
f.mc.6x5.train.20,phi.macFree.E1,625
f.mc.6x5.train.21,phi.macFree.E1,630
f.mc.6x5.train.22,phi.macFree.E1,720
f.mc.6x5.train.23,phi.macFree.E1,798
f.mc.6x5.train.24,phi.macFree.E1,849
f.mc.6x5.train.25,phi.macFree.E1,212
f.mc.6x5.train.26,phi.macFree.E1,522
f.mc.6x5.train.27,phi.macFree.E1,563
f.mc.6x5.train.28,phi.macFree.E1,600
f.mc.6x5.train.29,phi.macFree.E1,777
f.mc.6x5.train.30,phi.macFree.E1,814
f.mc.6x5.train.31,phi.macFree.E1,847
f.mc.6x5.train.32,phi.macFree.E1,407
f.mc.6x5.train.33,phi.macFree.E1,455
f.mc.6x5.train.34,phi.macFree.E1,637
f.mc.6x5.train.35,phi.macFree.E1,601
f.mc.6x5.train.36,phi.macFree.E1,710
f.mc.6x5.train.37,phi.macFree.E1,625
f.mc.6x5.train.38,phi.macFree.E1,899
f.mc.6x5.train.39,phi.macFree.E1,820
f.mc.6x5.train.40,phi.macFree.E1,235
f.mc.6x5.train.41,phi.macFree.E1,403
f.mc.6x5.train.42,phi.macFree.E1,552
