Name,CDR,Makespan
f.rnd.6x5.train.1,phi.macOps.E-1,685
f.rnd.6x5.train.2,phi.macOps.E-1,509
f.rnd.6x5.train.3,phi.macOps.E-1,511
f.rnd.6x5.train.4,phi.macOps.E-1,668
f.rnd.6x5.train.5,phi.macOps.E-1,584
f.rnd.6x5.train.6,phi.macOps.E-1,591
f.rnd.6x5.train.7,phi.macOps.E-1,633
f.rnd.6x5.train.8,phi.macOps.E-1,565
f.rnd.6x5.train.9,phi.macOps.E-1,576
f.rnd.6x5.train.10,phi.macOps.E-1,635
f.rnd.6x5.train.11,phi.macOps.E-1,693
f.rnd.6x5.train.12,phi.macOps.E-1,536
f.rnd.6x5.train.13,phi.macOps.E-1,643
f.rnd.6x5.train.14,phi.macOps.E-1,575
f.rnd.6x5.train.15,phi.macOps.E-1,774
f.rnd.6x5.train.16,phi.macOps.E-1,649
f.rnd.6x5.train.17,phi.macOps.E-1,622
f.rnd.6x5.train.18,phi.macOps.E-1,640
f.rnd.6x5.train.19,phi.macOps.E-1,754
f.rnd.6x5.train.20,phi.macOps.E-1,645
f.rnd.6x5.train.21,phi.macOps.E-1,519
f.rnd.6x5.train.22,phi.macOps.E-1,659
f.rnd.6x5.train.23,phi.macOps.E-1,569
f.rnd.6x5.train.24,phi.macOps.E-1,642
f.rnd.6x5.train.25,phi.macOps.E-1,629
f.rnd.6x5.train.26,phi.macOps.E-1,645
f.rnd.6x5.train.27,phi.macOps.E-1,530
f.rnd.6x5.train.28,phi.macOps.E-1,626
f.rnd.6x5.train.29,phi.macOps.E-1,627
f.rnd.6x5.train.30,phi.macOps.E-1,666
f.rnd.6x5.train.31,phi.macOps.E-1,605
f.rnd.6x5.train.32,phi.macOps.E-1,691
f.rnd.6x5.train.33,phi.macOps.E-1,696
f.rnd.6x5.train.34,phi.macOps.E-1,643
f.rnd.6x5.train.35,phi.macOps.E-1,796
f.rnd.6x5.train.36,phi.macOps.E-1,630
f.rnd.6x5.train.37,phi.macOps.E-1,519
f.rnd.6x5.train.38,phi.macOps.E-1,740
f.rnd.6x5.train.39,phi.macOps.E-1,560
f.rnd.6x5.train.40,phi.macOps.E-1,541
f.rnd.6x5.train.41,phi.macOps.E-1,583
f.rnd.6x5.train.42,phi.macOps.E-1,541
f.rnd.6x5.train.43,phi.macOps.E-1,516
f.rnd.6x5.train.44,phi.macOps.E-1,706
f.rnd.6x5.train.45,phi.macOps.E-1,645
f.rnd.6x5.train.46,phi.macOps.E-1,703
f.rnd.6x5.train.47,phi.macOps.E-1,651
f.rnd.6x5.train.48,phi.macOps.E-1,637
f.rnd.6x5.train.49,phi.macOps.E-1,641
f.rnd.6x5.train.50,phi.macOps.E-1,638
f.rnd.6x5.train.51,phi.macOps.E-1,672
f.rnd.6x5.train.52,phi.macOps.E-1,672
f.rnd.6x5.train.53,phi.macOps.E-1,642
f.rnd.6x5.train.54,phi.macOps.E-1,644
f.rnd.6x5.train.55,phi.macOps.E-1,731
f.rnd.6x5.train.56,phi.macOps.E-1,747
f.rnd.6x5.train.57,phi.macOps.E-1,557
f.rnd.6x5.train.58,phi.macOps.E-1,705
f.rnd.6x5.train.59,phi.macOps.E-1,680
f.rnd.6x5.train.60,phi.macOps.E-1,590
f.rnd.6x5.train.61,phi.macOps.E-1,699
f.rnd.6x5.train.62,phi.macOps.E-1,563
f.rnd.6x5.train.63,phi.macOps.E-1,747
f.rnd.6x5.train.64,phi.macOps.E-1,838
f.rnd.6x5.train.65,phi.macOps.E-1,641
f.rnd.6x5.train.66,phi.macOps.E-1,653
