Name,CDR,Makespan
j.rnd.6x5.train.1,phi.macSlack.E-1,556
j.rnd.6x5.train.2,phi.macSlack.E-1,439
j.rnd.6x5.train.3,phi.macSlack.E-1,355
j.rnd.6x5.train.4,phi.macSlack.E-1,529
j.rnd.6x5.train.5,phi.macSlack.E-1,522
j.rnd.6x5.train.6,phi.macSlack.E-1,570
j.rnd.6x5.train.7,phi.macSlack.E-1,485
j.rnd.6x5.train.8,phi.macSlack.E-1,502
j.rnd.6x5.train.9,phi.macSlack.E-1,460
j.rnd.6x5.train.10,phi.macSlack.E-1,444
j.rnd.6x5.train.11,phi.macSlack.E-1,536
j.rnd.6x5.train.12,phi.macSlack.E-1,446
j.rnd.6x5.train.13,phi.macSlack.E-1,554
j.rnd.6x5.train.14,phi.macSlack.E-1,559
j.rnd.6x5.train.15,phi.macSlack.E-1,546
j.rnd.6x5.train.16,phi.macSlack.E-1,748
j.rnd.6x5.train.17,phi.macSlack.E-1,526
j.rnd.6x5.train.18,phi.macSlack.E-1,577
j.rnd.6x5.train.19,phi.macSlack.E-1,602
j.rnd.6x5.train.20,phi.macSlack.E-1,586
j.rnd.6x5.train.21,phi.macSlack.E-1,432
j.rnd.6x5.train.22,phi.macSlack.E-1,616
j.rnd.6x5.train.23,phi.macSlack.E-1,542
j.rnd.6x5.train.24,phi.macSlack.E-1,551
j.rnd.6x5.train.25,phi.macSlack.E-1,476
j.rnd.6x5.train.26,phi.macSlack.E-1,485
j.rnd.6x5.train.27,phi.macSlack.E-1,469
j.rnd.6x5.train.28,phi.macSlack.E-1,439
j.rnd.6x5.train.29,phi.macSlack.E-1,579
j.rnd.6x5.train.30,phi.macSlack.E-1,479
j.rnd.6x5.train.31,phi.macSlack.E-1,540
j.rnd.6x5.train.32,phi.macSlack.E-1,637
j.rnd.6x5.train.33,phi.macSlack.E-1,554
j.rnd.6x5.train.34,phi.macSlack.E-1,513
j.rnd.6x5.train.35,phi.macSlack.E-1,638
j.rnd.6x5.train.36,phi.macSlack.E-1,492
