Name,CDR,Makespan
j.rnd.10x10.train.1,phi.macSlack.E1,1326
j.rnd.10x10.train.2,phi.macSlack.E1,1197
j.rnd.10x10.train.3,phi.macSlack.E1,1143
j.rnd.10x10.train.4,phi.macSlack.E1,1346
j.rnd.10x10.train.5,phi.macSlack.E1,1160
j.rnd.10x10.train.6,phi.macSlack.E1,1396
j.rnd.10x10.train.7,phi.macSlack.E1,1329
j.rnd.10x10.train.8,phi.macSlack.E1,1146
j.rnd.10x10.train.9,phi.macSlack.E1,1043
j.rnd.10x10.train.10,phi.macSlack.E1,1082
j.rnd.10x10.train.11,phi.macSlack.E1,1043
j.rnd.10x10.train.12,phi.macSlack.E1,1102
j.rnd.10x10.train.13,phi.macSlack.E1,1455
j.rnd.10x10.train.14,phi.macSlack.E1,1241
j.rnd.10x10.train.15,phi.macSlack.E1,1442
j.rnd.10x10.train.16,phi.macSlack.E1,1285
j.rnd.10x10.train.17,phi.macSlack.E1,1110
j.rnd.10x10.train.18,phi.macSlack.E1,1143
j.rnd.10x10.train.19,phi.macSlack.E1,1301
j.rnd.10x10.train.20,phi.macSlack.E1,1187
j.rnd.10x10.train.21,phi.macSlack.E1,1266
j.rnd.10x10.train.22,phi.macSlack.E1,1312
j.rnd.10x10.train.23,phi.macSlack.E1,1346
j.rnd.10x10.train.24,phi.macSlack.E1,1245
j.rnd.10x10.train.25,phi.macSlack.E1,1070
j.rnd.10x10.train.26,phi.macSlack.E1,1123
j.rnd.10x10.train.27,phi.macSlack.E1,1008
j.rnd.10x10.train.28,phi.macSlack.E1,1149
j.rnd.10x10.train.29,phi.macSlack.E1,1163
j.rnd.10x10.train.30,phi.macSlack.E1,1109
j.rnd.10x10.train.31,phi.macSlack.E1,1194
j.rnd.10x10.train.32,phi.macSlack.E1,1277
j.rnd.10x10.train.33,phi.macSlack.E1,1315
j.rnd.10x10.train.34,phi.macSlack.E1,1179
j.rnd.10x10.train.35,phi.macSlack.E1,1395
j.rnd.10x10.train.36,phi.macSlack.E1,1107
j.rnd.10x10.train.37,phi.macSlack.E1,1288
j.rnd.10x10.train.38,phi.macSlack.E1,1097
j.rnd.10x10.train.39,phi.macSlack.E1,1202
j.rnd.10x10.train.40,phi.macSlack.E1,1136
j.rnd.10x10.train.41,phi.macSlack.E1,1149
j.rnd.10x10.train.42,phi.macSlack.E1,1250
j.rnd.10x10.train.43,phi.macSlack.E1,1126
j.rnd.10x10.train.44,phi.macSlack.E1,1235
j.rnd.10x10.train.45,phi.macSlack.E1,1433
j.rnd.10x10.train.46,phi.macSlack.E1,1266
j.rnd.10x10.train.47,phi.macSlack.E1,1426
j.rnd.10x10.train.48,phi.macSlack.E1,1290
j.rnd.10x10.train.49,phi.macSlack.E1,1059
j.rnd.10x10.train.50,phi.macSlack.E1,1352
j.rnd.10x10.train.51,phi.macSlack.E1,1311
j.rnd.10x10.train.52,phi.macSlack.E1,1463
j.rnd.10x10.train.53,phi.macSlack.E1,1359
j.rnd.10x10.train.54,phi.macSlack.E1,1381
j.rnd.10x10.train.55,phi.macSlack.E1,1341
j.rnd.10x10.train.56,phi.macSlack.E1,1124
j.rnd.10x10.train.57,phi.macSlack.E1,1355
j.rnd.10x10.train.58,phi.macSlack.E1,1290
j.rnd.10x10.train.59,phi.macSlack.E1,1460
j.rnd.10x10.train.60,phi.macSlack.E1,936
j.rnd.10x10.train.61,phi.macSlack.E1,1318
j.rnd.10x10.train.62,phi.macSlack.E1,1077
j.rnd.10x10.train.63,phi.macSlack.E1,1298
j.rnd.10x10.train.64,phi.macSlack.E1,1445
j.rnd.10x10.train.65,phi.macSlack.E1,1186
j.rnd.10x10.train.66,phi.macSlack.E1,1398
j.rnd.10x10.train.67,phi.macSlack.E1,1239
j.rnd.10x10.train.68,phi.macSlack.E1,1095
j.rnd.10x10.train.69,phi.macSlack.E1,1328
j.rnd.10x10.train.70,phi.macSlack.E1,1142
j.rnd.10x10.train.71,phi.macSlack.E1,1275
j.rnd.10x10.train.72,phi.macSlack.E1,1299
j.rnd.10x10.train.73,phi.macSlack.E1,1339
j.rnd.10x10.train.74,phi.macSlack.E1,1101
j.rnd.10x10.train.75,phi.macSlack.E1,1114
j.rnd.10x10.train.76,phi.macSlack.E1,1263
j.rnd.10x10.train.77,phi.macSlack.E1,1166
j.rnd.10x10.train.78,phi.macSlack.E1,1338
j.rnd.10x10.train.79,phi.macSlack.E1,1065
j.rnd.10x10.train.80,phi.macSlack.E1,1004
j.rnd.10x10.train.81,phi.macSlack.E1,1022
j.rnd.10x10.train.82,phi.macSlack.E1,1233
j.rnd.10x10.train.83,phi.macSlack.E1,1359
j.rnd.10x10.train.84,phi.macSlack.E1,1122
j.rnd.10x10.train.85,phi.macSlack.E1,1086
j.rnd.10x10.train.86,phi.macSlack.E1,1191
j.rnd.10x10.train.87,phi.macSlack.E1,1117
j.rnd.10x10.train.88,phi.macSlack.E1,1151
j.rnd.10x10.train.89,phi.macSlack.E1,1175
j.rnd.10x10.train.90,phi.macSlack.E1,1390
j.rnd.10x10.train.91,phi.macSlack.E1,1144
j.rnd.10x10.train.92,phi.macSlack.E1,1408
j.rnd.10x10.train.93,phi.macSlack.E1,1162
j.rnd.10x10.train.94,phi.macSlack.E1,1171
j.rnd.10x10.train.95,phi.macSlack.E1,1156
j.rnd.10x10.train.96,phi.macSlack.E1,1134
j.rnd.10x10.train.97,phi.macSlack.E1,1134
j.rnd.10x10.train.98,phi.macSlack.E1,1050
j.rnd.10x10.train.99,phi.macSlack.E1,1246
j.rnd.10x10.train.100,phi.macSlack.E1,1353
j.rnd.10x10.train.101,phi.macSlack.E1,1358
j.rnd.10x10.train.102,phi.macSlack.E1,1317
j.rnd.10x10.train.103,phi.macSlack.E1,1045
j.rnd.10x10.train.104,phi.macSlack.E1,1368
j.rnd.10x10.train.105,phi.macSlack.E1,1096
j.rnd.10x10.train.106,phi.macSlack.E1,1174
j.rnd.10x10.train.107,phi.macSlack.E1,1371
j.rnd.10x10.train.108,phi.macSlack.E1,1201
j.rnd.10x10.train.109,phi.macSlack.E1,1480
j.rnd.10x10.train.110,phi.macSlack.E1,1069
j.rnd.10x10.train.111,phi.macSlack.E1,1085
j.rnd.10x10.train.112,phi.macSlack.E1,1223
j.rnd.10x10.train.113,phi.macSlack.E1,1179
