Name,CDR,Makespan
f.mxc.6x5.train.1,phi.macWrm.E-1,842
f.mxc.6x5.train.2,phi.macWrm.E-1,444
f.mxc.6x5.train.3,phi.macWrm.E-1,361
f.mxc.6x5.train.4,phi.macWrm.E-1,602
f.mxc.6x5.train.5,phi.macWrm.E-1,607
f.mxc.6x5.train.6,phi.macWrm.E-1,761
f.mxc.6x5.train.7,phi.macWrm.E-1,768
f.mxc.6x5.train.8,phi.macWrm.E-1,763
f.mxc.6x5.train.9,phi.macWrm.E-1,421
f.mxc.6x5.train.10,phi.macWrm.E-1,469
f.mxc.6x5.train.11,phi.macWrm.E-1,636
f.mxc.6x5.train.12,phi.macWrm.E-1,626
f.mxc.6x5.train.13,phi.macWrm.E-1,696
f.mxc.6x5.train.14,phi.macWrm.E-1,895
f.mxc.6x5.train.15,phi.macWrm.E-1,1117
f.mxc.6x5.train.16,phi.macWrm.E-1,763
f.mxc.6x5.train.17,phi.macWrm.E-1,494
f.mxc.6x5.train.18,phi.macWrm.E-1,538
f.mxc.6x5.train.19,phi.macWrm.E-1,615
f.mxc.6x5.train.20,phi.macWrm.E-1,755
f.mxc.6x5.train.21,phi.macWrm.E-1,640
f.mxc.6x5.train.22,phi.macWrm.E-1,785
f.mxc.6x5.train.23,phi.macWrm.E-1,726
f.mxc.6x5.train.24,phi.macWrm.E-1,1000
f.mxc.6x5.train.25,phi.macWrm.E-1,243
f.mxc.6x5.train.26,phi.macWrm.E-1,514
f.mxc.6x5.train.27,phi.macWrm.E-1,514
f.mxc.6x5.train.28,phi.macWrm.E-1,744
f.mxc.6x5.train.29,phi.macWrm.E-1,746
f.mxc.6x5.train.30,phi.macWrm.E-1,833
f.mxc.6x5.train.31,phi.macWrm.E-1,950
f.mxc.6x5.train.32,phi.macWrm.E-1,490
f.mxc.6x5.train.33,phi.macWrm.E-1,567
f.mxc.6x5.train.34,phi.macWrm.E-1,652
f.mxc.6x5.train.35,phi.macWrm.E-1,727
f.mxc.6x5.train.36,phi.macWrm.E-1,722
f.mxc.6x5.train.37,phi.macWrm.E-1,762
f.mxc.6x5.train.38,phi.macWrm.E-1,909
f.mxc.6x5.train.39,phi.macWrm.E-1,895
f.mxc.6x5.train.40,phi.macWrm.E-1,196
f.mxc.6x5.train.41,phi.macWrm.E-1,476
f.mxc.6x5.train.42,phi.macWrm.E-1,502
f.mxc.6x5.train.43,phi.macWrm.E-1,637
f.mxc.6x5.train.44,phi.macWrm.E-1,642
f.mxc.6x5.train.45,phi.macWrm.E-1,861
f.mxc.6x5.train.46,phi.macWrm.E-1,823
f.mxc.6x5.train.47,phi.macWrm.E-1,466
f.mxc.6x5.train.48,phi.macWrm.E-1,445
f.mxc.6x5.train.49,phi.macWrm.E-1,564
f.mxc.6x5.train.50,phi.macWrm.E-1,598
f.mxc.6x5.train.51,phi.macWrm.E-1,702
f.mxc.6x5.train.52,phi.macWrm.E-1,970
f.mxc.6x5.train.53,phi.macWrm.E-1,728
f.mxc.6x5.train.54,phi.macWrm.E-1,970
f.mxc.6x5.train.55,phi.macWrm.E-1,545
f.mxc.6x5.train.56,phi.macWrm.E-1,648
f.mxc.6x5.train.57,phi.macWrm.E-1,638
f.mxc.6x5.train.58,phi.macWrm.E-1,582
f.mxc.6x5.train.59,phi.macWrm.E-1,737
f.mxc.6x5.train.60,phi.macWrm.E-1,833
f.mxc.6x5.train.61,phi.macWrm.E-1,849
f.mxc.6x5.train.62,phi.macWrm.E-1,945
f.mxc.6x5.train.63,phi.macWrm.E-1,379
f.mxc.6x5.train.64,phi.macWrm.E-1,561
f.mxc.6x5.train.65,phi.macWrm.E-1,593
f.mxc.6x5.train.66,phi.macWrm.E-1,591
f.mxc.6x5.train.67,phi.macWrm.E-1,632
f.mxc.6x5.train.68,phi.macWrm.E-1,813
f.mxc.6x5.train.69,phi.macWrm.E-1,964
f.mxc.6x5.train.70,phi.macWrm.E-1,461
f.mxc.6x5.train.71,phi.macWrm.E-1,437
f.mxc.6x5.train.72,phi.macWrm.E-1,585
f.mxc.6x5.train.73,phi.macWrm.E-1,637
f.mxc.6x5.train.74,phi.macWrm.E-1,771
f.mxc.6x5.train.75,phi.macWrm.E-1,916
f.mxc.6x5.train.76,phi.macWrm.E-1,851
f.mxc.6x5.train.77,phi.macWrm.E-1,974
f.mxc.6x5.train.78,phi.macWrm.E-1,469
f.mxc.6x5.train.79,phi.macWrm.E-1,627
f.mxc.6x5.train.80,phi.macWrm.E-1,388
f.mxc.6x5.train.81,phi.macWrm.E-1,570
f.mxc.6x5.train.82,phi.macWrm.E-1,663
f.mxc.6x5.train.83,phi.macWrm.E-1,795
f.mxc.6x5.train.84,phi.macWrm.E-1,979
f.mxc.6x5.train.85,phi.macWrm.E-1,280
f.mxc.6x5.train.86,phi.macWrm.E-1,355
f.mxc.6x5.train.87,phi.macWrm.E-1,484
f.mxc.6x5.train.88,phi.macWrm.E-1,626
f.mxc.6x5.train.89,phi.macWrm.E-1,514
f.mxc.6x5.train.90,phi.macWrm.E-1,669
f.mxc.6x5.train.91,phi.macWrm.E-1,806
f.mxc.6x5.train.92,phi.macWrm.E-1,1000
f.mxc.6x5.train.93,phi.macWrm.E-1,466
f.mxc.6x5.train.94,phi.macWrm.E-1,583
f.mxc.6x5.train.95,phi.macWrm.E-1,566
f.mxc.6x5.train.96,phi.macWrm.E-1,710
f.mxc.6x5.train.97,phi.macWrm.E-1,717
f.mxc.6x5.train.98,phi.macWrm.E-1,683
f.mxc.6x5.train.99,phi.macWrm.E-1,906
f.mxc.6x5.train.100,phi.macWrm.E-1,1007
f.mxc.6x5.train.101,phi.macWrm.E-1,455
f.mxc.6x5.train.102,phi.macWrm.E-1,560
f.mxc.6x5.train.103,phi.macWrm.E-1,702
f.mxc.6x5.train.104,phi.macWrm.E-1,525
f.mxc.6x5.train.105,phi.macWrm.E-1,776
f.mxc.6x5.train.106,phi.macWrm.E-1,805
f.mxc.6x5.train.107,phi.macWrm.E-1,842
f.mxc.6x5.train.108,phi.macWrm.E-1,305
f.mxc.6x5.train.109,phi.macWrm.E-1,569
f.mxc.6x5.train.110,phi.macWrm.E-1,484
f.mxc.6x5.train.111,phi.macWrm.E-1,621
f.mxc.6x5.train.112,phi.macWrm.E-1,569
f.mxc.6x5.train.113,phi.macWrm.E-1,779
f.mxc.6x5.train.114,phi.macWrm.E-1,829
f.mxc.6x5.train.115,phi.macWrm.E-1,854
f.mxc.6x5.train.116,phi.macWrm.E-1,589
f.mxc.6x5.train.117,phi.macWrm.E-1,447
f.mxc.6x5.train.118,phi.macWrm.E-1,643
f.mxc.6x5.train.119,phi.macWrm.E-1,621
f.mxc.6x5.train.120,phi.macWrm.E-1,921
f.mxc.6x5.train.121,phi.macWrm.E-1,876
f.mxc.6x5.train.122,phi.macWrm.E-1,1034
f.mxc.6x5.train.123,phi.macWrm.E-1,223
f.mxc.6x5.train.124,phi.macWrm.E-1,555
f.mxc.6x5.train.125,phi.macWrm.E-1,551
f.mxc.6x5.train.126,phi.macWrm.E-1,623
f.mxc.6x5.train.127,phi.macWrm.E-1,640
f.mxc.6x5.train.128,phi.macWrm.E-1,734
f.mxc.6x5.train.129,phi.macWrm.E-1,956
f.mxc.6x5.train.130,phi.macWrm.E-1,832
f.mxc.6x5.train.131,phi.macWrm.E-1,360
f.mxc.6x5.train.132,phi.macWrm.E-1,423
f.mxc.6x5.train.133,phi.macWrm.E-1,598
f.mxc.6x5.train.134,phi.macWrm.E-1,631
f.mxc.6x5.train.135,phi.macWrm.E-1,660
f.mxc.6x5.train.136,phi.macWrm.E-1,702
f.mxc.6x5.train.137,phi.macWrm.E-1,862
f.mxc.6x5.train.138,phi.macWrm.E-1,1082
f.mxc.6x5.train.139,phi.macWrm.E-1,447
f.mxc.6x5.train.140,phi.macWrm.E-1,647
f.mxc.6x5.train.141,phi.macWrm.E-1,667
f.mxc.6x5.train.142,phi.macWrm.E-1,890
f.mxc.6x5.train.143,phi.macWrm.E-1,703
f.mxc.6x5.train.144,phi.macWrm.E-1,829
f.mxc.6x5.train.145,phi.macWrm.E-1,711
f.mxc.6x5.train.146,phi.macWrm.E-1,391
f.mxc.6x5.train.147,phi.macWrm.E-1,429
f.mxc.6x5.train.148,phi.macWrm.E-1,628
f.mxc.6x5.train.149,phi.macWrm.E-1,471
f.mxc.6x5.train.150,phi.macWrm.E-1,726
f.mxc.6x5.train.151,phi.macWrm.E-1,735
f.mxc.6x5.train.152,phi.macWrm.E-1,912
f.mxc.6x5.train.153,phi.macWrm.E-1,1056
f.mxc.6x5.train.154,phi.macWrm.E-1,449
f.mxc.6x5.train.155,phi.macWrm.E-1,466
f.mxc.6x5.train.156,phi.macWrm.E-1,604
f.mxc.6x5.train.157,phi.macWrm.E-1,835
f.mxc.6x5.train.158,phi.macWrm.E-1,665
f.mxc.6x5.train.159,phi.macWrm.E-1,891
f.mxc.6x5.train.160,phi.macWrm.E-1,905
f.mxc.6x5.train.161,phi.macWrm.E-1,561
f.mxc.6x5.train.162,phi.macWrm.E-1,406
f.mxc.6x5.train.163,phi.macWrm.E-1,624
f.mxc.6x5.train.164,phi.macWrm.E-1,596
f.mxc.6x5.train.165,phi.macWrm.E-1,608
f.mxc.6x5.train.166,phi.macWrm.E-1,949
f.mxc.6x5.train.167,phi.macWrm.E-1,784
f.mxc.6x5.train.168,phi.macWrm.E-1,839
f.mxc.6x5.train.169,phi.macWrm.E-1,424
f.mxc.6x5.train.170,phi.macWrm.E-1,503
f.mxc.6x5.train.171,phi.macWrm.E-1,527
f.mxc.6x5.train.172,phi.macWrm.E-1,490
f.mxc.6x5.train.173,phi.macWrm.E-1,599
