Name,CDR,Makespan
j.rndn.10x10.train.1,phi.macWrm.E-1,1166
j.rndn.10x10.train.2,phi.macWrm.E-1,1299
j.rndn.10x10.train.3,phi.macWrm.E-1,1137
j.rndn.10x10.train.4,phi.macWrm.E-1,1170
j.rndn.10x10.train.5,phi.macWrm.E-1,980
j.rndn.10x10.train.6,phi.macWrm.E-1,1080
j.rndn.10x10.train.7,phi.macWrm.E-1,1093
j.rndn.10x10.train.8,phi.macWrm.E-1,1063
j.rndn.10x10.train.9,phi.macWrm.E-1,964
j.rndn.10x10.train.10,phi.macWrm.E-1,1012
j.rndn.10x10.train.11,phi.macWrm.E-1,1192
j.rndn.10x10.train.12,phi.macWrm.E-1,1160
j.rndn.10x10.train.13,phi.macWrm.E-1,1016
j.rndn.10x10.train.14,phi.macWrm.E-1,973
j.rndn.10x10.train.15,phi.macWrm.E-1,1152
j.rndn.10x10.train.16,phi.macWrm.E-1,954
j.rndn.10x10.train.17,phi.macWrm.E-1,1094
j.rndn.10x10.train.18,phi.macWrm.E-1,1159
j.rndn.10x10.train.19,phi.macWrm.E-1,1148
j.rndn.10x10.train.20,phi.macWrm.E-1,1155
j.rndn.10x10.train.21,phi.macWrm.E-1,1103
j.rndn.10x10.train.22,phi.macWrm.E-1,1154
j.rndn.10x10.train.23,phi.macWrm.E-1,1226
j.rndn.10x10.train.24,phi.macWrm.E-1,1102
j.rndn.10x10.train.25,phi.macWrm.E-1,1277
j.rndn.10x10.train.26,phi.macWrm.E-1,1036
j.rndn.10x10.train.27,phi.macWrm.E-1,1027
j.rndn.10x10.train.28,phi.macWrm.E-1,1042
j.rndn.10x10.train.29,phi.macWrm.E-1,1090
j.rndn.10x10.train.30,phi.macWrm.E-1,1177
j.rndn.10x10.train.31,phi.macWrm.E-1,1040
j.rndn.10x10.train.32,phi.macWrm.E-1,1142
j.rndn.10x10.train.33,phi.macWrm.E-1,1007
j.rndn.10x10.train.34,phi.macWrm.E-1,962
j.rndn.10x10.train.35,phi.macWrm.E-1,1242
j.rndn.10x10.train.36,phi.macWrm.E-1,1055
j.rndn.10x10.train.37,phi.macWrm.E-1,1297
j.rndn.10x10.train.38,phi.macWrm.E-1,1001
j.rndn.10x10.train.39,phi.macWrm.E-1,957
j.rndn.10x10.train.40,phi.macWrm.E-1,1136
j.rndn.10x10.train.41,phi.macWrm.E-1,1145
j.rndn.10x10.train.42,phi.macWrm.E-1,1108
j.rndn.10x10.train.43,phi.macWrm.E-1,1103
j.rndn.10x10.train.44,phi.macWrm.E-1,1170
j.rndn.10x10.train.45,phi.macWrm.E-1,1134
j.rndn.10x10.train.46,phi.macWrm.E-1,1096
j.rndn.10x10.train.47,phi.macWrm.E-1,954
