Name,CDR,Makespan
j.rnd.10x10.train.1,phi.makespan.E-1,1266
j.rnd.10x10.train.2,phi.makespan.E-1,1038
j.rnd.10x10.train.3,phi.makespan.E-1,954
j.rnd.10x10.train.4,phi.makespan.E-1,1194
j.rnd.10x10.train.5,phi.makespan.E-1,1164
j.rnd.10x10.train.6,phi.makespan.E-1,1184
j.rnd.10x10.train.7,phi.makespan.E-1,953
j.rnd.10x10.train.8,phi.makespan.E-1,973
j.rnd.10x10.train.9,phi.makespan.E-1,1006
j.rnd.10x10.train.10,phi.makespan.E-1,1017
j.rnd.10x10.train.11,phi.makespan.E-1,978
j.rnd.10x10.train.12,phi.makespan.E-1,1091
j.rnd.10x10.train.13,phi.makespan.E-1,1194
j.rnd.10x10.train.14,phi.makespan.E-1,1064
j.rnd.10x10.train.15,phi.makespan.E-1,1030
j.rnd.10x10.train.16,phi.makespan.E-1,1223
j.rnd.10x10.train.17,phi.makespan.E-1,1061
j.rnd.10x10.train.18,phi.makespan.E-1,1181
j.rnd.10x10.train.19,phi.makespan.E-1,1220
j.rnd.10x10.train.20,phi.makespan.E-1,1056
j.rnd.10x10.train.21,phi.makespan.E-1,1073
j.rnd.10x10.train.22,phi.makespan.E-1,1076
j.rnd.10x10.train.23,phi.makespan.E-1,1246
j.rnd.10x10.train.24,phi.makespan.E-1,990
j.rnd.10x10.train.25,phi.makespan.E-1,893
j.rnd.10x10.train.26,phi.makespan.E-1,1094
j.rnd.10x10.train.27,phi.makespan.E-1,986
j.rnd.10x10.train.28,phi.makespan.E-1,1019
j.rnd.10x10.train.29,phi.makespan.E-1,1121
j.rnd.10x10.train.30,phi.makespan.E-1,1465
j.rnd.10x10.train.31,phi.makespan.E-1,1393
j.rnd.10x10.train.32,phi.makespan.E-1,1132
j.rnd.10x10.train.33,phi.makespan.E-1,1199
j.rnd.10x10.train.34,phi.makespan.E-1,1076
j.rnd.10x10.train.35,phi.makespan.E-1,1367
j.rnd.10x10.train.36,phi.makespan.E-1,1220
j.rnd.10x10.train.37,phi.makespan.E-1,1128
j.rnd.10x10.train.38,phi.makespan.E-1,1113
j.rnd.10x10.train.39,phi.makespan.E-1,1060
j.rnd.10x10.train.40,phi.makespan.E-1,1029
j.rnd.10x10.train.41,phi.makespan.E-1,1021
j.rnd.10x10.train.42,phi.makespan.E-1,1141
j.rnd.10x10.train.43,phi.makespan.E-1,1118
j.rnd.10x10.train.44,phi.makespan.E-1,1216
j.rnd.10x10.train.45,phi.makespan.E-1,911
j.rnd.10x10.train.46,phi.makespan.E-1,1017
j.rnd.10x10.train.47,phi.makespan.E-1,1011
j.rnd.10x10.train.48,phi.makespan.E-1,1130
j.rnd.10x10.train.49,phi.makespan.E-1,1098
j.rnd.10x10.train.50,phi.makespan.E-1,1174
j.rnd.10x10.train.51,phi.makespan.E-1,1144
j.rnd.10x10.train.52,phi.makespan.E-1,1068
j.rnd.10x10.train.53,phi.makespan.E-1,1173
j.rnd.10x10.train.54,phi.makespan.E-1,1062
j.rnd.10x10.train.55,phi.makespan.E-1,1126
j.rnd.10x10.train.56,phi.makespan.E-1,980
j.rnd.10x10.train.57,phi.makespan.E-1,1139
j.rnd.10x10.train.58,phi.makespan.E-1,1347
j.rnd.10x10.train.59,phi.makespan.E-1,1252
j.rnd.10x10.train.60,phi.makespan.E-1,1010
j.rnd.10x10.train.61,phi.makespan.E-1,1181
j.rnd.10x10.train.62,phi.makespan.E-1,1038
j.rnd.10x10.train.63,phi.makespan.E-1,1407
j.rnd.10x10.train.64,phi.makespan.E-1,997
j.rnd.10x10.train.65,phi.makespan.E-1,1164
j.rnd.10x10.train.66,phi.makespan.E-1,1353
j.rnd.10x10.train.67,phi.makespan.E-1,1057
j.rnd.10x10.train.68,phi.makespan.E-1,888
j.rnd.10x10.train.69,phi.makespan.E-1,1357
j.rnd.10x10.train.70,phi.makespan.E-1,914
j.rnd.10x10.train.71,phi.makespan.E-1,1046
j.rnd.10x10.train.72,phi.makespan.E-1,1199
j.rnd.10x10.train.73,phi.makespan.E-1,1172
j.rnd.10x10.train.74,phi.makespan.E-1,993
j.rnd.10x10.train.75,phi.makespan.E-1,1165
j.rnd.10x10.train.76,phi.makespan.E-1,1152
j.rnd.10x10.train.77,phi.makespan.E-1,1033
j.rnd.10x10.train.78,phi.makespan.E-1,1119
j.rnd.10x10.train.79,phi.makespan.E-1,1091
j.rnd.10x10.train.80,phi.makespan.E-1,1183
j.rnd.10x10.train.81,phi.makespan.E-1,873
j.rnd.10x10.train.82,phi.makespan.E-1,1110
j.rnd.10x10.train.83,phi.makespan.E-1,1127
j.rnd.10x10.train.84,phi.makespan.E-1,862
j.rnd.10x10.train.85,phi.makespan.E-1,1051
j.rnd.10x10.train.86,phi.makespan.E-1,1031
j.rnd.10x10.train.87,phi.makespan.E-1,1112
j.rnd.10x10.train.88,phi.makespan.E-1,1147
j.rnd.10x10.train.89,phi.makespan.E-1,1051
j.rnd.10x10.train.90,phi.makespan.E-1,1171
j.rnd.10x10.train.91,phi.makespan.E-1,1039
j.rnd.10x10.train.92,phi.makespan.E-1,1127
j.rnd.10x10.train.93,phi.makespan.E-1,1138
j.rnd.10x10.train.94,phi.makespan.E-1,909
j.rnd.10x10.train.95,phi.makespan.E-1,1268
j.rnd.10x10.train.96,phi.makespan.E-1,909
j.rnd.10x10.train.97,phi.makespan.E-1,1168
j.rnd.10x10.train.98,phi.makespan.E-1,922
j.rnd.10x10.train.99,phi.makespan.E-1,1209
j.rnd.10x10.train.100,phi.makespan.E-1,1035
j.rnd.10x10.train.101,phi.makespan.E-1,972
j.rnd.10x10.train.102,phi.makespan.E-1,1037
j.rnd.10x10.train.103,phi.makespan.E-1,969
j.rnd.10x10.train.104,phi.makespan.E-1,1153
j.rnd.10x10.train.105,phi.makespan.E-1,1049
j.rnd.10x10.train.106,phi.makespan.E-1,1166
j.rnd.10x10.train.107,phi.makespan.E-1,1100
j.rnd.10x10.train.108,phi.makespan.E-1,965
j.rnd.10x10.train.109,phi.makespan.E-1,903
j.rnd.10x10.train.110,phi.makespan.E-1,1122
j.rnd.10x10.train.111,phi.makespan.E-1,1038
j.rnd.10x10.train.112,phi.makespan.E-1,1281
j.rnd.10x10.train.113,phi.makespan.E-1,1195
j.rnd.10x10.train.114,phi.makespan.E-1,918
j.rnd.10x10.train.115,phi.makespan.E-1,1138
j.rnd.10x10.train.116,phi.makespan.E-1,1227
j.rnd.10x10.train.117,phi.makespan.E-1,1150
j.rnd.10x10.train.118,phi.makespan.E-1,1006
j.rnd.10x10.train.119,phi.makespan.E-1,1103
j.rnd.10x10.train.120,phi.makespan.E-1,1079
j.rnd.10x10.train.121,phi.makespan.E-1,1068
j.rnd.10x10.train.122,phi.makespan.E-1,1011
j.rnd.10x10.train.123,phi.makespan.E-1,1094
j.rnd.10x10.train.124,phi.makespan.E-1,990
j.rnd.10x10.train.125,phi.makespan.E-1,1262
j.rnd.10x10.train.126,phi.makespan.E-1,1156
j.rnd.10x10.train.127,phi.makespan.E-1,1095
j.rnd.10x10.train.128,phi.makespan.E-1,1034
