Name,CDR,Makespan
j.rndn.10x10.train.1,phi.proc.E-1,1202
j.rndn.10x10.train.2,phi.proc.E-1,1094
j.rndn.10x10.train.3,phi.proc.E-1,1091
j.rndn.10x10.train.4,phi.proc.E-1,1364
j.rndn.10x10.train.5,phi.proc.E-1,1201
j.rndn.10x10.train.6,phi.proc.E-1,1036
j.rndn.10x10.train.7,phi.proc.E-1,1190
j.rndn.10x10.train.8,phi.proc.E-1,1308
j.rndn.10x10.train.9,phi.proc.E-1,1127
j.rndn.10x10.train.10,phi.proc.E-1,1181
j.rndn.10x10.train.11,phi.proc.E-1,989
j.rndn.10x10.train.12,phi.proc.E-1,1078
j.rndn.10x10.train.13,phi.proc.E-1,1188
j.rndn.10x10.train.14,phi.proc.E-1,1099
j.rndn.10x10.train.15,phi.proc.E-1,1049
j.rndn.10x10.train.16,phi.proc.E-1,1269
j.rndn.10x10.train.17,phi.proc.E-1,1058
j.rndn.10x10.train.18,phi.proc.E-1,1128
j.rndn.10x10.train.19,phi.proc.E-1,1136
j.rndn.10x10.train.20,phi.proc.E-1,1231
j.rndn.10x10.train.21,phi.proc.E-1,1092
j.rndn.10x10.train.22,phi.proc.E-1,1217
j.rndn.10x10.train.23,phi.proc.E-1,1357
j.rndn.10x10.train.24,phi.proc.E-1,1227
j.rndn.10x10.train.25,phi.proc.E-1,1179
j.rndn.10x10.train.26,phi.proc.E-1,1221
j.rndn.10x10.train.27,phi.proc.E-1,1275
j.rndn.10x10.train.28,phi.proc.E-1,1183
j.rndn.10x10.train.29,phi.proc.E-1,1171
j.rndn.10x10.train.30,phi.proc.E-1,1044
j.rndn.10x10.train.31,phi.proc.E-1,1195
j.rndn.10x10.train.32,phi.proc.E-1,1166
j.rndn.10x10.train.33,phi.proc.E-1,1093
j.rndn.10x10.train.34,phi.proc.E-1,1268
j.rndn.10x10.train.35,phi.proc.E-1,1313
j.rndn.10x10.train.36,phi.proc.E-1,1041
j.rndn.10x10.train.37,phi.proc.E-1,1051
j.rndn.10x10.train.38,phi.proc.E-1,1073
j.rndn.10x10.train.39,phi.proc.E-1,1183
j.rndn.10x10.train.40,phi.proc.E-1,1055
j.rndn.10x10.train.41,phi.proc.E-1,1142
j.rndn.10x10.train.42,phi.proc.E-1,1047
j.rndn.10x10.train.43,phi.proc.E-1,1164
j.rndn.10x10.train.44,phi.proc.E-1,1280
j.rndn.10x10.train.45,phi.proc.E-1,1278
j.rndn.10x10.train.46,phi.proc.E-1,1136
j.rndn.10x10.train.47,phi.proc.E-1,991
j.rndn.10x10.train.48,phi.proc.E-1,1229
j.rndn.10x10.train.49,phi.proc.E-1,1139
j.rndn.10x10.train.50,phi.proc.E-1,1076
j.rndn.10x10.train.51,phi.proc.E-1,1023
j.rndn.10x10.train.52,phi.proc.E-1,1297
j.rndn.10x10.train.53,phi.proc.E-1,1187
j.rndn.10x10.train.54,phi.proc.E-1,1340
j.rndn.10x10.train.55,phi.proc.E-1,1151
j.rndn.10x10.train.56,phi.proc.E-1,1183
j.rndn.10x10.train.57,phi.proc.E-1,1134
j.rndn.10x10.train.58,phi.proc.E-1,1195
j.rndn.10x10.train.59,phi.proc.E-1,1297
j.rndn.10x10.train.60,phi.proc.E-1,1125
j.rndn.10x10.train.61,phi.proc.E-1,1072
j.rndn.10x10.train.62,phi.proc.E-1,1180
j.rndn.10x10.train.63,phi.proc.E-1,1263
j.rndn.10x10.train.64,phi.proc.E-1,1153
j.rndn.10x10.train.65,phi.proc.E-1,1230
j.rndn.10x10.train.66,phi.proc.E-1,1163
j.rndn.10x10.train.67,phi.proc.E-1,1185
j.rndn.10x10.train.68,phi.proc.E-1,1177
j.rndn.10x10.train.69,phi.proc.E-1,1352
j.rndn.10x10.train.70,phi.proc.E-1,1098
j.rndn.10x10.train.71,phi.proc.E-1,1085
j.rndn.10x10.train.72,phi.proc.E-1,1218
j.rndn.10x10.train.73,phi.proc.E-1,1222
j.rndn.10x10.train.74,phi.proc.E-1,899
j.rndn.10x10.train.75,phi.proc.E-1,1147
j.rndn.10x10.train.76,phi.proc.E-1,1263
j.rndn.10x10.train.77,phi.proc.E-1,1043
j.rndn.10x10.train.78,phi.proc.E-1,1185
j.rndn.10x10.train.79,phi.proc.E-1,1124
j.rndn.10x10.train.80,phi.proc.E-1,1226
j.rndn.10x10.train.81,phi.proc.E-1,1117
j.rndn.10x10.train.82,phi.proc.E-1,1073
j.rndn.10x10.train.83,phi.proc.E-1,1186
j.rndn.10x10.train.84,phi.proc.E-1,1037
j.rndn.10x10.train.85,phi.proc.E-1,1124
j.rndn.10x10.train.86,phi.proc.E-1,1168
j.rndn.10x10.train.87,phi.proc.E-1,1148
j.rndn.10x10.train.88,phi.proc.E-1,1248
j.rndn.10x10.train.89,phi.proc.E-1,1089
j.rndn.10x10.train.90,phi.proc.E-1,1094
j.rndn.10x10.train.91,phi.proc.E-1,1179
j.rndn.10x10.train.92,phi.proc.E-1,986
j.rndn.10x10.train.93,phi.proc.E-1,1039
j.rndn.10x10.train.94,phi.proc.E-1,1080
j.rndn.10x10.train.95,phi.proc.E-1,1042
j.rndn.10x10.train.96,phi.proc.E-1,1046
j.rndn.10x10.train.97,phi.proc.E-1,1171
j.rndn.10x10.train.98,phi.proc.E-1,1269
j.rndn.10x10.train.99,phi.proc.E-1,1295
j.rndn.10x10.train.100,phi.proc.E-1,1101
j.rndn.10x10.train.101,phi.proc.E-1,889
j.rndn.10x10.train.102,phi.proc.E-1,1423
j.rndn.10x10.train.103,phi.proc.E-1,1144
j.rndn.10x10.train.104,phi.proc.E-1,1237
j.rndn.10x10.train.105,phi.proc.E-1,1153
j.rndn.10x10.train.106,phi.proc.E-1,1114
j.rndn.10x10.train.107,phi.proc.E-1,1079
j.rndn.10x10.train.108,phi.proc.E-1,1142
j.rndn.10x10.train.109,phi.proc.E-1,1077
j.rndn.10x10.train.110,phi.proc.E-1,1383
j.rndn.10x10.train.111,phi.proc.E-1,1187
j.rndn.10x10.train.112,phi.proc.E-1,1203
j.rndn.10x10.train.113,phi.proc.E-1,1133
j.rndn.10x10.train.114,phi.proc.E-1,1220
j.rndn.10x10.train.115,phi.proc.E-1,1094
j.rndn.10x10.train.116,phi.proc.E-1,1142
j.rndn.10x10.train.117,phi.proc.E-1,1035
j.rndn.10x10.train.118,phi.proc.E-1,1081
j.rndn.10x10.train.119,phi.proc.E-1,1131
j.rndn.10x10.train.120,phi.proc.E-1,1280
j.rndn.10x10.train.121,phi.proc.E-1,1237
j.rndn.10x10.train.122,phi.proc.E-1,1213
j.rndn.10x10.train.123,phi.proc.E-1,1134
j.rndn.10x10.train.124,phi.proc.E-1,1178
j.rndn.10x10.train.125,phi.proc.E-1,1146
j.rndn.10x10.train.126,phi.proc.E-1,1084
j.rndn.10x10.train.127,phi.proc.E-1,1131
j.rndn.10x10.train.128,phi.proc.E-1,1328
j.rndn.10x10.train.129,phi.proc.E-1,1282
j.rndn.10x10.train.130,phi.proc.E-1,1031
j.rndn.10x10.train.131,phi.proc.E-1,1249
j.rndn.10x10.train.132,phi.proc.E-1,1235
j.rndn.10x10.train.133,phi.proc.E-1,1087
j.rndn.10x10.train.134,phi.proc.E-1,1219
j.rndn.10x10.train.135,phi.proc.E-1,1028
j.rndn.10x10.train.136,phi.proc.E-1,1394
j.rndn.10x10.train.137,phi.proc.E-1,1196
j.rndn.10x10.train.138,phi.proc.E-1,1097
j.rndn.10x10.train.139,phi.proc.E-1,1137
j.rndn.10x10.train.140,phi.proc.E-1,1126
j.rndn.10x10.train.141,phi.proc.E-1,1268
j.rndn.10x10.train.142,phi.proc.E-1,1193
j.rndn.10x10.train.143,phi.proc.E-1,1036
j.rndn.10x10.train.144,phi.proc.E-1,1136
j.rndn.10x10.train.145,phi.proc.E-1,1000
j.rndn.10x10.train.146,phi.proc.E-1,1185
j.rndn.10x10.train.147,phi.proc.E-1,1122
j.rndn.10x10.train.148,phi.proc.E-1,1153
j.rndn.10x10.train.149,phi.proc.E-1,932
j.rndn.10x10.train.150,phi.proc.E-1,1170
j.rndn.10x10.train.151,phi.proc.E-1,1250
j.rndn.10x10.train.152,phi.proc.E-1,902
j.rndn.10x10.train.153,phi.proc.E-1,1252
j.rndn.10x10.train.154,phi.proc.E-1,1039
j.rndn.10x10.train.155,phi.proc.E-1,1045
j.rndn.10x10.train.156,phi.proc.E-1,1184
j.rndn.10x10.train.157,phi.proc.E-1,1314
j.rndn.10x10.train.158,phi.proc.E-1,1042
j.rndn.10x10.train.159,phi.proc.E-1,1042
j.rndn.10x10.train.160,phi.proc.E-1,1133
j.rndn.10x10.train.161,phi.proc.E-1,1046
j.rndn.10x10.train.162,phi.proc.E-1,1089
j.rndn.10x10.train.163,phi.proc.E-1,1083
j.rndn.10x10.train.164,phi.proc.E-1,1204
j.rndn.10x10.train.165,phi.proc.E-1,1180
j.rndn.10x10.train.166,phi.proc.E-1,1068
j.rndn.10x10.train.167,phi.proc.E-1,1054
j.rndn.10x10.train.168,phi.proc.E-1,1101
j.rndn.10x10.train.169,phi.proc.E-1,1295
j.rndn.10x10.train.170,phi.proc.E-1,1352
j.rndn.10x10.train.171,phi.proc.E-1,1246
j.rndn.10x10.train.172,phi.proc.E-1,1141
j.rndn.10x10.train.173,phi.proc.E-1,992
j.rndn.10x10.train.174,phi.proc.E-1,1118
j.rndn.10x10.train.175,phi.proc.E-1,1286
j.rndn.10x10.train.176,phi.proc.E-1,1149
j.rndn.10x10.train.177,phi.proc.E-1,1140
j.rndn.10x10.train.178,phi.proc.E-1,1148
j.rndn.10x10.train.179,phi.proc.E-1,1188
j.rndn.10x10.train.180,phi.proc.E-1,1175
j.rndn.10x10.train.181,phi.proc.E-1,1157
j.rndn.10x10.train.182,phi.proc.E-1,1152
j.rndn.10x10.train.183,phi.proc.E-1,997
j.rndn.10x10.train.184,phi.proc.E-1,986
j.rndn.10x10.train.185,phi.proc.E-1,1291
j.rndn.10x10.train.186,phi.proc.E-1,1073
j.rndn.10x10.train.187,phi.proc.E-1,1082
j.rndn.10x10.train.188,phi.proc.E-1,1046
j.rndn.10x10.train.189,phi.proc.E-1,1181
j.rndn.10x10.train.190,phi.proc.E-1,1037
j.rndn.10x10.train.191,phi.proc.E-1,1215
j.rndn.10x10.train.192,phi.proc.E-1,1181
j.rndn.10x10.train.193,phi.proc.E-1,1154
j.rndn.10x10.train.194,phi.proc.E-1,1131
j.rndn.10x10.train.195,phi.proc.E-1,1123
j.rndn.10x10.train.196,phi.proc.E-1,1158
j.rndn.10x10.train.197,phi.proc.E-1,1322
j.rndn.10x10.train.198,phi.proc.E-1,1242
j.rndn.10x10.train.199,phi.proc.E-1,1040
j.rndn.10x10.train.200,phi.proc.E-1,1141
j.rndn.10x10.train.201,phi.proc.E-1,1145
j.rndn.10x10.train.202,phi.proc.E-1,1178
j.rndn.10x10.train.203,phi.proc.E-1,1089
j.rndn.10x10.train.204,phi.proc.E-1,1093
j.rndn.10x10.train.205,phi.proc.E-1,1188
j.rndn.10x10.train.206,phi.proc.E-1,1128
j.rndn.10x10.train.207,phi.proc.E-1,1037
j.rndn.10x10.train.208,phi.proc.E-1,1160
j.rndn.10x10.train.209,phi.proc.E-1,1044
j.rndn.10x10.train.210,phi.proc.E-1,1147
j.rndn.10x10.train.211,phi.proc.E-1,1097
j.rndn.10x10.train.212,phi.proc.E-1,1071
j.rndn.10x10.train.213,phi.proc.E-1,1080
j.rndn.10x10.train.214,phi.proc.E-1,1191
j.rndn.10x10.train.215,phi.proc.E-1,1138
j.rndn.10x10.train.216,phi.proc.E-1,1330
j.rndn.10x10.train.217,phi.proc.E-1,1342
j.rndn.10x10.train.218,phi.proc.E-1,977
j.rndn.10x10.train.219,phi.proc.E-1,1260
j.rndn.10x10.train.220,phi.proc.E-1,1163
j.rndn.10x10.train.221,phi.proc.E-1,1152
j.rndn.10x10.train.222,phi.proc.E-1,999
j.rndn.10x10.train.223,phi.proc.E-1,1282
j.rndn.10x10.train.224,phi.proc.E-1,1141
j.rndn.10x10.train.225,phi.proc.E-1,1093
