Name,CDR,Makespan
f.mc.6x5.train.1,phi.proc.E1,921
f.mc.6x5.train.2,phi.proc.E1,451
f.mc.6x5.train.3,phi.proc.E1,365
f.mc.6x5.train.4,phi.proc.E1,546
f.mc.6x5.train.5,phi.proc.E1,603
f.mc.6x5.train.6,phi.proc.E1,768
f.mc.6x5.train.7,phi.proc.E1,743
f.mc.6x5.train.8,phi.proc.E1,722
f.mc.6x5.train.9,phi.proc.E1,420
f.mc.6x5.train.10,phi.proc.E1,483
f.mc.6x5.train.11,phi.proc.E1,567
f.mc.6x5.train.12,phi.proc.E1,529
f.mc.6x5.train.13,phi.proc.E1,837
f.mc.6x5.train.14,phi.proc.E1,747
f.mc.6x5.train.15,phi.proc.E1,853
f.mc.6x5.train.16,phi.proc.E1,697
f.mc.6x5.train.17,phi.proc.E1,431
f.mc.6x5.train.18,phi.proc.E1,489
f.mc.6x5.train.19,phi.proc.E1,591
f.mc.6x5.train.20,phi.proc.E1,625
f.mc.6x5.train.21,phi.proc.E1,630
f.mc.6x5.train.22,phi.proc.E1,789
f.mc.6x5.train.23,phi.proc.E1,802
f.mc.6x5.train.24,phi.proc.E1,853
f.mc.6x5.train.25,phi.proc.E1,212
f.mc.6x5.train.26,phi.proc.E1,474
f.mc.6x5.train.27,phi.proc.E1,515
f.mc.6x5.train.28,phi.proc.E1,601
f.mc.6x5.train.29,phi.proc.E1,774
f.mc.6x5.train.30,phi.proc.E1,831
f.mc.6x5.train.31,phi.proc.E1,844
f.mc.6x5.train.32,phi.proc.E1,407
f.mc.6x5.train.33,phi.proc.E1,458
f.mc.6x5.train.34,phi.proc.E1,637
f.mc.6x5.train.35,phi.proc.E1,642
f.mc.6x5.train.36,phi.proc.E1,677
f.mc.6x5.train.37,phi.proc.E1,629
f.mc.6x5.train.38,phi.proc.E1,830
f.mc.6x5.train.39,phi.proc.E1,743
f.mc.6x5.train.40,phi.proc.E1,234
f.mc.6x5.train.41,phi.proc.E1,403
f.mc.6x5.train.42,phi.proc.E1,501
f.mc.6x5.train.43,phi.proc.E1,626
f.mc.6x5.train.44,phi.proc.E1,648
f.mc.6x5.train.45,phi.proc.E1,700
f.mc.6x5.train.46,phi.proc.E1,820
f.mc.6x5.train.47,phi.proc.E1,454
f.mc.6x5.train.48,phi.proc.E1,373
f.mc.6x5.train.49,phi.proc.E1,501
f.mc.6x5.train.50,phi.proc.E1,595
f.mc.6x5.train.51,phi.proc.E1,631
f.mc.6x5.train.52,phi.proc.E1,750
f.mc.6x5.train.53,phi.proc.E1,793
f.mc.6x5.train.54,phi.proc.E1,969
f.mc.6x5.train.55,phi.proc.E1,448
f.mc.6x5.train.56,phi.proc.E1,533
f.mc.6x5.train.57,phi.proc.E1,624
f.mc.6x5.train.58,phi.proc.E1,590
f.mc.6x5.train.59,phi.proc.E1,615
f.mc.6x5.train.60,phi.proc.E1,760
f.mc.6x5.train.61,phi.proc.E1,789
f.mc.6x5.train.62,phi.proc.E1,858
f.mc.6x5.train.63,phi.proc.E1,370
f.mc.6x5.train.64,phi.proc.E1,520
f.mc.6x5.train.65,phi.proc.E1,516
f.mc.6x5.train.66,phi.proc.E1,582
f.mc.6x5.train.67,phi.proc.E1,640
f.mc.6x5.train.68,phi.proc.E1,750
f.mc.6x5.train.69,phi.proc.E1,814
f.mc.6x5.train.70,phi.proc.E1,376
f.mc.6x5.train.71,phi.proc.E1,407
f.mc.6x5.train.72,phi.proc.E1,515
f.mc.6x5.train.73,phi.proc.E1,572
f.mc.6x5.train.74,phi.proc.E1,619
f.mc.6x5.train.75,phi.proc.E1,834
f.mc.6x5.train.76,phi.proc.E1,885
f.mc.6x5.train.77,phi.proc.E1,901
f.mc.6x5.train.78,phi.proc.E1,425
f.mc.6x5.train.79,phi.proc.E1,550
f.mc.6x5.train.80,phi.proc.E1,399
f.mc.6x5.train.81,phi.proc.E1,545
f.mc.6x5.train.82,phi.proc.E1,538
f.mc.6x5.train.83,phi.proc.E1,728
f.mc.6x5.train.84,phi.proc.E1,902
f.mc.6x5.train.85,phi.proc.E1,276
f.mc.6x5.train.86,phi.proc.E1,342
f.mc.6x5.train.87,phi.proc.E1,490
f.mc.6x5.train.88,phi.proc.E1,696
f.mc.6x5.train.89,phi.proc.E1,498
f.mc.6x5.train.90,phi.proc.E1,646
f.mc.6x5.train.91,phi.proc.E1,749
f.mc.6x5.train.92,phi.proc.E1,897
f.mc.6x5.train.93,phi.proc.E1,436
f.mc.6x5.train.94,phi.proc.E1,473
f.mc.6x5.train.95,phi.proc.E1,575
f.mc.6x5.train.96,phi.proc.E1,626
f.mc.6x5.train.97,phi.proc.E1,751
f.mc.6x5.train.98,phi.proc.E1,795
f.mc.6x5.train.99,phi.proc.E1,901
f.mc.6x5.train.100,phi.proc.E1,1024
f.mc.6x5.train.101,phi.proc.E1,363
f.mc.6x5.train.102,phi.proc.E1,460
f.mc.6x5.train.103,phi.proc.E1,569
f.mc.6x5.train.104,phi.proc.E1,524
f.mc.6x5.train.105,phi.proc.E1,693
f.mc.6x5.train.106,phi.proc.E1,673
f.mc.6x5.train.107,phi.proc.E1,845
f.mc.6x5.train.108,phi.proc.E1,299
f.mc.6x5.train.109,phi.proc.E1,468
f.mc.6x5.train.110,phi.proc.E1,451
f.mc.6x5.train.111,phi.proc.E1,638
f.mc.6x5.train.112,phi.proc.E1,569
f.mc.6x5.train.113,phi.proc.E1,663
f.mc.6x5.train.114,phi.proc.E1,688
f.mc.6x5.train.115,phi.proc.E1,772
f.mc.6x5.train.116,phi.proc.E1,559
f.mc.6x5.train.117,phi.proc.E1,445
f.mc.6x5.train.118,phi.proc.E1,548
f.mc.6x5.train.119,phi.proc.E1,583
f.mc.6x5.train.120,phi.proc.E1,862
f.mc.6x5.train.121,phi.proc.E1,786
f.mc.6x5.train.122,phi.proc.E1,770
f.mc.6x5.train.123,phi.proc.E1,200
f.mc.6x5.train.124,phi.proc.E1,559
f.mc.6x5.train.125,phi.proc.E1,591
f.mc.6x5.train.126,phi.proc.E1,581
f.mc.6x5.train.127,phi.proc.E1,631
f.mc.6x5.train.128,phi.proc.E1,670
f.mc.6x5.train.129,phi.proc.E1,777
f.mc.6x5.train.130,phi.proc.E1,762
f.mc.6x5.train.131,phi.proc.E1,358
f.mc.6x5.train.132,phi.proc.E1,423
f.mc.6x5.train.133,phi.proc.E1,523
f.mc.6x5.train.134,phi.proc.E1,613
f.mc.6x5.train.135,phi.proc.E1,616
f.mc.6x5.train.136,phi.proc.E1,700
f.mc.6x5.train.137,phi.proc.E1,922
f.mc.6x5.train.138,phi.proc.E1,993
f.mc.6x5.train.139,phi.proc.E1,400
f.mc.6x5.train.140,phi.proc.E1,538
f.mc.6x5.train.141,phi.proc.E1,661
f.mc.6x5.train.142,phi.proc.E1,660
f.mc.6x5.train.143,phi.proc.E1,658
f.mc.6x5.train.144,phi.proc.E1,739
f.mc.6x5.train.145,phi.proc.E1,705
f.mc.6x5.train.146,phi.proc.E1,327
f.mc.6x5.train.147,phi.proc.E1,378
f.mc.6x5.train.148,phi.proc.E1,628
f.mc.6x5.train.149,phi.proc.E1,472
f.mc.6x5.train.150,phi.proc.E1,619
f.mc.6x5.train.151,phi.proc.E1,717
