Name,CDR,Makespan
f.mxc.6x5.train.1,phi.reducedSlack.E-1,841
f.mxc.6x5.train.2,phi.reducedSlack.E-1,428
f.mxc.6x5.train.3,phi.reducedSlack.E-1,328
f.mxc.6x5.train.4,phi.reducedSlack.E-1,578
f.mxc.6x5.train.5,phi.reducedSlack.E-1,614
f.mxc.6x5.train.6,phi.reducedSlack.E-1,708
f.mxc.6x5.train.7,phi.reducedSlack.E-1,736
f.mxc.6x5.train.8,phi.reducedSlack.E-1,750
f.mxc.6x5.train.9,phi.reducedSlack.E-1,421
f.mxc.6x5.train.10,phi.reducedSlack.E-1,437
f.mxc.6x5.train.11,phi.reducedSlack.E-1,617
f.mxc.6x5.train.12,phi.reducedSlack.E-1,559
f.mxc.6x5.train.13,phi.reducedSlack.E-1,756
f.mxc.6x5.train.14,phi.reducedSlack.E-1,816
f.mxc.6x5.train.15,phi.reducedSlack.E-1,943
f.mxc.6x5.train.16,phi.reducedSlack.E-1,700
f.mxc.6x5.train.17,phi.reducedSlack.E-1,485
f.mxc.6x5.train.18,phi.reducedSlack.E-1,519
f.mxc.6x5.train.19,phi.reducedSlack.E-1,619
f.mxc.6x5.train.20,phi.reducedSlack.E-1,684
f.mxc.6x5.train.21,phi.reducedSlack.E-1,640
f.mxc.6x5.train.22,phi.reducedSlack.E-1,795
f.mxc.6x5.train.23,phi.reducedSlack.E-1,736
f.mxc.6x5.train.24,phi.reducedSlack.E-1,1000
f.mxc.6x5.train.25,phi.reducedSlack.E-1,213
f.mxc.6x5.train.26,phi.reducedSlack.E-1,471
f.mxc.6x5.train.27,phi.reducedSlack.E-1,508
f.mxc.6x5.train.28,phi.reducedSlack.E-1,671
f.mxc.6x5.train.29,phi.reducedSlack.E-1,698
f.mxc.6x5.train.30,phi.reducedSlack.E-1,830
f.mxc.6x5.train.31,phi.reducedSlack.E-1,923
f.mxc.6x5.train.32,phi.reducedSlack.E-1,411
f.mxc.6x5.train.33,phi.reducedSlack.E-1,502
f.mxc.6x5.train.34,phi.reducedSlack.E-1,649
f.mxc.6x5.train.35,phi.reducedSlack.E-1,690
f.mxc.6x5.train.36,phi.reducedSlack.E-1,649
f.mxc.6x5.train.37,phi.reducedSlack.E-1,698
f.mxc.6x5.train.38,phi.reducedSlack.E-1,843
f.mxc.6x5.train.39,phi.reducedSlack.E-1,807
f.mxc.6x5.train.40,phi.reducedSlack.E-1,193
f.mxc.6x5.train.41,phi.reducedSlack.E-1,445
f.mxc.6x5.train.42,phi.reducedSlack.E-1,491
f.mxc.6x5.train.43,phi.reducedSlack.E-1,583
f.mxc.6x5.train.44,phi.reducedSlack.E-1,677
f.mxc.6x5.train.45,phi.reducedSlack.E-1,701
f.mxc.6x5.train.46,phi.reducedSlack.E-1,823
f.mxc.6x5.train.47,phi.reducedSlack.E-1,421
f.mxc.6x5.train.48,phi.reducedSlack.E-1,380
f.mxc.6x5.train.49,phi.reducedSlack.E-1,518
f.mxc.6x5.train.50,phi.reducedSlack.E-1,598
f.mxc.6x5.train.51,phi.reducedSlack.E-1,651
f.mxc.6x5.train.52,phi.reducedSlack.E-1,782
f.mxc.6x5.train.53,phi.reducedSlack.E-1,720
f.mxc.6x5.train.54,phi.reducedSlack.E-1,872
f.mxc.6x5.train.55,phi.reducedSlack.E-1,482
f.mxc.6x5.train.56,phi.reducedSlack.E-1,547
f.mxc.6x5.train.57,phi.reducedSlack.E-1,590
f.mxc.6x5.train.58,phi.reducedSlack.E-1,573
f.mxc.6x5.train.59,phi.reducedSlack.E-1,724
f.mxc.6x5.train.60,phi.reducedSlack.E-1,749
f.mxc.6x5.train.61,phi.reducedSlack.E-1,862
f.mxc.6x5.train.62,phi.reducedSlack.E-1,846
f.mxc.6x5.train.63,phi.reducedSlack.E-1,353
f.mxc.6x5.train.64,phi.reducedSlack.E-1,521
f.mxc.6x5.train.65,phi.reducedSlack.E-1,556
f.mxc.6x5.train.66,phi.reducedSlack.E-1,583
f.mxc.6x5.train.67,phi.reducedSlack.E-1,633
f.mxc.6x5.train.68,phi.reducedSlack.E-1,811
f.mxc.6x5.train.69,phi.reducedSlack.E-1,842
f.mxc.6x5.train.70,phi.reducedSlack.E-1,407
f.mxc.6x5.train.71,phi.reducedSlack.E-1,391
f.mxc.6x5.train.72,phi.reducedSlack.E-1,550
f.mxc.6x5.train.73,phi.reducedSlack.E-1,554
f.mxc.6x5.train.74,phi.reducedSlack.E-1,772
f.mxc.6x5.train.75,phi.reducedSlack.E-1,761
f.mxc.6x5.train.76,phi.reducedSlack.E-1,796
f.mxc.6x5.train.77,phi.reducedSlack.E-1,831
f.mxc.6x5.train.78,phi.reducedSlack.E-1,441
f.mxc.6x5.train.79,phi.reducedSlack.E-1,630
f.mxc.6x5.train.80,phi.reducedSlack.E-1,388
f.mxc.6x5.train.81,phi.reducedSlack.E-1,569
f.mxc.6x5.train.82,phi.reducedSlack.E-1,641
f.mxc.6x5.train.83,phi.reducedSlack.E-1,719
f.mxc.6x5.train.84,phi.reducedSlack.E-1,844
f.mxc.6x5.train.85,phi.reducedSlack.E-1,285
f.mxc.6x5.train.86,phi.reducedSlack.E-1,326
f.mxc.6x5.train.87,phi.reducedSlack.E-1,503
f.mxc.6x5.train.88,phi.reducedSlack.E-1,697
f.mxc.6x5.train.89,phi.reducedSlack.E-1,558
f.mxc.6x5.train.90,phi.reducedSlack.E-1,633
f.mxc.6x5.train.91,phi.reducedSlack.E-1,733
f.mxc.6x5.train.92,phi.reducedSlack.E-1,941
f.mxc.6x5.train.93,phi.reducedSlack.E-1,421
f.mxc.6x5.train.94,phi.reducedSlack.E-1,511
f.mxc.6x5.train.95,phi.reducedSlack.E-1,525
f.mxc.6x5.train.96,phi.reducedSlack.E-1,669
f.mxc.6x5.train.97,phi.reducedSlack.E-1,672
f.mxc.6x5.train.98,phi.reducedSlack.E-1,671
f.mxc.6x5.train.99,phi.reducedSlack.E-1,814
f.mxc.6x5.train.100,phi.reducedSlack.E-1,959
f.mxc.6x5.train.101,phi.reducedSlack.E-1,374
f.mxc.6x5.train.102,phi.reducedSlack.E-1,503
f.mxc.6x5.train.103,phi.reducedSlack.E-1,700
f.mxc.6x5.train.104,phi.reducedSlack.E-1,519
f.mxc.6x5.train.105,phi.reducedSlack.E-1,764
f.mxc.6x5.train.106,phi.reducedSlack.E-1,734
f.mxc.6x5.train.107,phi.reducedSlack.E-1,846
f.mxc.6x5.train.108,phi.reducedSlack.E-1,315
f.mxc.6x5.train.109,phi.reducedSlack.E-1,488
f.mxc.6x5.train.110,phi.reducedSlack.E-1,465
f.mxc.6x5.train.111,phi.reducedSlack.E-1,618
f.mxc.6x5.train.112,phi.reducedSlack.E-1,580
f.mxc.6x5.train.113,phi.reducedSlack.E-1,756
f.mxc.6x5.train.114,phi.reducedSlack.E-1,774
f.mxc.6x5.train.115,phi.reducedSlack.E-1,796
f.mxc.6x5.train.116,phi.reducedSlack.E-1,597
f.mxc.6x5.train.117,phi.reducedSlack.E-1,432
f.mxc.6x5.train.118,phi.reducedSlack.E-1,553
f.mxc.6x5.train.119,phi.reducedSlack.E-1,605
f.mxc.6x5.train.120,phi.reducedSlack.E-1,861
f.mxc.6x5.train.121,phi.reducedSlack.E-1,817
f.mxc.6x5.train.122,phi.reducedSlack.E-1,864
f.mxc.6x5.train.123,phi.reducedSlack.E-1,205
f.mxc.6x5.train.124,phi.reducedSlack.E-1,556
f.mxc.6x5.train.125,phi.reducedSlack.E-1,499
f.mxc.6x5.train.126,phi.reducedSlack.E-1,562
f.mxc.6x5.train.127,phi.reducedSlack.E-1,617
f.mxc.6x5.train.128,phi.reducedSlack.E-1,677
f.mxc.6x5.train.129,phi.reducedSlack.E-1,889
f.mxc.6x5.train.130,phi.reducedSlack.E-1,759
f.mxc.6x5.train.131,phi.reducedSlack.E-1,358
f.mxc.6x5.train.132,phi.reducedSlack.E-1,431
f.mxc.6x5.train.133,phi.reducedSlack.E-1,599
f.mxc.6x5.train.134,phi.reducedSlack.E-1,605
f.mxc.6x5.train.135,phi.reducedSlack.E-1,720
