Name,CDR,Makespan
j.rnd.10x10.train.1,phi.reducedSlack.E-1,1392
j.rnd.10x10.train.2,phi.reducedSlack.E-1,1275
j.rnd.10x10.train.3,phi.reducedSlack.E-1,959
j.rnd.10x10.train.4,phi.reducedSlack.E-1,1270
j.rnd.10x10.train.5,phi.reducedSlack.E-1,1193
j.rnd.10x10.train.6,phi.reducedSlack.E-1,1254
j.rnd.10x10.train.7,phi.reducedSlack.E-1,1122
j.rnd.10x10.train.8,phi.reducedSlack.E-1,1132
j.rnd.10x10.train.9,phi.reducedSlack.E-1,1219
j.rnd.10x10.train.10,phi.reducedSlack.E-1,1316
j.rnd.10x10.train.11,phi.reducedSlack.E-1,1118
j.rnd.10x10.train.12,phi.reducedSlack.E-1,1217
j.rnd.10x10.train.13,phi.reducedSlack.E-1,1343
j.rnd.10x10.train.14,phi.reducedSlack.E-1,1069
j.rnd.10x10.train.15,phi.reducedSlack.E-1,1322
j.rnd.10x10.train.16,phi.reducedSlack.E-1,1181
j.rnd.10x10.train.17,phi.reducedSlack.E-1,1144
j.rnd.10x10.train.18,phi.reducedSlack.E-1,1250
j.rnd.10x10.train.19,phi.reducedSlack.E-1,1293
j.rnd.10x10.train.20,phi.reducedSlack.E-1,1068
j.rnd.10x10.train.21,phi.reducedSlack.E-1,1135
j.rnd.10x10.train.22,phi.reducedSlack.E-1,1108
j.rnd.10x10.train.23,phi.reducedSlack.E-1,1603
j.rnd.10x10.train.24,phi.reducedSlack.E-1,1406
j.rnd.10x10.train.25,phi.reducedSlack.E-1,1099
j.rnd.10x10.train.26,phi.reducedSlack.E-1,1195
j.rnd.10x10.train.27,phi.reducedSlack.E-1,1271
j.rnd.10x10.train.28,phi.reducedSlack.E-1,1237
j.rnd.10x10.train.29,phi.reducedSlack.E-1,1102
j.rnd.10x10.train.30,phi.reducedSlack.E-1,1184
j.rnd.10x10.train.31,phi.reducedSlack.E-1,1316
j.rnd.10x10.train.32,phi.reducedSlack.E-1,1262
j.rnd.10x10.train.33,phi.reducedSlack.E-1,1223
j.rnd.10x10.train.34,phi.reducedSlack.E-1,1233
j.rnd.10x10.train.35,phi.reducedSlack.E-1,1362
j.rnd.10x10.train.36,phi.reducedSlack.E-1,1234
j.rnd.10x10.train.37,phi.reducedSlack.E-1,1431
j.rnd.10x10.train.38,phi.reducedSlack.E-1,1222
j.rnd.10x10.train.39,phi.reducedSlack.E-1,1011
j.rnd.10x10.train.40,phi.reducedSlack.E-1,1255
j.rnd.10x10.train.41,phi.reducedSlack.E-1,1165
j.rnd.10x10.train.42,phi.reducedSlack.E-1,1071
j.rnd.10x10.train.43,phi.reducedSlack.E-1,1117
j.rnd.10x10.train.44,phi.reducedSlack.E-1,1402
j.rnd.10x10.train.45,phi.reducedSlack.E-1,1224
j.rnd.10x10.train.46,phi.reducedSlack.E-1,1213
j.rnd.10x10.train.47,phi.reducedSlack.E-1,1098
j.rnd.10x10.train.48,phi.reducedSlack.E-1,1158
j.rnd.10x10.train.49,phi.reducedSlack.E-1,1268
j.rnd.10x10.train.50,phi.reducedSlack.E-1,1147
j.rnd.10x10.train.51,phi.reducedSlack.E-1,1351
j.rnd.10x10.train.52,phi.reducedSlack.E-1,1356
j.rnd.10x10.train.53,phi.reducedSlack.E-1,1094
j.rnd.10x10.train.54,phi.reducedSlack.E-1,1519
j.rnd.10x10.train.55,phi.reducedSlack.E-1,1353
j.rnd.10x10.train.56,phi.reducedSlack.E-1,1146
j.rnd.10x10.train.57,phi.reducedSlack.E-1,1317
j.rnd.10x10.train.58,phi.reducedSlack.E-1,1446
j.rnd.10x10.train.59,phi.reducedSlack.E-1,1512
j.rnd.10x10.train.60,phi.reducedSlack.E-1,1306
j.rnd.10x10.train.61,phi.reducedSlack.E-1,1224
j.rnd.10x10.train.62,phi.reducedSlack.E-1,1314
j.rnd.10x10.train.63,phi.reducedSlack.E-1,1303
j.rnd.10x10.train.64,phi.reducedSlack.E-1,1418
j.rnd.10x10.train.65,phi.reducedSlack.E-1,1264
j.rnd.10x10.train.66,phi.reducedSlack.E-1,1270
j.rnd.10x10.train.67,phi.reducedSlack.E-1,1169
j.rnd.10x10.train.68,phi.reducedSlack.E-1,1378
j.rnd.10x10.train.69,phi.reducedSlack.E-1,1388
j.rnd.10x10.train.70,phi.reducedSlack.E-1,1161
j.rnd.10x10.train.71,phi.reducedSlack.E-1,1319
j.rnd.10x10.train.72,phi.reducedSlack.E-1,1085
j.rnd.10x10.train.73,phi.reducedSlack.E-1,1198
j.rnd.10x10.train.74,phi.reducedSlack.E-1,1178
j.rnd.10x10.train.75,phi.reducedSlack.E-1,1204
j.rnd.10x10.train.76,phi.reducedSlack.E-1,1126
j.rnd.10x10.train.77,phi.reducedSlack.E-1,1079
j.rnd.10x10.train.78,phi.reducedSlack.E-1,1271
j.rnd.10x10.train.79,phi.reducedSlack.E-1,1146
j.rnd.10x10.train.80,phi.reducedSlack.E-1,1231
j.rnd.10x10.train.81,phi.reducedSlack.E-1,1098
j.rnd.10x10.train.82,phi.reducedSlack.E-1,1272
j.rnd.10x10.train.83,phi.reducedSlack.E-1,1350
j.rnd.10x10.train.84,phi.reducedSlack.E-1,1293
j.rnd.10x10.train.85,phi.reducedSlack.E-1,1137
j.rnd.10x10.train.86,phi.reducedSlack.E-1,1041
