Name,CDR,Makespan
j.rnd_pj1doubled.6x5.train.1,phi.reducedSlack.E-1,788
j.rnd_pj1doubled.6x5.train.2,phi.reducedSlack.E-1,648
j.rnd_pj1doubled.6x5.train.3,phi.reducedSlack.E-1,704
j.rnd_pj1doubled.6x5.train.4,phi.reducedSlack.E-1,845
j.rnd_pj1doubled.6x5.train.5,phi.reducedSlack.E-1,653
j.rnd_pj1doubled.6x5.train.6,phi.reducedSlack.E-1,766
j.rnd_pj1doubled.6x5.train.7,phi.reducedSlack.E-1,806
j.rnd_pj1doubled.6x5.train.8,phi.reducedSlack.E-1,675
j.rnd_pj1doubled.6x5.train.9,phi.reducedSlack.E-1,751
j.rnd_pj1doubled.6x5.train.10,phi.reducedSlack.E-1,883
j.rnd_pj1doubled.6x5.train.11,phi.reducedSlack.E-1,925
j.rnd_pj1doubled.6x5.train.12,phi.reducedSlack.E-1,772
j.rnd_pj1doubled.6x5.train.13,phi.reducedSlack.E-1,1078
j.rnd_pj1doubled.6x5.train.14,phi.reducedSlack.E-1,802
j.rnd_pj1doubled.6x5.train.15,phi.reducedSlack.E-1,705
j.rnd_pj1doubled.6x5.train.16,phi.reducedSlack.E-1,931
j.rnd_pj1doubled.6x5.train.17,phi.reducedSlack.E-1,996
j.rnd_pj1doubled.6x5.train.18,phi.reducedSlack.E-1,844
j.rnd_pj1doubled.6x5.train.19,phi.reducedSlack.E-1,770
j.rnd_pj1doubled.6x5.train.20,phi.reducedSlack.E-1,741
j.rnd_pj1doubled.6x5.train.21,phi.reducedSlack.E-1,627
j.rnd_pj1doubled.6x5.train.22,phi.reducedSlack.E-1,720
j.rnd_pj1doubled.6x5.train.23,phi.reducedSlack.E-1,690
j.rnd_pj1doubled.6x5.train.24,phi.reducedSlack.E-1,601
j.rnd_pj1doubled.6x5.train.25,phi.reducedSlack.E-1,697
j.rnd_pj1doubled.6x5.train.26,phi.reducedSlack.E-1,741
j.rnd_pj1doubled.6x5.train.27,phi.reducedSlack.E-1,692
j.rnd_pj1doubled.6x5.train.28,phi.reducedSlack.E-1,704
j.rnd_pj1doubled.6x5.train.29,phi.reducedSlack.E-1,792
j.rnd_pj1doubled.6x5.train.30,phi.reducedSlack.E-1,847
j.rnd_pj1doubled.6x5.train.31,phi.reducedSlack.E-1,735
j.rnd_pj1doubled.6x5.train.32,phi.reducedSlack.E-1,816
j.rnd_pj1doubled.6x5.train.33,phi.reducedSlack.E-1,880
j.rnd_pj1doubled.6x5.train.34,phi.reducedSlack.E-1,865
j.rnd_pj1doubled.6x5.train.35,phi.reducedSlack.E-1,1093
j.rnd_pj1doubled.6x5.train.36,phi.reducedSlack.E-1,925
j.rnd_pj1doubled.6x5.train.37,phi.reducedSlack.E-1,856
j.rnd_pj1doubled.6x5.train.38,phi.reducedSlack.E-1,807
j.rnd_pj1doubled.6x5.train.39,phi.reducedSlack.E-1,848
j.rnd_pj1doubled.6x5.train.40,phi.reducedSlack.E-1,635
j.rnd_pj1doubled.6x5.train.41,phi.reducedSlack.E-1,614
j.rnd_pj1doubled.6x5.train.42,phi.reducedSlack.E-1,604
j.rnd_pj1doubled.6x5.train.43,phi.reducedSlack.E-1,631
j.rnd_pj1doubled.6x5.train.44,phi.reducedSlack.E-1,751
j.rnd_pj1doubled.6x5.train.45,phi.reducedSlack.E-1,684
j.rnd_pj1doubled.6x5.train.46,phi.reducedSlack.E-1,833
j.rnd_pj1doubled.6x5.train.47,phi.reducedSlack.E-1,850
j.rnd_pj1doubled.6x5.train.48,phi.reducedSlack.E-1,633
j.rnd_pj1doubled.6x5.train.49,phi.reducedSlack.E-1,936
j.rnd_pj1doubled.6x5.train.50,phi.reducedSlack.E-1,714
j.rnd_pj1doubled.6x5.train.51,phi.reducedSlack.E-1,830
j.rnd_pj1doubled.6x5.train.52,phi.reducedSlack.E-1,793
j.rnd_pj1doubled.6x5.train.53,phi.reducedSlack.E-1,827
