Name,CDR,Makespan
j.rnd.10x10.train.1,phi.reducedSlack.E1,1128
j.rnd.10x10.train.2,phi.reducedSlack.E1,891
j.rnd.10x10.train.3,phi.reducedSlack.E1,873
j.rnd.10x10.train.4,phi.reducedSlack.E1,997
j.rnd.10x10.train.5,phi.reducedSlack.E1,1006
j.rnd.10x10.train.6,phi.reducedSlack.E1,1082
j.rnd.10x10.train.7,phi.reducedSlack.E1,1214
j.rnd.10x10.train.8,phi.reducedSlack.E1,974
j.rnd.10x10.train.9,phi.reducedSlack.E1,898
j.rnd.10x10.train.10,phi.reducedSlack.E1,952
j.rnd.10x10.train.11,phi.reducedSlack.E1,995
j.rnd.10x10.train.12,phi.reducedSlack.E1,899
j.rnd.10x10.train.13,phi.reducedSlack.E1,1098
j.rnd.10x10.train.14,phi.reducedSlack.E1,953
j.rnd.10x10.train.15,phi.reducedSlack.E1,1053
j.rnd.10x10.train.16,phi.reducedSlack.E1,1155
j.rnd.10x10.train.17,phi.reducedSlack.E1,1024
j.rnd.10x10.train.18,phi.reducedSlack.E1,1081
j.rnd.10x10.train.19,phi.reducedSlack.E1,1035
j.rnd.10x10.train.20,phi.reducedSlack.E1,947
j.rnd.10x10.train.21,phi.reducedSlack.E1,1139
j.rnd.10x10.train.22,phi.reducedSlack.E1,959
j.rnd.10x10.train.23,phi.reducedSlack.E1,1041
j.rnd.10x10.train.24,phi.reducedSlack.E1,1005
j.rnd.10x10.train.25,phi.reducedSlack.E1,1023
j.rnd.10x10.train.26,phi.reducedSlack.E1,908
j.rnd.10x10.train.27,phi.reducedSlack.E1,1016
j.rnd.10x10.train.28,phi.reducedSlack.E1,891
j.rnd.10x10.train.29,phi.reducedSlack.E1,984
j.rnd.10x10.train.30,phi.reducedSlack.E1,989
j.rnd.10x10.train.31,phi.reducedSlack.E1,979
j.rnd.10x10.train.32,phi.reducedSlack.E1,1070
j.rnd.10x10.train.33,phi.reducedSlack.E1,960
j.rnd.10x10.train.34,phi.reducedSlack.E1,1021
j.rnd.10x10.train.35,phi.reducedSlack.E1,1112
j.rnd.10x10.train.36,phi.reducedSlack.E1,901
j.rnd.10x10.train.37,phi.reducedSlack.E1,1048
j.rnd.10x10.train.38,phi.reducedSlack.E1,965
j.rnd.10x10.train.39,phi.reducedSlack.E1,1041
j.rnd.10x10.train.40,phi.reducedSlack.E1,988
j.rnd.10x10.train.41,phi.reducedSlack.E1,977
j.rnd.10x10.train.42,phi.reducedSlack.E1,1002
j.rnd.10x10.train.43,phi.reducedSlack.E1,998
j.rnd.10x10.train.44,phi.reducedSlack.E1,1037
j.rnd.10x10.train.45,phi.reducedSlack.E1,966
j.rnd.10x10.train.46,phi.reducedSlack.E1,977
j.rnd.10x10.train.47,phi.reducedSlack.E1,1174
j.rnd.10x10.train.48,phi.reducedSlack.E1,1109
j.rnd.10x10.train.49,phi.reducedSlack.E1,878
j.rnd.10x10.train.50,phi.reducedSlack.E1,983
j.rnd.10x10.train.51,phi.reducedSlack.E1,1014
j.rnd.10x10.train.52,phi.reducedSlack.E1,1121
j.rnd.10x10.train.53,phi.reducedSlack.E1,966
j.rnd.10x10.train.54,phi.reducedSlack.E1,1231
j.rnd.10x10.train.55,phi.reducedSlack.E1,1037
j.rnd.10x10.train.56,phi.reducedSlack.E1,920
j.rnd.10x10.train.57,phi.reducedSlack.E1,993
j.rnd.10x10.train.58,phi.reducedSlack.E1,1092
j.rnd.10x10.train.59,phi.reducedSlack.E1,965
j.rnd.10x10.train.60,phi.reducedSlack.E1,842
j.rnd.10x10.train.61,phi.reducedSlack.E1,1127
j.rnd.10x10.train.62,phi.reducedSlack.E1,1059
j.rnd.10x10.train.63,phi.reducedSlack.E1,1234
j.rnd.10x10.train.64,phi.reducedSlack.E1,1000
j.rnd.10x10.train.65,phi.reducedSlack.E1,1065
j.rnd.10x10.train.66,phi.reducedSlack.E1,1111
j.rnd.10x10.train.67,phi.reducedSlack.E1,907
j.rnd.10x10.train.68,phi.reducedSlack.E1,893
j.rnd.10x10.train.69,phi.reducedSlack.E1,1140
j.rnd.10x10.train.70,phi.reducedSlack.E1,1020
j.rnd.10x10.train.71,phi.reducedSlack.E1,1057
j.rnd.10x10.train.72,phi.reducedSlack.E1,1110
j.rnd.10x10.train.73,phi.reducedSlack.E1,921
j.rnd.10x10.train.74,phi.reducedSlack.E1,1022
j.rnd.10x10.train.75,phi.reducedSlack.E1,1118
j.rnd.10x10.train.76,phi.reducedSlack.E1,1145
j.rnd.10x10.train.77,phi.reducedSlack.E1,896
j.rnd.10x10.train.78,phi.reducedSlack.E1,1148
j.rnd.10x10.train.79,phi.reducedSlack.E1,1145
j.rnd.10x10.train.80,phi.reducedSlack.E1,922
j.rnd.10x10.train.81,phi.reducedSlack.E1,879
j.rnd.10x10.train.82,phi.reducedSlack.E1,999
j.rnd.10x10.train.83,phi.reducedSlack.E1,996
j.rnd.10x10.train.84,phi.reducedSlack.E1,934
j.rnd.10x10.train.85,phi.reducedSlack.E1,973
j.rnd.10x10.train.86,phi.reducedSlack.E1,922
j.rnd.10x10.train.87,phi.reducedSlack.E1,993
j.rnd.10x10.train.88,phi.reducedSlack.E1,1139
