Name,CDR,Makespan
j.rndn.6x5.train.1,phi.reducedSlack.E1,560
j.rndn.6x5.train.2,phi.reducedSlack.E1,488
j.rndn.6x5.train.3,phi.reducedSlack.E1,447
j.rndn.6x5.train.4,phi.reducedSlack.E1,469
j.rndn.6x5.train.5,phi.reducedSlack.E1,403
j.rndn.6x5.train.6,phi.reducedSlack.E1,365
j.rndn.6x5.train.7,phi.reducedSlack.E1,454
j.rndn.6x5.train.8,phi.reducedSlack.E1,452
j.rndn.6x5.train.9,phi.reducedSlack.E1,558
j.rndn.6x5.train.10,phi.reducedSlack.E1,405
j.rndn.6x5.train.11,phi.reducedSlack.E1,602
j.rndn.6x5.train.12,phi.reducedSlack.E1,449
j.rndn.6x5.train.13,phi.reducedSlack.E1,460
j.rndn.6x5.train.14,phi.reducedSlack.E1,461
j.rndn.6x5.train.15,phi.reducedSlack.E1,489
j.rndn.6x5.train.16,phi.reducedSlack.E1,468
j.rndn.6x5.train.17,phi.reducedSlack.E1,510
j.rndn.6x5.train.18,phi.reducedSlack.E1,519
j.rndn.6x5.train.19,phi.reducedSlack.E1,454
j.rndn.6x5.train.20,phi.reducedSlack.E1,447
j.rndn.6x5.train.21,phi.reducedSlack.E1,448
j.rndn.6x5.train.22,phi.reducedSlack.E1,514
j.rndn.6x5.train.23,phi.reducedSlack.E1,462
j.rndn.6x5.train.24,phi.reducedSlack.E1,498
j.rndn.6x5.train.25,phi.reducedSlack.E1,494
j.rndn.6x5.train.26,phi.reducedSlack.E1,450
j.rndn.6x5.train.27,phi.reducedSlack.E1,447
j.rndn.6x5.train.28,phi.reducedSlack.E1,444
j.rndn.6x5.train.29,phi.reducedSlack.E1,500
j.rndn.6x5.train.30,phi.reducedSlack.E1,448
j.rndn.6x5.train.31,phi.reducedSlack.E1,417
j.rndn.6x5.train.32,phi.reducedSlack.E1,468
j.rndn.6x5.train.33,phi.reducedSlack.E1,452
j.rndn.6x5.train.34,phi.reducedSlack.E1,504
j.rndn.6x5.train.35,phi.reducedSlack.E1,416
j.rndn.6x5.train.36,phi.reducedSlack.E1,493
j.rndn.6x5.train.37,phi.reducedSlack.E1,435
j.rndn.6x5.train.38,phi.reducedSlack.E1,516
j.rndn.6x5.train.39,phi.reducedSlack.E1,465
j.rndn.6x5.train.40,phi.reducedSlack.E1,437
j.rndn.6x5.train.41,phi.reducedSlack.E1,486
j.rndn.6x5.train.42,phi.reducedSlack.E1,447
j.rndn.6x5.train.43,phi.reducedSlack.E1,487
j.rndn.6x5.train.44,phi.reducedSlack.E1,454
j.rndn.6x5.train.45,phi.reducedSlack.E1,492
j.rndn.6x5.train.46,phi.reducedSlack.E1,503
j.rndn.6x5.train.47,phi.reducedSlack.E1,464
j.rndn.6x5.train.48,phi.reducedSlack.E1,549
j.rndn.6x5.train.49,phi.reducedSlack.E1,445
j.rndn.6x5.train.50,phi.reducedSlack.E1,408
j.rndn.6x5.train.51,phi.reducedSlack.E1,508
j.rndn.6x5.train.52,phi.reducedSlack.E1,514
j.rndn.6x5.train.53,phi.reducedSlack.E1,454
j.rndn.6x5.train.54,phi.reducedSlack.E1,469
j.rndn.6x5.train.55,phi.reducedSlack.E1,516
j.rndn.6x5.train.56,phi.reducedSlack.E1,491
j.rndn.6x5.train.57,phi.reducedSlack.E1,495
j.rndn.6x5.train.58,phi.reducedSlack.E1,451
j.rndn.6x5.train.59,phi.reducedSlack.E1,450
