Name,CDR,Makespan
f.jc.6x5.train.1,phi.startTime.E1,1001
f.jc.6x5.train.2,phi.startTime.E1,431
f.jc.6x5.train.3,phi.startTime.E1,330
f.jc.6x5.train.4,phi.startTime.E1,546
f.jc.6x5.train.5,phi.startTime.E1,630
f.jc.6x5.train.6,phi.startTime.E1,698
f.jc.6x5.train.7,phi.startTime.E1,860
f.jc.6x5.train.8,phi.startTime.E1,689
f.jc.6x5.train.9,phi.startTime.E1,383
f.jc.6x5.train.10,phi.startTime.E1,479
f.jc.6x5.train.11,phi.startTime.E1,643
f.jc.6x5.train.12,phi.startTime.E1,499
f.jc.6x5.train.13,phi.startTime.E1,837
f.jc.6x5.train.14,phi.startTime.E1,736
f.jc.6x5.train.15,phi.startTime.E1,1012
f.jc.6x5.train.16,phi.startTime.E1,854
f.jc.6x5.train.17,phi.startTime.E1,433
f.jc.6x5.train.18,phi.startTime.E1,500
f.jc.6x5.train.19,phi.startTime.E1,610
f.jc.6x5.train.20,phi.startTime.E1,604
f.jc.6x5.train.21,phi.startTime.E1,645
f.jc.6x5.train.22,phi.startTime.E1,739
f.jc.6x5.train.23,phi.startTime.E1,818
f.jc.6x5.train.24,phi.startTime.E1,972
f.jc.6x5.train.25,phi.startTime.E1,209
f.jc.6x5.train.26,phi.startTime.E1,522
f.jc.6x5.train.27,phi.startTime.E1,539
f.jc.6x5.train.28,phi.startTime.E1,575
f.jc.6x5.train.29,phi.startTime.E1,776
f.jc.6x5.train.30,phi.startTime.E1,868
f.jc.6x5.train.31,phi.startTime.E1,870
f.jc.6x5.train.32,phi.startTime.E1,432
f.jc.6x5.train.33,phi.startTime.E1,536
f.jc.6x5.train.34,phi.startTime.E1,587
f.jc.6x5.train.35,phi.startTime.E1,624
f.jc.6x5.train.36,phi.startTime.E1,633
f.jc.6x5.train.37,phi.startTime.E1,598
f.jc.6x5.train.38,phi.startTime.E1,879
f.jc.6x5.train.39,phi.startTime.E1,746
f.jc.6x5.train.40,phi.startTime.E1,215
f.jc.6x5.train.41,phi.startTime.E1,441
f.jc.6x5.train.42,phi.startTime.E1,555
f.jc.6x5.train.43,phi.startTime.E1,643
f.jc.6x5.train.44,phi.startTime.E1,811
f.jc.6x5.train.45,phi.startTime.E1,729
f.jc.6x5.train.46,phi.startTime.E1,860
f.jc.6x5.train.47,phi.startTime.E1,460
f.jc.6x5.train.48,phi.startTime.E1,393
f.jc.6x5.train.49,phi.startTime.E1,504
f.jc.6x5.train.50,phi.startTime.E1,596
f.jc.6x5.train.51,phi.startTime.E1,691
f.jc.6x5.train.52,phi.startTime.E1,792
f.jc.6x5.train.53,phi.startTime.E1,748
f.jc.6x5.train.54,phi.startTime.E1,955
f.jc.6x5.train.55,phi.startTime.E1,468
f.jc.6x5.train.56,phi.startTime.E1,501
f.jc.6x5.train.57,phi.startTime.E1,526
f.jc.6x5.train.58,phi.startTime.E1,557
f.jc.6x5.train.59,phi.startTime.E1,722
f.jc.6x5.train.60,phi.startTime.E1,892
f.jc.6x5.train.61,phi.startTime.E1,825
f.jc.6x5.train.62,phi.startTime.E1,823
f.jc.6x5.train.63,phi.startTime.E1,457
f.jc.6x5.train.64,phi.startTime.E1,493
f.jc.6x5.train.65,phi.startTime.E1,577
f.jc.6x5.train.66,phi.startTime.E1,657
f.jc.6x5.train.67,phi.startTime.E1,686
f.jc.6x5.train.68,phi.startTime.E1,766
f.jc.6x5.train.69,phi.startTime.E1,849
f.jc.6x5.train.70,phi.startTime.E1,393
f.jc.6x5.train.71,phi.startTime.E1,465
f.jc.6x5.train.72,phi.startTime.E1,571
f.jc.6x5.train.73,phi.startTime.E1,635
f.jc.6x5.train.74,phi.startTime.E1,653
f.jc.6x5.train.75,phi.startTime.E1,659
f.jc.6x5.train.76,phi.startTime.E1,820
f.jc.6x5.train.77,phi.startTime.E1,959
f.jc.6x5.train.78,phi.startTime.E1,372
f.jc.6x5.train.79,phi.startTime.E1,661
f.jc.6x5.train.80,phi.startTime.E1,423
f.jc.6x5.train.81,phi.startTime.E1,547
f.jc.6x5.train.82,phi.startTime.E1,703
f.jc.6x5.train.83,phi.startTime.E1,826
f.jc.6x5.train.84,phi.startTime.E1,935
f.jc.6x5.train.85,phi.startTime.E1,322
f.jc.6x5.train.86,phi.startTime.E1,360
f.jc.6x5.train.87,phi.startTime.E1,518
f.jc.6x5.train.88,phi.startTime.E1,712
f.jc.6x5.train.89,phi.startTime.E1,511
f.jc.6x5.train.90,phi.startTime.E1,640
f.jc.6x5.train.91,phi.startTime.E1,761
f.jc.6x5.train.92,phi.startTime.E1,863
f.jc.6x5.train.93,phi.startTime.E1,410
f.jc.6x5.train.94,phi.startTime.E1,507
f.jc.6x5.train.95,phi.startTime.E1,581
f.jc.6x5.train.96,phi.startTime.E1,603
f.jc.6x5.train.97,phi.startTime.E1,858
f.jc.6x5.train.98,phi.startTime.E1,707
f.jc.6x5.train.99,phi.startTime.E1,865
f.jc.6x5.train.100,phi.startTime.E1,1058
f.jc.6x5.train.101,phi.startTime.E1,369
f.jc.6x5.train.102,phi.startTime.E1,491
f.jc.6x5.train.103,phi.startTime.E1,556
f.jc.6x5.train.104,phi.startTime.E1,656
f.jc.6x5.train.105,phi.startTime.E1,713
f.jc.6x5.train.106,phi.startTime.E1,689
f.jc.6x5.train.107,phi.startTime.E1,919
f.jc.6x5.train.108,phi.startTime.E1,298
f.jc.6x5.train.109,phi.startTime.E1,478
f.jc.6x5.train.110,phi.startTime.E1,510
f.jc.6x5.train.111,phi.startTime.E1,547
f.jc.6x5.train.112,phi.startTime.E1,647
f.jc.6x5.train.113,phi.startTime.E1,735
f.jc.6x5.train.114,phi.startTime.E1,730
f.jc.6x5.train.115,phi.startTime.E1,861
f.jc.6x5.train.116,phi.startTime.E1,601
f.jc.6x5.train.117,phi.startTime.E1,436
