Name,CDR,Makespan
f.mc.6x5.train.1,phi.wait.E1,848
f.mc.6x5.train.2,phi.wait.E1,447
f.mc.6x5.train.3,phi.wait.E1,369
f.mc.6x5.train.4,phi.wait.E1,613
f.mc.6x5.train.5,phi.wait.E1,606
f.mc.6x5.train.6,phi.wait.E1,760
f.mc.6x5.train.7,phi.wait.E1,749
f.mc.6x5.train.8,phi.wait.E1,756
f.mc.6x5.train.9,phi.wait.E1,425
f.mc.6x5.train.10,phi.wait.E1,536
f.mc.6x5.train.11,phi.wait.E1,690
f.mc.6x5.train.12,phi.wait.E1,526
f.mc.6x5.train.13,phi.wait.E1,770
f.mc.6x5.train.14,phi.wait.E1,813
f.mc.6x5.train.15,phi.wait.E1,1059
f.mc.6x5.train.16,phi.wait.E1,719
f.mc.6x5.train.17,phi.wait.E1,435
f.mc.6x5.train.18,phi.wait.E1,490
f.mc.6x5.train.19,phi.wait.E1,617
f.mc.6x5.train.20,phi.wait.E1,724
f.mc.6x5.train.21,phi.wait.E1,641
f.mc.6x5.train.22,phi.wait.E1,784
f.mc.6x5.train.23,phi.wait.E1,796
f.mc.6x5.train.24,phi.wait.E1,998
f.mc.6x5.train.25,phi.wait.E1,256
f.mc.6x5.train.26,phi.wait.E1,472
f.mc.6x5.train.27,phi.wait.E1,519
f.mc.6x5.train.28,phi.wait.E1,677
f.mc.6x5.train.29,phi.wait.E1,734
f.mc.6x5.train.30,phi.wait.E1,961
f.mc.6x5.train.31,phi.wait.E1,895
f.mc.6x5.train.32,phi.wait.E1,439
f.mc.6x5.train.33,phi.wait.E1,506
f.mc.6x5.train.34,phi.wait.E1,572
f.mc.6x5.train.35,phi.wait.E1,708
f.mc.6x5.train.36,phi.wait.E1,741
f.mc.6x5.train.37,phi.wait.E1,742
f.mc.6x5.train.38,phi.wait.E1,826
f.mc.6x5.train.39,phi.wait.E1,823
f.mc.6x5.train.40,phi.wait.E1,235
f.mc.6x5.train.41,phi.wait.E1,527
f.mc.6x5.train.42,phi.wait.E1,494
f.mc.6x5.train.43,phi.wait.E1,624
f.mc.6x5.train.44,phi.wait.E1,709
f.mc.6x5.train.45,phi.wait.E1,733
f.mc.6x5.train.46,phi.wait.E1,829
f.mc.6x5.train.47,phi.wait.E1,400
f.mc.6x5.train.48,phi.wait.E1,408
f.mc.6x5.train.49,phi.wait.E1,523
f.mc.6x5.train.50,phi.wait.E1,595
f.mc.6x5.train.51,phi.wait.E1,634
f.mc.6x5.train.52,phi.wait.E1,918
f.mc.6x5.train.53,phi.wait.E1,781
f.mc.6x5.train.54,phi.wait.E1,879
f.mc.6x5.train.55,phi.wait.E1,466
f.mc.6x5.train.56,phi.wait.E1,560
f.mc.6x5.train.57,phi.wait.E1,641
f.mc.6x5.train.58,phi.wait.E1,585
f.mc.6x5.train.59,phi.wait.E1,606
f.mc.6x5.train.60,phi.wait.E1,774
f.mc.6x5.train.61,phi.wait.E1,945
