Problem,Track,Step,Followed,best.mu,worst.mu,mu
f.jc,SPT,1,FALSE,0.00702,1.27446,0.439764
f.jc,SPT,1,TRUE,0.19016,0.19016,0.19016
f.jc,SPT,2,FALSE,0.19016,1.26894,0.555412
f.jc,SPT,2,TRUE,0.20692,0.20692,0.20692
f.jc,SPT,3,FALSE,0.20692,1.3246,0.57902
f.jc,SPT,3,TRUE,0.31136,0.31136,0.31136
f.jc,SPT,4,FALSE,0.31136,1.39588,0.67388
f.jc,SPT,4,TRUE,0.3562,0.3562,0.3562
f.jc,SPT,5,FALSE,0.3562,1.40816,0.707092
f.jc,SPT,5,TRUE,0.38568,0.38568,0.38568
f.jc,SPT,6,FALSE,0.39394,1.4228,0.770211
f.jc,SPT,6,TRUE,0.56114,0.56114,0.56114
f.jc,SPT,7,FALSE,0.56114,1.47288,0.897499
f.jc,SPT,7,TRUE,0.59812,0.59812,0.59812
f.jc,SPT,8,FALSE,0.59812,1.57434,0.952288
f.jc,SPT,8,TRUE,0.85976,0.85976,0.85976
f.jc,SPT,9,FALSE,0.85976,1.78006,1.19793
f.jc,SPT,9,TRUE,0.93306,0.93306,0.93306
f.jc,SPT,10,FALSE,0.93306,1.79888,1.25681
f.jc,SPT,10,TRUE,0.9957,0.9957,0.9957
f.jc,SPT,11,FALSE,1.02688,1.80246,1.34781966666667
f.jc,SPT,11,TRUE,1.1721,1.1721,1.1721
f.jc,SPT,12,FALSE,1.1721,1.86126,1.45962533333333
f.jc,SPT,12,TRUE,1.19676,1.19676,1.19676
f.jc,SPT,13,FALSE,1.19676,1.89032,1.48619866666667
f.jc,SPT,13,TRUE,1.64466,1.64466,1.64466
f.jc,SPT,14,FALSE,1.64466,2.30448,1.92238966666667
f.jc,SPT,14,TRUE,1.65902,1.65902,1.65902
f.jc,SPT,15,FALSE,1.65902,2.35832,1.95064466666667
f.jc,SPT,15,TRUE,1.84066,1.84066,1.84066
f.jc,SPT,16,FALSE,1.92028,2.38904,2.14175833333333
f.jc,SPT,16,TRUE,2.02494,2.02494,2.02494
f.jc,SPT,17,FALSE,2.02516,2.44202,2.22622833333333
f.jc,SPT,17,TRUE,2.09644,2.09644,2.09644
f.jc,SPT,18,FALSE,2.09644,2.6768,2.383765
