Problem,Feature,Step,Track,mu
f.mc,phi.proc,1,SPT,-0.0495510204081633
f.mc,phi.proc,1,LPT,0.0495918367346939
f.mc,phi.proc,1,LWR,-0.0248979591836735
f.mc,phi.proc,1,MWR,0.0219591836734694
f.mc,phi.proc,1,RND,0.00359183673469388
f.mc,phi.proc,1,OPT,-0.0287755102040816
f.mc,phi.proc,2,SPT,-0.190734693877551
f.mc,phi.proc,2,LPT,0.184775510204082
f.mc,phi.proc,2,LWR,-0.0299183673469388
f.mc,phi.proc,2,MWR,0.0151836734693878
f.mc,phi.proc,2,RND,-0.00804081632653061
f.mc,phi.proc,2,OPT,-0.0247755102040816
f.mc,phi.proc,3,SPT,-0.134571428571429
f.mc,phi.proc,3,LPT,0.132
f.mc,phi.proc,3,LWR,-0.0277959183673469
f.mc,phi.proc,3,MWR,0.00820408163265306
f.mc,phi.proc,3,RND,0.00775510204081633
f.mc,phi.proc,3,OPT,-0.018530612244898
f.mc,phi.proc,4,SPT,-0.151673469387755
f.mc,phi.proc,4,LPT,0.14269387755102
f.mc,phi.proc,4,LWR,-0.0273469387755102
f.mc,phi.proc,4,MWR,-0.0026530612244898
f.mc,phi.proc,4,RND,-0.0141224489795918
f.mc,phi.proc,4,OPT,-0.0582040816326531
f.mc,phi.proc,5,SPT,-0.113020408163265
f.mc,phi.proc,5,LPT,0.102734693877551
f.mc,phi.proc,5,LWR,-0.0279591836734694
f.mc,phi.proc,5,MWR,-0.0149795918367347
f.mc,phi.proc,5,RND,-0.00959183673469388
f.mc,phi.proc,5,OPT,-0.0362040816326531
f.mc,phi.proc,6,SPT,-0.0921632653061225
f.mc,phi.proc,6,LPT,0.0837959183673469
f.mc,phi.proc,6,LWR,-0.0142857142857143
f.mc,phi.proc,6,MWR,-0.0122040816326531
f.mc,phi.proc,6,RND,-0.00240816326530612
f.mc,phi.proc,6,OPT,-0.0173061224489796
f.mc,phi.proc,7,SPT,0.0388163265306122
f.mc,phi.proc,7,LPT,-0.0315510204081633
f.mc,phi.proc,7,LWR,-0.0144897959183673
f.mc,phi.proc,7,MWR,0.0144489795918367
f.mc,phi.proc,7,RND,-0.00355102040816327
f.mc,phi.proc,7,OPT,-0.00861224489795919
