Problem,Feature,Step,Track,mu
f.rnd,phi.proc,1,OPT,-0.706076415528617
f.rnd,phi.proc,2,OPT,-0.397422126745435
f.rnd,phi.proc,3,OPT,-0.368344330213288
f.rnd,phi.proc,4,OPT,-0.14738376553629
f.rnd,phi.proc,5,OPT,-0.171704772134418
f.rnd,phi.proc,6,OPT,-0.200168789320239
f.rnd,phi.proc,7,OPT,-0.0909927880926807
f.rnd,phi.proc,8,OPT,-0.0173392665336811
f.rnd,phi.proc,9,OPT,-0.0553935860058309
f.rnd,phi.proc,10,OPT,-0.0421973300598435
f.rnd,phi.proc,11,OPT,-0.0253183980359061
f.rnd,phi.proc,12,OPT,0.0500230167254872
f.rnd,phi.proc,13,OPT,0.0755715820162652
f.rnd,phi.proc,14,OPT,0.00491023477059997
f.rnd,phi.proc,15,OPT,-0.0152677612398343
f.rnd,phi.proc,16,OPT,0.0318398035906092
f.rnd,phi.proc,17,OPT,0.0773361976369495
f.rnd,phi.proc,18,OPT,0.075801749271137
f.rnd,phi.proc,19,OPT,-0.014500537056928
f.rnd,phi.proc,20,OPT,0.129584164492865
f.rnd,phi.proc,21,OPT,0.0636028847629277
f.rnd,phi.proc,22,OPT,0.0300751879699248
f.rnd,phi.proc,23,OPT,0.0417369955500997
f.rnd,phi.proc,24,OPT,0.0241675617615467
f.rnd,phi.proc,25,OPT,0.107641552861746
f.rnd,phi.proc,26,OPT,0.0846248273745589
f.rnd,phi.proc,27,OPT,0.0504066288169403
f.rnd,phi.proc,28,OPT,0.0417369955500997
f.rnd,phi.proc,29,OPT,0.0827834893355839
f.rnd,phi.proc,30,OPT,0.0791008132576339
f.rnd,phi.proc,31,OPT,0.0775663648918214
f.rnd,phi.proc,32,OPT,0.147076875863127
f.rnd,phi.proc,33,OPT,0.114623292926193
f.rnd,phi.proc,34,OPT,0.024321006598128
f.rnd,phi.proc,35,OPT,0.0250115083627436
f.rnd,phi.proc,36,OPT,0.0844713825379776
f.rnd,phi.proc,37,OPT,0.114469848089612
f.rnd,phi.proc,38,OPT,0.104495933711831
f.rnd,phi.proc,39,OPT,0.0785637563295995
f.rnd,phi.proc,40,OPT,0.0693570661347246
f.rnd,phi.proc,41,OPT,0.142243363510818
f.rnd,phi.proc,42,OPT,0.026162344637103
f.rnd,phi.proc,43,OPT,0.0199478287555624
f.rnd,phi.proc,44,OPT,0.0579254258094215
f.rnd,phi.proc,45,OPT,0.0547030842412153
f.rnd,phi.proc,46,OPT,0.0943685744974682
f.rnd,phi.proc,47,OPT,0.0711216817554089
f.rnd,phi.proc,48,OPT,0.0616848243056621
f.rnd,phi.proc,49,OPT,0.0654442228019027
f.rnd,phi.proc,50,OPT,0.0837041583550713
f.rnd,phi.proc,51,OPT,0.0810188737148995
f.rnd,phi.proc,52,OPT,0.0667485039128433
f.rnd,phi.proc,53,OPT,0.0996624213595212
f.rnd,phi.proc,54,OPT,0.0492557925425809
