Problem,Step,Rank,Track,V1
f.rnd,1,f,OPT,5096
f.rnd,2,f,OPT,5330
f.rnd,3,f,OPT,5424
f.rnd,4,f,OPT,5574
f.rnd,5,f,OPT,5552
f.rnd,6,f,OPT,5544
f.rnd,7,f,OPT,5542
f.rnd,8,f,OPT,5484
f.rnd,9,f,OPT,5560
f.rnd,10,f,OPT,5558
f.rnd,11,f,OPT,5516
f.rnd,12,f,OPT,5396
f.rnd,13,f,OPT,5386
f.rnd,14,f,OPT,5320
f.rnd,15,f,OPT,5420
f.rnd,16,f,OPT,5364
f.rnd,17,f,OPT,5290
f.rnd,18,f,OPT,5378
f.rnd,19,f,OPT,5330
f.rnd,20,f,OPT,5284
f.rnd,21,f,OPT,5314
f.rnd,22,f,OPT,5248
f.rnd,23,f,OPT,5180
f.rnd,24,f,OPT,5000
f.rnd,25,f,OPT,5058
f.rnd,26,f,OPT,5006
f.rnd,27,f,OPT,4872
f.rnd,28,f,OPT,4856
f.rnd,29,f,OPT,4706
f.rnd,30,f,OPT,4756
f.rnd,31,f,OPT,4598
f.rnd,32,f,OPT,4470
f.rnd,33,f,OPT,4530
f.rnd,34,f,OPT,4476
f.rnd,35,f,OPT,4414
f.rnd,36,f,OPT,4414
f.rnd,37,f,OPT,4450
f.rnd,38,f,OPT,4258
f.rnd,39,f,OPT,4030
f.rnd,40,f,OPT,4030
f.rnd,41,f,OPT,4072
f.rnd,42,f,OPT,4096
f.rnd,43,f,OPT,4036
f.rnd,44,f,OPT,3796
f.rnd,45,f,OPT,3768
f.rnd,46,f,OPT,3620
f.rnd,47,f,OPT,3278
f.rnd,48,f,OPT,3108
f.rnd,49,f,OPT,3202
f.rnd,50,f,OPT,3070
f.rnd,51,f,OPT,3026
f.rnd,52,f,OPT,3070
f.rnd,53,f,OPT,3164
f.rnd,54,f,OPT,2900
f.rnd,55,f,OPT,2958
f.rnd,56,f,OPT,2642
f.rnd,57,f,OPT,2736
f.rnd,58,f,OPT,2818
f.rnd,59,f,OPT,2750
f.rnd,60,f,OPT,2546
f.rnd,61,f,OPT,2684
f.rnd,62,f,OPT,2552
f.rnd,63,f,OPT,2468
f.rnd,64,f,OPT,2442
f.rnd,65,f,OPT,2112
f.rnd,66,f,OPT,2356
f.rnd,67,f,OPT,2424
f.rnd,68,f,OPT,2572
f.rnd,69,f,OPT,2290
f.rnd,70,f,OPT,2208
f.rnd,71,f,OPT,2046
f.rnd,72,f,OPT,1918
f.rnd,73,f,OPT,1516
f.rnd,74,f,OPT,1908
f.rnd,75,f,OPT,1974
f.rnd,76,f,OPT,1836
f.rnd,77,f,OPT,1858
f.rnd,78,f,OPT,1618
f.rnd,79,f,OPT,1648
f.rnd,80,f,OPT,1256
f.rnd,81,f,OPT,1512
f.rnd,82,f,OPT,1450
f.rnd,83,f,OPT,1400
f.rnd,84,f,OPT,1300
f.rnd,85,f,OPT,1118
f.rnd,86,f,OPT,832
f.rnd,87,f,OPT,1166
f.rnd,88,f,OPT,1060
f.rnd,89,f,OPT,928
f.rnd,90,f,OPT,788
f.rnd,91,f,OPT,518
f.rnd,92,f,OPT,786
f.rnd,93,f,OPT,630
f.rnd,94,f,OPT,476
f.rnd,95,f,OPT,206
f.rnd,96,f,OPT,348
f.rnd,97,f,OPT,254
f.rnd,98,f,OPT,28
f.rnd,99,f,OPT,118
