Problem,Step,Rank,Track,V1
f.rndn,1,a,SPT,13406
f.rndn,1,a,LPT,13406
f.rndn,1,a,LWR,13406
f.rndn,1,a,MWR,13406
f.rndn,1,a,RND,13406
f.rndn,1,a,OPT,13406
f.rndn,1,a,CMA-ES,13406
f.rndn,2,a,SPT,11272
f.rndn,2,a,LPT,11260
f.rndn,2,a,LWR,12212
f.rndn,2,a,MWR,8930
f.rndn,2,a,RND,11502
f.rndn,2,a,OPT,11988
f.rndn,2,a,CMA-ES,11850
f.rndn,3,a,SPT,11498
f.rndn,3,a,LPT,9686
f.rndn,3,a,LWR,12212
f.rndn,3,a,MWR,8598
f.rndn,3,a,RND,10406
f.rndn,3,a,OPT,11582
f.rndn,3,a,CMA-ES,11840
f.rndn,4,a,SPT,10482
f.rndn,4,a,LPT,8306
f.rndn,4,a,LWR,12212
f.rndn,4,a,MWR,8826
f.rndn,4,a,RND,9328
f.rndn,4,a,OPT,10950
f.rndn,4,a,CMA-ES,10002
f.rndn,5,a,SPT,9586
f.rndn,5,a,LPT,7356
f.rndn,5,a,LWR,12212
f.rndn,5,a,MWR,9592
f.rndn,5,a,RND,8788
f.rndn,5,a,OPT,10292
f.rndn,5,a,CMA-ES,10986
f.rndn,6,a,SPT,8576
f.rndn,6,a,LPT,6474
f.rndn,6,a,LWR,8710
f.rndn,6,a,MWR,10012
f.rndn,6,a,RND,7680
f.rndn,6,a,OPT,9498
f.rndn,6,a,CMA-ES,10002
f.rndn,7,a,SPT,8000
f.rndn,7,a,LPT,5550
f.rndn,7,a,LWR,7622
f.rndn,7,a,MWR,11644
f.rndn,7,a,RND,7132
f.rndn,7,a,OPT,8942
f.rndn,7,a,CMA-ES,10360
f.rndn,8,a,SPT,7136
f.rndn,8,a,LPT,4882
f.rndn,8,a,LWR,7622
f.rndn,8,a,MWR,10276
f.rndn,8,a,RND,6422
f.rndn,8,a,OPT,8202
f.rndn,8,a,CMA-ES,10142
f.rndn,9,a,SPT,6544
f.rndn,9,a,LPT,4118
f.rndn,9,a,LWR,7622
f.rndn,9,a,MWR,9020
f.rndn,9,a,RND,5790
f.rndn,9,a,OPT,7832
f.rndn,9,a,CMA-ES,10002
f.rndn,10,a,SPT,5880
f.rndn,10,a,LPT,3522
f.rndn,10,a,LWR,7622
f.rndn,10,a,MWR,8038
f.rndn,10,a,RND,5312
f.rndn,10,a,OPT,7148
f.rndn,10,a,CMA-ES,8034
f.rndn,11,a,SPT,4802
f.rndn,11,a,LPT,3002
f.rndn,11,a,LWR,5104
f.rndn,11,a,MWR,7536
f.rndn,11,a,RND,5010
f.rndn,11,a,OPT,6640
f.rndn,11,a,CMA-ES,7290
f.rndn,12,a,SPT,4354
f.rndn,12,a,LPT,2420
f.rndn,12,a,LWR,4222
f.rndn,12,a,MWR,7494
f.rndn,12,a,RND,4554
f.rndn,12,a,OPT,6074
f.rndn,12,a,CMA-ES,6378
f.rndn,13,a,SPT,3844
f.rndn,13,a,LPT,1970
f.rndn,13,a,LWR,4222
f.rndn,13,a,MWR,9434
f.rndn,13,a,RND,4160
f.rndn,13,a,OPT,5600
f.rndn,13,a,CMA-ES,6768
f.rndn,14,a,SPT,3492
f.rndn,14,a,LPT,1712
f.rndn,14,a,LWR,4222
f.rndn,14,a,MWR,8158
f.rndn,14,a,RND,3766
f.rndn,14,a,OPT,5312
f.rndn,14,a,CMA-ES,5388
f.rndn,15,a,SPT,3022
f.rndn,15,a,LPT,1424
f.rndn,15,a,LWR,4222
f.rndn,15,a,MWR,7056
f.rndn,15,a,RND,3466
f.rndn,15,a,OPT,4998
f.rndn,15,a,CMA-ES,4130
f.rndn,16,a,SPT,2620
f.rndn,16,a,LPT,1202
f.rndn,16,a,LWR,2546
f.rndn,16,a,MWR,6496
f.rndn,16,a,RND,3100
f.rndn,16,a,OPT,4620
f.rndn,16,a,CMA-ES,2488
f.rndn,17,a,SPT,2200
f.rndn,17,a,LPT,916
f.rndn,17,a,LWR,1636
f.rndn,17,a,MWR,5832
f.rndn,17,a,RND,2840
f.rndn,17,a,OPT,4316
f.rndn,17,a,CMA-ES,1680
f.rndn,18,a,SPT,1716
f.rndn,18,a,LPT,796
f.rndn,18,a,LWR,1636
f.rndn,18,a,MWR,5758
f.rndn,18,a,RND,2422
f.rndn,18,a,OPT,3932
f.rndn,18,a,CMA-ES,1680
f.rndn,19,a,SPT,1404
f.rndn,19,a,LPT,590
f.rndn,19,a,LWR,1636
f.rndn,19,a,MWR,7894
f.rndn,19,a,RND,2130
