Problem,Step,Rank,Track,V1
f.rndn,1,b,SPT,6094
f.rndn,1,b,LPT,6094
f.rndn,1,b,LWR,6094
f.rndn,1,b,MWR,6094
f.rndn,1,b,RND,6094
f.rndn,1,b,OPT,6094
f.rndn,1,b,ES.rho,6094
f.rndn,1,b,ES.Cmax,6094
f.rndn,2,b,SPT,7840
f.rndn,2,b,LPT,7878
f.rndn,2,b,LWR,8134
f.rndn,2,b,MWR,6864
f.rndn,2,b,RND,8016
f.rndn,2,b,OPT,8108
f.rndn,2,b,ES.rho,7712
f.rndn,2,b,ES.Cmax,7712
f.rndn,3,b,SPT,7930
f.rndn,3,b,LPT,7694
f.rndn,3,b,LWR,8134
f.rndn,3,b,MWR,6968
f.rndn,3,b,RND,7808
f.rndn,3,b,OPT,8104
f.rndn,3,b,ES.rho,7712
f.rndn,3,b,ES.Cmax,7712
f.rndn,4,b,SPT,7742
f.rndn,4,b,LPT,6986
f.rndn,4,b,LWR,8134
f.rndn,4,b,MWR,7108
f.rndn,4,b,RND,7424
f.rndn,4,b,OPT,8240
f.rndn,4,b,ES.rho,6684
f.rndn,4,b,ES.Cmax,6684
f.rndn,5,b,SPT,7382
f.rndn,5,b,LPT,6420
f.rndn,5,b,LWR,8134
f.rndn,5,b,MWR,7370
f.rndn,5,b,RND,7162
f.rndn,5,b,OPT,8086
f.rndn,5,b,ES.rho,6698
f.rndn,5,b,ES.Cmax,7240
f.rndn,6,b,SPT,7046
f.rndn,6,b,LPT,5826
f.rndn,6,b,LWR,4632
f.rndn,6,b,MWR,7222
f.rndn,6,b,RND,6610
f.rndn,6,b,OPT,7718
f.rndn,6,b,ES.rho,6684
f.rndn,6,b,ES.Cmax,6684
f.rndn,7,b,SPT,6690
f.rndn,7,b,LPT,5072
f.rndn,7,b,LWR,5808
f.rndn,7,b,MWR,6624
f.rndn,7,b,RND,6256
f.rndn,7,b,OPT,7402
f.rndn,7,b,ES.rho,6950
f.rndn,7,b,ES.Cmax,7122
f.rndn,8,b,SPT,6098
f.rndn,8,b,LPT,4512
f.rndn,8,b,LWR,5808
f.rndn,8,b,MWR,7410
f.rndn,8,b,RND,5792
f.rndn,8,b,OPT,6940
f.rndn,8,b,ES.rho,6684
f.rndn,8,b,ES.Cmax,6684
f.rndn,9,b,SPT,5758
f.rndn,9,b,LPT,3868
f.rndn,9,b,LWR,5808
f.rndn,9,b,MWR,7214
f.rndn,9,b,RND,5270
f.rndn,9,b,OPT,6670
f.rndn,9,b,ES.rho,5958
f.rndn,9,b,ES.Cmax,7038
