Problem,Step,Rank,Track,V1
j.rnd,1,f,SPT,4772
j.rnd,1,f,LPT,4772
j.rnd,1,f,LWR,4772
j.rnd,1,f,MWR,4772
j.rnd,1,f,RND,4772
j.rnd,1,f,OPT,4772
j.rnd,1,f,CMA-ES,4772
j.rnd,2,f,SPT,4892
j.rnd,2,f,LPT,4524
j.rnd,2,f,LWR,4974
j.rnd,2,f,MWR,4488
j.rnd,2,f,RND,4872
j.rnd,2,f,OPT,4908
j.rnd,2,f,CMA-ES,4702
j.rnd,3,f,SPT,4936
j.rnd,3,f,LPT,4046
j.rnd,3,f,LWR,4768
j.rnd,3,f,MWR,4408
j.rnd,3,f,RND,4584
j.rnd,3,f,OPT,4876
j.rnd,3,f,CMA-ES,4876
j.rnd,4,f,SPT,5042
j.rnd,4,f,LPT,3610
j.rnd,4,f,LWR,4520
j.rnd,4,f,MWR,4460
j.rnd,4,f,RND,4550
j.rnd,4,f,OPT,4696
j.rnd,4,f,CMA-ES,4868
j.rnd,5,f,SPT,4944
j.rnd,5,f,LPT,3504
j.rnd,5,f,LWR,4516
j.rnd,5,f,MWR,4262
j.rnd,5,f,RND,4282
j.rnd,5,f,OPT,4688
j.rnd,5,f,CMA-ES,4954
j.rnd,6,f,SPT,5034
j.rnd,6,f,LPT,3326
j.rnd,6,f,LWR,2908
j.rnd,6,f,MWR,3952
j.rnd,6,f,RND,4228
j.rnd,6,f,OPT,4918
j.rnd,6,f,CMA-ES,4882
j.rnd,7,f,SPT,4838
j.rnd,7,f,LPT,3012
j.rnd,7,f,LWR,2914
j.rnd,7,f,MWR,3796
j.rnd,7,f,RND,4026
j.rnd,7,f,OPT,4900
j.rnd,7,f,CMA-ES,4934
j.rnd,8,f,SPT,4714
j.rnd,8,f,LPT,2878
j.rnd,8,f,LWR,2886
j.rnd,8,f,MWR,3800
j.rnd,8,f,RND,3978
j.rnd,8,f,OPT,4964
j.rnd,8,f,CMA-ES,4956
j.rnd,9,f,SPT,4450
j.rnd,9,f,LPT,2426
j.rnd,9,f,LWR,2892
j.rnd,9,f,MWR,3816
j.rnd,9,f,RND,3814
j.rnd,9,f,OPT,4872
j.rnd,9,f,CMA-ES,4878
j.rnd,10,f,SPT,4190
j.rnd,10,f,LPT,2106
j.rnd,10,f,LWR,2872
j.rnd,10,f,MWR,3768
j.rnd,10,f,RND,3754
j.rnd,10,f,OPT,4616
j.rnd,10,f,CMA-ES,4622
j.rnd,11,f,SPT,3886
j.rnd,11,f,LPT,1800
j.rnd,11,f,LWR,1472
j.rnd,11,f,MWR,3876
j.rnd,11,f,RND,3692
j.rnd,11,f,OPT,4608
j.rnd,11,f,CMA-ES,4608
j.rnd,12,f,SPT,3762
j.rnd,12,f,LPT,1622
j.rnd,12,f,LWR,1526
j.rnd,12,f,MWR,3766
j.rnd,12,f,RND,3606
j.rnd,12,f,OPT,4618
j.rnd,12,f,CMA-ES,4632
j.rnd,13,f,SPT,3360
j.rnd,13,f,LPT,1428
j.rnd,13,f,LWR,1488
j.rnd,13,f,MWR,3774
j.rnd,13,f,RND,3306
j.rnd,13,f,OPT,4672
j.rnd,13,f,CMA-ES,4530
j.rnd,14,f,SPT,3060
j.rnd,14,f,LPT,1260
j.rnd,14,f,LWR,1486
j.rnd,14,f,MWR,3798
j.rnd,14,f,RND,3138
j.rnd,14,f,OPT,4548
j.rnd,14,f,CMA-ES,4652
j.rnd,15,f,SPT,2750
j.rnd,15,f,LPT,1140
j.rnd,15,f,LWR,1520
j.rnd,15,f,MWR,3872
j.rnd,15,f,RND,2796
j.rnd,15,f,OPT,4448
j.rnd,15,f,CMA-ES,4652
j.rnd,16,f,SPT,2538
j.rnd,16,f,LPT,982
j.rnd,16,f,LWR,524
j.rnd,16,f,MWR,3664
j.rnd,16,f,RND,2846
j.rnd,16,f,OPT,4300
j.rnd,16,f,CMA-ES,4632
j.rnd,17,f,SPT,2254
j.rnd,17,f,LPT,894
j.rnd,17,f,LWR,572
j.rnd,17,f,MWR,3568
j.rnd,17,f,RND,2624
j.rnd,17,f,OPT,4262
j.rnd,17,f,CMA-ES,4614
j.rnd,18,f,SPT,1974
j.rnd,18,f,LPT,598
j.rnd,18,f,LWR,524
j.rnd,18,f,MWR,3648
j.rnd,18,f,RND,2352
j.rnd,18,f,OPT,4094
j.rnd,18,f,CMA-ES,4558
j.rnd,19,f,SPT,1708
j.rnd,19,f,LPT,560
j.rnd,19,f,LWR,680
j.rnd,19,f,MWR,3560
j.rnd,19,f,RND,2224
j.rnd,19,f,OPT,3950
j.rnd,19,f,CMA-ES,4552
j.rnd,20,f,SPT,1380
j.rnd,20,f,LPT,396
j.rnd,20,f,LWR,716
j.rnd,20,f,MWR,3424
j.rnd,20,f,RND,1896
j.rnd,20,f,OPT,3708
j.rnd,20,f,CMA-ES,4324
j.rnd,21,f,SPT,1182
j.rnd,21,f,LPT,356
j.rnd,21,f,LWR,86
j.rnd,21,f,MWR,3108
j.rnd,21,f,RND,1552
j.rnd,21,f,OPT,3308
j.rnd,21,f,CMA-ES,4146
j.rnd,22,f,SPT,840
j.rnd,22,f,LPT,298
j.rnd,22,f,LWR,116
j.rnd,22,f,MWR,2638
j.rnd,22,f,RND,1298
j.rnd,22,f,OPT,3090
j.rnd,22,f,CMA-ES,3956
j.rnd,23,f,SPT,624
j.rnd,23,f,LPT,186
j.rnd,23,f,LWR,136
j.rnd,23,f,MWR,2018
j.rnd,23,f,RND,1002
j.rnd,23,f,OPT,2702
j.rnd,23,f,CMA-ES,3562
j.rnd,24,f,SPT,466
j.rnd,24,f,LPT,146
j.rnd,24,f,LWR,168
j.rnd,24,f,MWR,1470
j.rnd,24,f,RND,716
j.rnd,24,f,OPT,2226
j.rnd,24,f,CMA-ES,3062
j.rnd,25,f,SPT,280
j.rnd,25,f,LPT,132
j.rnd,25,f,LWR,166
j.rnd,25,f,MWR,826
j.rnd,25,f,RND,476
j.rnd,25,f,OPT,1632
j.rnd,25,f,CMA-ES,2550
j.rnd,26,f,SPT,168
j.rnd,26,f,LPT,60
j.rnd,26,f,MWR,466
j.rnd,26,f,RND,284
j.rnd,26,f,OPT,1026
j.rnd,26,f,CMA-ES,1830
j.rnd,27,f,SPT,66
j.rnd,27,f,LPT,24
j.rnd,27,f,MWR,216
j.rnd,27,f,RND,160
j.rnd,27,f,OPT,512
j.rnd,27,f,CMA-ES,982
j.rnd,28,f,SPT,32
j.rnd,28,f,LPT,8
j.rnd,28,f,MWR,60
j.rnd,28,f,RND,92
j.rnd,28,f,OPT,160
j.rnd,28,f,CMA-ES,406
j.rnd,29,f,SPT,8
j.rnd,29,f,MWR,14
j.rnd,29,f,RND,16
j.rnd,29,f,OPT,36
j.rnd,29,f,CMA-ES,86
