Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,1,a,SPT,4578
j.rnd_p1mdoubled,1,a,LPT,4578
j.rnd_p1mdoubled,1,a,LWR,4578
j.rnd_p1mdoubled,1,a,MWR,4578
j.rnd_p1mdoubled,1,a,RND,4578
j.rnd_p1mdoubled,1,a,OPT,4578
j.rnd_p1mdoubled,1,a,CMA-ES,4578
j.rnd_p1mdoubled,2,a,SPT,4882
j.rnd_p1mdoubled,2,a,LPT,4058
j.rnd_p1mdoubled,2,a,LWR,5036
j.rnd_p1mdoubled,2,a,MWR,4554
j.rnd_p1mdoubled,2,a,RND,4744
j.rnd_p1mdoubled,2,a,OPT,5204
j.rnd_p1mdoubled,2,a,CMA-ES,4784
j.rnd_p1mdoubled,3,a,SPT,5030
j.rnd_p1mdoubled,3,a,LPT,3606
j.rnd_p1mdoubled,3,a,LWR,4710
j.rnd_p1mdoubled,3,a,MWR,3988
j.rnd_p1mdoubled,3,a,RND,4408
j.rnd_p1mdoubled,3,a,OPT,5430
j.rnd_p1mdoubled,3,a,CMA-ES,4704
j.rnd_p1mdoubled,4,a,SPT,5350
j.rnd_p1mdoubled,4,a,LPT,3232
j.rnd_p1mdoubled,4,a,LWR,4502
j.rnd_p1mdoubled,4,a,MWR,3846
j.rnd_p1mdoubled,4,a,RND,4200
j.rnd_p1mdoubled,4,a,OPT,5406
j.rnd_p1mdoubled,4,a,CMA-ES,4826
j.rnd_p1mdoubled,5,a,SPT,5710
j.rnd_p1mdoubled,5,a,LPT,2808
j.rnd_p1mdoubled,5,a,LWR,4278
j.rnd_p1mdoubled,5,a,MWR,3536
j.rnd_p1mdoubled,5,a,RND,3870
j.rnd_p1mdoubled,5,a,OPT,5490
j.rnd_p1mdoubled,5,a,CMA-ES,5132
j.rnd_p1mdoubled,6,a,SPT,5790
j.rnd_p1mdoubled,6,a,LPT,2608
j.rnd_p1mdoubled,6,a,LWR,2250
j.rnd_p1mdoubled,6,a,MWR,3376
j.rnd_p1mdoubled,6,a,RND,3508
j.rnd_p1mdoubled,6,a,OPT,5562
j.rnd_p1mdoubled,6,a,CMA-ES,4992
j.rnd_p1mdoubled,7,a,SPT,6002
j.rnd_p1mdoubled,7,a,LPT,2324
j.rnd_p1mdoubled,7,a,LWR,2362
j.rnd_p1mdoubled,7,a,MWR,3230
j.rnd_p1mdoubled,7,a,RND,3480
j.rnd_p1mdoubled,7,a,OPT,5666
j.rnd_p1mdoubled,7,a,CMA-ES,5008
j.rnd_p1mdoubled,8,a,SPT,6034
j.rnd_p1mdoubled,8,a,LPT,1898
j.rnd_p1mdoubled,8,a,LWR,2308
j.rnd_p1mdoubled,8,a,MWR,3138
j.rnd_p1mdoubled,8,a,RND,3440
j.rnd_p1mdoubled,8,a,OPT,5826
j.rnd_p1mdoubled,8,a,CMA-ES,4764
j.rnd_p1mdoubled,9,a,SPT,5970
j.rnd_p1mdoubled,9,a,LPT,1712
j.rnd_p1mdoubled,9,a,LWR,2392
j.rnd_p1mdoubled,9,a,MWR,2958
j.rnd_p1mdoubled,9,a,RND,3630
j.rnd_p1mdoubled,9,a,OPT,6012
j.rnd_p1mdoubled,9,a,CMA-ES,4576
j.rnd_p1mdoubled,10,a,SPT,6206
j.rnd_p1mdoubled,10,a,LPT,1500
j.rnd_p1mdoubled,10,a,LWR,2508
j.rnd_p1mdoubled,10,a,MWR,2940
j.rnd_p1mdoubled,10,a,RND,3464
j.rnd_p1mdoubled,10,a,OPT,6164
j.rnd_p1mdoubled,10,a,CMA-ES,4620
j.rnd_p1mdoubled,11,a,SPT,6066
j.rnd_p1mdoubled,11,a,LPT,1414
j.rnd_p1mdoubled,11,a,LWR,1062
j.rnd_p1mdoubled,11,a,MWR,3076
j.rnd_p1mdoubled,11,a,RND,3488
j.rnd_p1mdoubled,11,a,OPT,6208
j.rnd_p1mdoubled,11,a,CMA-ES,4696
j.rnd_p1mdoubled,12,a,SPT,5942
j.rnd_p1mdoubled,12,a,LPT,1144
j.rnd_p1mdoubled,12,a,LWR,1146
j.rnd_p1mdoubled,12,a,MWR,3062
