Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,1,b,SPT,3940
j.rnd_p1mdoubled,1,b,LPT,3940
j.rnd_p1mdoubled,1,b,LWR,3940
j.rnd_p1mdoubled,1,b,MWR,3940
j.rnd_p1mdoubled,1,b,RND,3940
j.rnd_p1mdoubled,1,b,OPT,3940
j.rnd_p1mdoubled,1,b,ES.rho,3940
j.rnd_p1mdoubled,1,b,ES.Cmax,3940
j.rnd_p1mdoubled,2,b,SPT,4260
j.rnd_p1mdoubled,2,b,LPT,3620
j.rnd_p1mdoubled,2,b,LWR,4394
j.rnd_p1mdoubled,2,b,MWR,4050
j.rnd_p1mdoubled,2,b,RND,4138
j.rnd_p1mdoubled,2,b,OPT,4474
j.rnd_p1mdoubled,2,b,ES.rho,3952
j.rnd_p1mdoubled,2,b,ES.Cmax,4150
j.rnd_p1mdoubled,3,b,SPT,4402
j.rnd_p1mdoubled,3,b,LPT,3196
j.rnd_p1mdoubled,3,b,LWR,4212
j.rnd_p1mdoubled,3,b,MWR,3598
j.rnd_p1mdoubled,3,b,RND,3942
j.rnd_p1mdoubled,3,b,OPT,4600
j.rnd_p1mdoubled,3,b,ES.rho,3588
j.rnd_p1mdoubled,3,b,ES.Cmax,4000
j.rnd_p1mdoubled,4,b,SPT,4696
j.rnd_p1mdoubled,4,b,LPT,2882
j.rnd_p1mdoubled,4,b,LWR,3978
j.rnd_p1mdoubled,4,b,MWR,3450
j.rnd_p1mdoubled,4,b,RND,3826
j.rnd_p1mdoubled,4,b,OPT,4528
j.rnd_p1mdoubled,4,b,ES.rho,3444
j.rnd_p1mdoubled,4,b,ES.Cmax,4072
j.rnd_p1mdoubled,5,b,SPT,5016
j.rnd_p1mdoubled,5,b,LPT,2580
j.rnd_p1mdoubled,5,b,LWR,3822
j.rnd_p1mdoubled,5,b,MWR,3246
j.rnd_p1mdoubled,5,b,RND,3556
j.rnd_p1mdoubled,5,b,OPT,4676
j.rnd_p1mdoubled,5,b,ES.rho,3442
j.rnd_p1mdoubled,5,b,ES.Cmax,4118
j.rnd_p1mdoubled,6,b,SPT,5060
j.rnd_p1mdoubled,6,b,LPT,2402
j.rnd_p1mdoubled,6,b,LWR,2060
j.rnd_p1mdoubled,6,b,MWR,3104
j.rnd_p1mdoubled,6,b,RND,3276
j.rnd_p1mdoubled,6,b,OPT,4720
j.rnd_p1mdoubled,6,b,ES.rho,3392
j.rnd_p1mdoubled,6,b,ES.Cmax,3876
j.rnd_p1mdoubled,7,b,SPT,5208
j.rnd_p1mdoubled,7,b,LPT,2152
j.rnd_p1mdoubled,7,b,LWR,2140
j.rnd_p1mdoubled,7,b,MWR,3018
j.rnd_p1mdoubled,7,b,RND,3242
j.rnd_p1mdoubled,7,b,OPT,4726
j.rnd_p1mdoubled,7,b,ES.rho,3260
j.rnd_p1mdoubled,7,b,ES.Cmax,3758
j.rnd_p1mdoubled,8,b,SPT,5244
j.rnd_p1mdoubled,8,b,LPT,1796
j.rnd_p1mdoubled,8,b,LWR,2124
j.rnd_p1mdoubled,8,b,MWR,2954
j.rnd_p1mdoubled,8,b,RND,3176
j.rnd_p1mdoubled,8,b,OPT,4898
j.rnd_p1mdoubled,8,b,ES.rho,3082
j.rnd_p1mdoubled,8,b,ES.Cmax,3634
j.rnd_p1mdoubled,9,b,SPT,5202
j.rnd_p1mdoubled,9,b,LPT,1628
j.rnd_p1mdoubled,9,b,LWR,2176
j.rnd_p1mdoubled,9,b,MWR,2776
j.rnd_p1mdoubled,9,b,RND,3298
j.rnd_p1mdoubled,9,b,OPT,5056
j.rnd_p1mdoubled,9,b,ES.rho,2910
j.rnd_p1mdoubled,9,b,ES.Cmax,3470
j.rnd_p1mdoubled,10,b,SPT,5356
j.rnd_p1mdoubled,10,b,LPT,1422
j.rnd_p1mdoubled,10,b,LWR,2284
j.rnd_p1mdoubled,10,b,MWR,2770
j.rnd_p1mdoubled,10,b,RND,3182
j.rnd_p1mdoubled,10,b,OPT,5156
j.rnd_p1mdoubled,10,b,ES.rho,2940
j.rnd_p1mdoubled,10,b,ES.Cmax,3494
j.rnd_p1mdoubled,11,b,SPT,5108
j.rnd_p1mdoubled,11,b,LPT,1350
j.rnd_p1mdoubled,11,b,LWR,996
j.rnd_p1mdoubled,11,b,MWR,2872
j.rnd_p1mdoubled,11,b,RND,3220
j.rnd_p1mdoubled,11,b,OPT,5206
j.rnd_p1mdoubled,11,b,ES.rho,3026
j.rnd_p1mdoubled,11,b,ES.Cmax,3440
j.rnd_p1mdoubled,12,b,SPT,5018
j.rnd_p1mdoubled,12,b,LPT,1078
j.rnd_p1mdoubled,12,b,LWR,1084
j.rnd_p1mdoubled,12,b,MWR,2842
j.rnd_p1mdoubled,12,b,RND,3036
j.rnd_p1mdoubled,12,b,OPT,4962
j.rnd_p1mdoubled,12,b,ES.rho,3168
j.rnd_p1mdoubled,12,b,ES.Cmax,3866
j.rnd_p1mdoubled,13,b,SPT,4608
j.rnd_p1mdoubled,13,b,LPT,1158
j.rnd_p1mdoubled,13,b,LWR,1136
j.rnd_p1mdoubled,13,b,MWR,2830
j.rnd_p1mdoubled,13,b,RND,2830
j.rnd_p1mdoubled,13,b,OPT,4936
j.rnd_p1mdoubled,13,b,ES.rho,3300
j.rnd_p1mdoubled,13,b,ES.Cmax,3868
j.rnd_p1mdoubled,14,b,SPT,4400
j.rnd_p1mdoubled,14,b,LPT,916
j.rnd_p1mdoubled,14,b,LWR,1114
j.rnd_p1mdoubled,14,b,MWR,2822
j.rnd_p1mdoubled,14,b,RND,2652
j.rnd_p1mdoubled,14,b,OPT,4988
j.rnd_p1mdoubled,14,b,ES.rho,3414
j.rnd_p1mdoubled,14,b,ES.Cmax,3964
j.rnd_p1mdoubled,15,b,SPT,4106
j.rnd_p1mdoubled,15,b,LPT,806
j.rnd_p1mdoubled,15,b,LWR,1218
j.rnd_p1mdoubled,15,b,MWR,2756
j.rnd_p1mdoubled,15,b,RND,2524
j.rnd_p1mdoubled,15,b,OPT,5012
j.rnd_p1mdoubled,15,b,ES.rho,3478
j.rnd_p1mdoubled,15,b,ES.Cmax,4136
j.rnd_p1mdoubled,16,b,SPT,3818
j.rnd_p1mdoubled,16,b,LPT,712
j.rnd_p1mdoubled,16,b,LWR,396
j.rnd_p1mdoubled,16,b,MWR,2804
j.rnd_p1mdoubled,16,b,RND,2210
j.rnd_p1mdoubled,16,b,OPT,4872
j.rnd_p1mdoubled,16,b,ES.rho,3550
j.rnd_p1mdoubled,16,b,ES.Cmax,4234
j.rnd_p1mdoubled,17,b,SPT,3470
j.rnd_p1mdoubled,17,b,LPT,692
j.rnd_p1mdoubled,17,b,LWR,396
j.rnd_p1mdoubled,17,b,MWR,2722
j.rnd_p1mdoubled,17,b,RND,2244
j.rnd_p1mdoubled,17,b,OPT,4676
j.rnd_p1mdoubled,17,b,ES.rho,3666
j.rnd_p1mdoubled,17,b,ES.Cmax,4264
j.rnd_p1mdoubled,18,b,SPT,3238
j.rnd_p1mdoubled,18,b,LPT,580
j.rnd_p1mdoubled,18,b,LWR,472
j.rnd_p1mdoubled,18,b,MWR,2480
j.rnd_p1mdoubled,18,b,RND,1910
j.rnd_p1mdoubled,18,b,OPT,4404
j.rnd_p1mdoubled,18,b,ES.rho,3720
j.rnd_p1mdoubled,18,b,ES.Cmax,4268
j.rnd_p1mdoubled,19,b,SPT,2894
j.rnd_p1mdoubled,19,b,LPT,472
j.rnd_p1mdoubled,19,b,LWR,516
j.rnd_p1mdoubled,19,b,MWR,2160
j.rnd_p1mdoubled,19,b,RND,1668
j.rnd_p1mdoubled,19,b,OPT,4196
j.rnd_p1mdoubled,19,b,ES.rho,3598
j.rnd_p1mdoubled,19,b,ES.Cmax,4096
j.rnd_p1mdoubled,20,b,SPT,2550
j.rnd_p1mdoubled,20,b,LPT,390
j.rnd_p1mdoubled,20,b,LWR,640
j.rnd_p1mdoubled,20,b,MWR,2030
j.rnd_p1mdoubled,20,b,RND,1472
j.rnd_p1mdoubled,20,b,OPT,3764
j.rnd_p1mdoubled,20,b,ES.rho,3294
j.rnd_p1mdoubled,20,b,ES.Cmax,3784
j.rnd_p1mdoubled,21,b,SPT,2252
j.rnd_p1mdoubled,21,b,LPT,306
j.rnd_p1mdoubled,21,b,LWR,58
j.rnd_p1mdoubled,21,b,MWR,1642
j.rnd_p1mdoubled,21,b,RND,1242
j.rnd_p1mdoubled,21,b,OPT,3460
j.rnd_p1mdoubled,21,b,ES.rho,2884
j.rnd_p1mdoubled,21,b,ES.Cmax,3216
j.rnd_p1mdoubled,22,b,SPT,1920
j.rnd_p1mdoubled,22,b,LPT,274
j.rnd_p1mdoubled,22,b,LWR,84
j.rnd_p1mdoubled,22,b,MWR,1426
j.rnd_p1mdoubled,22,b,RND,1106
j.rnd_p1mdoubled,22,b,OPT,2876
