Problem,Step,Rank,Track,V1
j.rnd_p1mdoubled,1,p,SPT,2810
j.rnd_p1mdoubled,1,p,LPT,2810
j.rnd_p1mdoubled,1,p,LWR,2810
j.rnd_p1mdoubled,1,p,MWR,2810
j.rnd_p1mdoubled,1,p,RND,2810
j.rnd_p1mdoubled,1,p,OPT,2810
j.rnd_p1mdoubled,1,p,CMA-ES,2810
j.rnd_p1mdoubled,2,p,SPT,3170
j.rnd_p1mdoubled,2,p,LPT,2610
j.rnd_p1mdoubled,2,p,LWR,3280
j.rnd_p1mdoubled,2,p,MWR,2970
j.rnd_p1mdoubled,2,p,RND,3040
j.rnd_p1mdoubled,2,p,OPT,3180
j.rnd_p1mdoubled,2,p,CMA-ES,3070
j.rnd_p1mdoubled,3,p,SPT,3330
j.rnd_p1mdoubled,3,p,LPT,2400
j.rnd_p1mdoubled,3,p,LWR,3160
j.rnd_p1mdoubled,3,p,MWR,2780
j.rnd_p1mdoubled,3,p,RND,3000
j.rnd_p1mdoubled,3,p,OPT,3300
j.rnd_p1mdoubled,3,p,CMA-ES,3230
j.rnd_p1mdoubled,4,p,SPT,3520
j.rnd_p1mdoubled,4,p,LPT,2210
j.rnd_p1mdoubled,4,p,LWR,2980
j.rnd_p1mdoubled,4,p,MWR,2690
j.rnd_p1mdoubled,4,p,RND,2930
j.rnd_p1mdoubled,4,p,OPT,3220
j.rnd_p1mdoubled,4,p,CMA-ES,3360
j.rnd_p1mdoubled,5,p,SPT,3740
j.rnd_p1mdoubled,5,p,LPT,2090
j.rnd_p1mdoubled,5,p,LWR,2840
j.rnd_p1mdoubled,5,p,MWR,2550
j.rnd_p1mdoubled,5,p,RND,2840
j.rnd_p1mdoubled,5,p,OPT,3290
j.rnd_p1mdoubled,5,p,CMA-ES,3460
j.rnd_p1mdoubled,6,p,SPT,3740
j.rnd_p1mdoubled,6,p,LPT,1868
j.rnd_p1mdoubled,6,p,LWR,1720
j.rnd_p1mdoubled,6,p,MWR,2500
j.rnd_p1mdoubled,6,p,RND,2650
j.rnd_p1mdoubled,6,p,OPT,3340
j.rnd_p1mdoubled,6,p,CMA-ES,3390
j.rnd_p1mdoubled,7,p,SPT,3856
j.rnd_p1mdoubled,7,p,LPT,1690
j.rnd_p1mdoubled,7,p,LWR,1808
j.rnd_p1mdoubled,7,p,MWR,2490
