Problem,Step,Rank,Track,V1
j.rndn,1,b,OPT,9706
j.rndn,2,b,OPT,9872
j.rndn,3,b,OPT,10148
j.rndn,4,b,OPT,10292
j.rndn,5,b,OPT,10294
j.rndn,6,b,OPT,10038
j.rndn,7,b,OPT,9954
j.rndn,8,b,OPT,10234
j.rndn,9,b,OPT,10514
j.rndn,10,b,OPT,10690
j.rndn,11,b,OPT,10602
j.rndn,12,b,OPT,10366
j.rndn,13,b,OPT,10268
j.rndn,14,b,OPT,10228
j.rndn,15,b,OPT,10204
j.rndn,16,b,OPT,10354
j.rndn,17,b,OPT,10466
j.rndn,18,b,OPT,10390
j.rndn,19,b,OPT,10418
j.rndn,20,b,OPT,10370
j.rndn,21,b,OPT,10366
j.rndn,22,b,OPT,10156
j.rndn,23,b,OPT,10170
j.rndn,24,b,OPT,10222
j.rndn,25,b,OPT,10354
j.rndn,26,b,OPT,10380
j.rndn,27,b,OPT,10274
j.rndn,28,b,OPT,10186
j.rndn,29,b,OPT,10152
j.rndn,30,b,OPT,10346
j.rndn,31,b,OPT,10682
j.rndn,32,b,OPT,10560
j.rndn,33,b,OPT,10464
j.rndn,34,b,OPT,10380
j.rndn,35,b,OPT,10126
j.rndn,36,b,OPT,9652
j.rndn,37,b,OPT,9560
j.rndn,38,b,OPT,9576
j.rndn,39,b,OPT,9548
j.rndn,40,b,OPT,9744
j.rndn,41,b,OPT,9554
j.rndn,42,b,OPT,9362
j.rndn,43,b,OPT,9178
j.rndn,44,b,OPT,9224
j.rndn,45,b,OPT,9352
j.rndn,46,b,OPT,9356
j.rndn,47,b,OPT,9172
j.rndn,48,b,OPT,9312
j.rndn,49,b,OPT,9568
j.rndn,50,b,OPT,9498
j.rndn,51,b,OPT,9364
j.rndn,52,b,OPT,9440
j.rndn,53,b,OPT,9450
j.rndn,54,b,OPT,9584
j.rndn,55,b,OPT,9638
j.rndn,56,b,OPT,9684
j.rndn,57,b,OPT,9582
j.rndn,58,b,OPT,9420
j.rndn,59,b,OPT,9324
j.rndn,60,b,OPT,9164
j.rndn,61,b,OPT,9256
j.rndn,62,b,OPT,9092
j.rndn,63,b,OPT,9062
j.rndn,64,b,OPT,9156
j.rndn,65,b,OPT,9180
j.rndn,66,b,OPT,9112
j.rndn,67,b,OPT,9124
j.rndn,68,b,OPT,9384
j.rndn,69,b,OPT,9390
j.rndn,70,b,OPT,9418
j.rndn,71,b,OPT,9358
j.rndn,72,b,OPT,9378
j.rndn,73,b,OPT,9196
j.rndn,74,b,OPT,9052
j.rndn,75,b,OPT,8690
j.rndn,76,b,OPT,8698
j.rndn,77,b,OPT,8620
j.rndn,78,b,OPT,8562
j.rndn,79,b,OPT,8248
j.rndn,80,b,OPT,8184
j.rndn,81,b,OPT,7656
j.rndn,82,b,OPT,7276
j.rndn,83,b,OPT,6678
j.rndn,84,b,OPT,6354
j.rndn,85,b,OPT,5986
j.rndn,86,b,OPT,5480
j.rndn,87,b,OPT,5132
j.rndn,88,b,OPT,4692
j.rndn,89,b,OPT,4314
j.rndn,90,b,OPT,3722
j.rndn,91,b,OPT,3174
j.rndn,92,b,OPT,2626
j.rndn,93,b,OPT,2056
j.rndn,94,b,OPT,1432
j.rndn,95,b,OPT,736
j.rndn,96,b,OPT,260
j.rndn,97,b,OPT,72
j.rndn,98,b,OPT,8
