PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
1,0,0,-7,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,0,0,7,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,0,1,-7,-1,-24,0,-24,0,0,-116,0,0,0,-24,-24,0,0,0,0,0,-116,0
1,0,1,7,1,24,0,24,0,0,116,0,0,0,24,24,0,0,0,0,0,116,0
1,0,0,-7,-1,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
1,0,0,7,1,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
1,0,0,-7,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,0,0,7,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,0,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,0,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,1,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,-33,0,0,0,0,0,-170,0
1,1,0,5,1,33,0,33,0,0,170,0,0,0,33,33,0,0,0,0,0,170,0
1,1,1,-5,-1,-24,0,-24,1,65,-116,-65,1,-1,-24,-24,0,-65,65,65,74,-181,0
1,1,1,5,1,24,0,24,-1,-65,116,65,-1,1,24,24,0,65,-65,-65,-74,181,0
1,1,0,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,-27,0,0,0,0,0,-135,0
1,1,0,5,1,27,0,27,0,0,135,0,0,0,27,27,0,0,0,0,0,135,0
1,1,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,1,0,5,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,1,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,1,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,2,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,-24,0,0,0,0,0,-170,0
1,2,0,5,1,33,0,33,0,0,170,0,0,0,33,24,0,0,0,0,0,170,0
1,2,1,-5,-1,-18,65,47,2,130,-116,-65,2,-1,47,47,0,-130,130,130,80,-246,0
1,2,1,5,1,18,-65,-47,-2,-130,116,65,-2,1,-47,-47,0,130,-130,-130,-80,246,0
1,2,0,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,-24,0,0,0,0,0,-135,0
1,2,0,5,1,27,0,27,0,0,135,0,0,0,27,24,0,0,0,0,0,135,0
1,2,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,-4,0,0,0,0,0,-19,0
1,2,0,5,1,4,0,4,0,0,19,0,0,0,4,4,0,0,0,0,0,19,0
1,2,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,2,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,3,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
1,3,0,5,1,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
1,3,1,-5,-1,-20,136,116,3,201,-116,-65,3,-1,116,69,0,-201,201,201,78,-317,0
1,3,1,5,1,20,-136,-116,-3,-201,116,65,-3,1,-116,-69,0,201,-201,-201,-78,317,0
1,3,0,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
1,3,0,5,1,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
1,3,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
1,3,0,5,1,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
1,3,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,3,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,4,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
1,4,0,5,1,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
1,4,1,-5,-1,-22,205,183,4,270,-116,-65,4,-1,183,67,0,-270,270,270,84,-386,0
1,4,1,5,1,22,-205,-183,-4,-270,116,65,-4,1,-183,-67,0,270,-270,-270,-84,386,0
1,4,0,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
1,4,0,5,1,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
1,4,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
1,4,0,5,1,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
1,4,0,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,4,0,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
1,5,0,-5,-1,-33,0,-33,0,0,-170,0,0,0,-33,0,0,0,0,0,0,-170,0
1,5,0,5,1,33,0,33,0,0,170,0,0,0,33,0,0,0,0,0,0,170,0
1,5,0,-5,-1,-27,0,-27,0,0,-135,0,0,0,-27,0,0,0,0,0,0,-135,0
1,5,0,5,1,27,0,27,0,0,135,0,0,0,27,0,0,0,0,0,0,135,0
1,5,0,-5,-1,-4,0,-4,0,0,-19,0,0,0,-4,0,0,0,0,0,0,-19,0
1,5,0,5,1,4,0,4,0,0,19,0,0,0,4,0,0,0,0,0,0,19,0
1,5,1,-7,-1,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,-8,0
1,5,1,7,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0
2,0,0,-1,-1,12,0,12,0,0,64,0,0,0,12,12,0,0,0,0,0,64,0
2,0,0,1,1,-12,0,-12,0,0,-64,0,0,0,-12,-12,0,0,0,0,0,-64,0
2,0,0,-1,-1,18,0,18,0,0,64,0,0,0,18,18,0,0,0,0,0,64,0
2,0,0,1,1,-18,0,-18,0,0,-64,0,0,0,-18,-18,0,0,0,0,0,-64,0
2,0,1,-1,-1,-17,0,-17,0,0,-79,0,0,0,-17,-17,0,0,0,0,0,-79,0
2,0,1,1,1,17,0,17,0,0,79,0,0,0,17,17,0,0,0,0,0,79,0
2,0,0,-1,-1,4,0,4,0,0,20,0,0,0,4,4,0,0,0,0,0,20,0
2,0,0,1,1,-4,0,-4,0,0,-20,0,0,0,-4,-4,0,0,0,0,0,-20,0
