PID,Step,Dispatch,Followed,ResultingOptMakespan,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,Rank
1,0,0.0.0,0,834,1,0,0,1,914,892,909,834,981,62,1143,842,2
1,0,1.0.0,1,820,0,1,1,0,911,820,909,831,937,69,1231,822,0
1,0,2.0.0,0,820,0,0,0,0,912,820,909,832,950,64,1150,820,0
1,0,3.0.0,0,827,0,0,0,0,1003,886,903,834,991,69,1218,881,1
1,0,4.0.0,0,820,0,0,0,0,912,820,909,832,943,56,1092,820,0
1,0,5.0.0,0,820,0,0,0,0,827,879,909,827,945,60,1116,851,0
1,1,0.0.56,0,831,1,0,0,1,911,892,909,831,961,62,1174,831,2
1,1,1.1.56,1,820,0,1,1,0,911,820,909,831,933,60,1088,820,0
1,1,2.0.56,0,820,0,0,0,0,909,820,909,829,922,60,1077,820,0
1,1,3.0.56,0,824,0,0,0,0,1000,886,903,831,955,62,1140,831,1
1,1,4.0.56,0,820,0,0,0,0,909,820,909,829,912,59,1070,820,0
1,1,5.0.56,0,820,0,0,0,0,824,879,909,824,923,56,1165,822,0
1,2,0.0.56,0,831,1,0,0,1,911,892,909,831,971,63,1170,862,2
1,2,1.2.112,1,820,0,1,1,0,911,820,909,831,939,61,1129,820,0
1,2,2.0.56,0,820,0,0,0,0,909,820,909,829,923,57,1085,821,0
1,2,3.0.56,0,824,0,0,0,0,1000,886,903,831,965,61,1180,859,1
1,2,4.0.56,0,820,0,0,0,0,909,820,909,829,921,66,1083,820,0
1,2,5.0.56,0,820,0,0,0,0,824,879,909,824,927,61,1083,822,0
1,3,0.0.56,0,831,1,0,0,1,911,892,909,831,962,66,1156,831,2
1,3,1.3.171,1,820,0,1,1,0,911,820,909,831,954,66,1171,820,0
1,3,2.0.56,0,820,0,0,0,0,909,820,909,829,927,60,1091,820,0
1,3,3.0.56,0,824,0,0,0,0,1000,886,903,831,970,68,1154,831,1
1,3,4.0.56,0,820,0,0,0,0,909,820,909,829,913,59,1074,820,0
1,3,5.0.56,0,820,0,0,0,0,824,879,909,824,935,60,1111,820,0
1,4,0.0.56,0,831,1,0,0,1,911,892,909,831,964,51,1124,831,2
1,4,1.4.224,1,820,0,1,1,0,911,820,909,831,942,68,1155,820,0
1,4,2.0.56,0,820,0,0,0,0,909,820,909,829,919,58,1088,820,0
1,4,3.0.56,0,824,0,0,0,0,1000,886,903,831,955,55,1078,831,1
1,4,4.0.56,0,820,0,0,0,0,909,820,909,829,919,61,1078,820,0
1,4,5.0.56,0,820,0,0,0,0,824,879,909,824,931,60,1078,820,0
1,5,0.0.56,0,831,1,0,0,1,911,892,909,831,966,63,1223,874,2
1,5,2.0.56,0,820,0,0,0,0,909,820,909,829,913,55,1086,820,0
1,5,3.0.56,0,824,0,0,0,0,1000,886,903,831,968,72,1246,857,1
1,5,4.0.56,1,820,0,1,1,0,909,820,909,829,916,56,1085,820,0
1,5,5.0.56,0,820,0,0,0,0,824,879,909,824,940,61,1097,820,0
1,6,0.0.118,0,829,1,0,0,1,909,892,909,829,932,50,1094,829,2
1,6,2.0.118,0,820,0,0,1,0,907,820,909,827,893,62,1098,820,0
