PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin
1,0,0.0.0,0,834,2,909,834,914,892,979,57,1126,871
1,0,1.0.0,1,820,0,820,831,911,820,932,63,1103,820
1,0,2.0.0,0,820,0,859,832,912,820,956,66,1133,820
1,0,3.0.0,0,827,1,903,834,1003,886,990,64,1132,833
1,0,4.0.0,0,820,0,850,832,912,820,939,56,1083,822
1,0,5.0.0,0,820,0,879,827,827,879,945,59,1103,822
1,1,0.0.56,0,831,2,909,831,911,892,968,62,1152,831
1,1,1.1.56,1,820,0,909,831,911,820,949,57,1090,820
1,1,2.0.56,0,820,0,909,829,909,820,928,61,1091,820
1,1,3.0.56,0,824,1,903,831,1000,886,963,55,1098,825
1,1,4.0.56,0,820,0,820,829,909,820,916,60,1070,820
1,1,5.0.56,0,820,0,879,824,824,879,931,62,1088,820
1,2,0.0.56,0,831,2,909,831,911,892,970,57,1103,851
1,2,1.2.112,1,820,0,909,831,911,820,936,58,1091,822
1,2,2.0.56,0,820,0,859,829,909,820,922,61,1181,820
1,2,3.0.56,0,824,1,903,831,1000,886,966,74,1172,831
1,2,4.0.56,0,820,0,820,829,909,820,910,57,1065,820
1,2,5.0.56,0,820,0,909,824,824,879,924,53,1046,822
1,3,0.0.56,0,831,2,909,831,911,892,967,59,1137,870
1,3,1.3.171,1,820,0,909,831,911,820,931,60,1149,820
1,3,2.0.56,0,820,0,859,829,909,820,924,57,1076,820
1,3,3.0.56,0,824,1,903,831,1000,886,968,66,1166,825
1,3,4.0.56,0,820,0,820,829,909,820,912,61,1178,820
1,3,5.0.56,0,820,0,879,824,824,879,930,54,1091,820
1,4,0.0.56,0,831,2,909,831,911,892,963,61,1154,859
1,4,1.4.224,1,820,0,909,831,911,820,949,69,1211,820
1,4,2.0.56,0,820,0,909,829,909,820,931,59,1090,820
1,4,3.0.56,0,824,1,903,831,1000,886,962,65,1153,825
1,4,4.0.56,0,820,0,820,829,909,820,917,65,1079,820
1,4,5.0.56,0,820,0,879,824,824,879,936,68,1167,820
1,5,0.0.56,0,831,2,909,831,911,892,958,57,1112,831
1,5,2.0.56,0,820,0,927,829,909,820,923,60,1098,820
1,5,3.0.56,0,824,1,903,831,1000,886,966,58,1133,832
1,5,4.0.56,1,820,0,909,829,909,820,907,58,1081,820
1,5,5.0.56,0,820,0,909,824,824,879,936,58,1133,820
1,6,0.0.118,0,829,2,909,829,909,892,941,52,1076,829
1,6,2.0.118,1,820,0,820,827,907,820,904,66,1181,820
1,6,3.0.118,0,823,1,903,829,998,886,935,53,1111,823
1,6,4.1.118,0,820,0,820,829,909,820,914,55,1089,820
1,6,5.0.118,0,820,0,879,822,822,879,901,49,1006,820
1,7,0.0.183,0,827,2,909,827,907,827,919,56,1090,827
1,7,2.1.183,1,820,0,909,827,907,820,888,63,1076,820
1,7,3.0.183,0,821,1,903,827,996,821,916,67,1169,821
1,7,4.1.118,0,820,0,820,827,907,820,891,59,1007,820
1,7,5.0.183,0,820,0,909,820,820,820,862,59,1000,820
1,8,0.0.183,0,827,2,909,827,907,827,915,50,1090,827
1,8,2.2.248,0,820,0,820,827,907,820,896,54,1078,820
1,8,3.0.183,0,821,1,903,827,996,821,899,60,1007,821
1,8,4.1.118,1,820,0,909,827,907,820,891,60,1007,820
1,8,5.0.183,0,820,0,820,820,820,820,859,51,1000,820
1,9,0.0.183,0,827,2,909,827,907,827,921,55,1090,827
1,9,2.2.248,0,820,0,909,827,907,820,894,63,1089,820
1,9,3.0.183,0,821,1,903,827,996,821,903,67,1089,821
1,9,4.2.183,1,820,0,820,827,907,820,899,69,1098,820
1,9,5.0.183,0,820,0,909,820,820,820,870,59,1000,820
1,10,0.0.183,0,827,2,909,827,907,827,912,52,1090,827
1,10,2.2.248,0,820,0,820,827,907,820,895,62,1181,820
1,10,3.0.183,0,821,1,903,827,996,821,901,65,1169,821
1,10,4.3.248,1,820,0,909,827,907,820,893,62,1007,820
1,10,5.0.183,0,820,0,820,820,820,820,860,56,1000,820
1,11,0.0.183,0,827,2,909,827,907,827,911,53,1090,827
1,11,2.2.248,0,820,0,909,827,907,820,893,68,1087,820
1,11,3.0.183,0,821,1,903,827,996,821,902,57,1090,821
1,11,4.4.310,1,820,0,820,827,907,820,887,63,1092,820
1,11,5.0.183,0,820,0,820,820,820,820,871,56,1000,820
1,12,0.0.183,0,827,2,909,827,907,827,911,53,1090,827
1,12,2.2.248,1,820,0,909,827,907,820,897,61,1089,820
1,12,3.0.183,0,821,1,903,827,996,821,910,57,1089,821
1,12,5.0.183,0,820,0,909,820,820,820,858,56,1000,820
1,13,0.0.183,0,827,2,909,827,907,827,911,51,1080,827
1,13,2.3.319,1,820,0,820,827,907,820,897,61,1098,820
1,13,3.0.183,0,821,1,903,827,996,821,904,60,1090,821
1,13,5.0.183,0,820,0,909,820,820,820,863,53,1000,820
1,14,0.0.183,0,827,2,909,827,907,827,912,57,1090,827
1,14,2.4.388,1,820,0,820,827,907,820,892,52,1075,820
1,14,3.0.183,0,821,1,903,827,996,821,903,53,1007,821
1,14,5.0.183,0,820,0,820,820,820,820,856,51,1000,820
1,15,0.0.183,0,827,2,909,827,907,827,916,56,1089,827
1,15,3.0.183,0,821,1,903,827,996,821,903,71,1181,821
1,15,5.0.183,1,820,0,909,820,820,820,860,55,1000,820
1,16,0.0.268,0,820,0,909,820,820,820,861,45,911,820
1,16,3.0.268,0,820,0,820,820,909,820,839,50,1000,820
1,16,5.1.268,1,820,0,909,820,820,820,848,45,1000,820
1,17,0.0.268,0,820,0,909,820,820,820,871,45,911,820
1,17,3.0.268,0,820,0,820,820,909,820,862,65,1000,820
1,17,5.2.351,1,820,0,820,820,820,820,854,55,1000,820
1,18,0.0.268,1,820,0,909,820,820,820,869,45,911,820
1,18,3.0.268,0,820,0,820,820,909,820,860,69,1000,820
1,18,5.3.434,0,820,0,820,820,820,820,852,50,1000,820
1,19,0.1.357,0,820,0,911,820,820,820,841,38,911,820
1,19,3.0.357,1,820,0,909,820,820,909,886,39,911,820
1,19,5.3.434,0,820,0,909,820,820,820,861,45,911,820
1,20,0.1.357,0,820,0,911,820,820,820,870,45,911,820
1,20,3.1.446,1,909,1,909,909,909,909,909,0,909,909
1,20,5.3.434,0,820,0,909,820,820,909,878,43,911,820
1,21,0.1.537,0,909,0,909,909,909,909,909,0,909,909
1,21,3.2.537,1,909,0,909,909,909,909,909,0,909,909
1,21,5.3.434,0,909,0,909,909,909,909,909,0,909,909
1,22,0.1.537,0,909,0,909,909,909,909,909,0,909,909
1,22,3.3.628,1,909,0,909,909,909,909,909,0,909,909
1,22,5.3.434,0,909,0,909,909,909,909,909,0,909,909
1,23,0.1.537,0,909,0,909,909,909,909,909,0,909,909
1,23,3.4.719,1,909,0,909,909,909,909,909,0,909,909
1,23,5.3.434,0,909,0,909,909,909,909,909,0,909,909
1,24,0.1.537,0,909,0,909,909,909,909,909,0,909,909
1,24,5.3.434,1,909,0,909,909,909,909,909,0,909,909
1,25,0.1.537,0,909,0,909,909,909,909,909,0,909,909
1,25,5.4.525,1,909,0,909,909,909,909,909,0,909,909
1,26,0.1.537,1,909,0,909,909,909,909,909,0,909,909
1,27,0.2.632,1,909,0,909,909,909,909,909,0,909,909
1,28,0.3.724,1,909,0,909,909,909,909,909,0,909,909
1,29,0.4.817,1,909,0,909,909,909,909,909,0,909,909
2,0,0.0.0,0,387,0,389,393,393,389,419,25,490,388
2,0,1.0.0,0,387,0,395,393,393,395,421,24,478,387
2,0,2.0.0,0,394,2,420,394,395,420,447,29,536,394
2,0,3.0.0,1,387,0,388,390,400,388,417,25,526,387
2,0,4.0.0,0,388,1,388,395,414,388,414,24,473,388
2,0,5.0.0,0,387,0,388,393,403,388,418,23,472,387
2,1,0.0.6,0,387,0,389,389,389,389,410,22,488,387
2,1,1.0.6,0,387,0,395,389,389,395,417,24,490,387
2,1,2.0.6,0,390,2,420,390,400,423,435,25,494,390
2,1,3.1.6,1,387,0,388,390,400,388,415,23,481,387
2,1,4.0.6,0,388,1,388,391,410,388,411,21,478,388
2,1,5.0.6,0,387,0,388,389,390,388,409,22,472,387
2,2,0.0.6,0,387,0,389,389,389,389,415,23,504,387
2,2,1.0.6,0,387,0,395,389,389,395,420,26,493,387
2,2,2.0.6,0,390,2,420,390,391,420,434,25,520,390
2,2,3.2.16,1,387,0,388,390,391,388,422,25,495,387
2,2,4.0.6,0,388,1,388,391,392,388,414,24,495,388
2,2,5.0.6,0,387,0,388,389,390,388,411,21,465,387
2,3,0.0.6,0,387,0,389,389,389,389,412,24,486,387
2,3,1.0.6,0,387,0,395,389,389,395,419,27,505,387
2,3,2.0.6,0,390,2,420,390,391,420,435,24,491,390
2,3,3.3.24,1,387,0,388,390,409,388,419,27,515,387
2,3,4.0.6,0,388,1,388,391,410,388,410,21,465,388
2,3,5.0.6,0,387,0,388,389,390,388,412,22,476,387
2,4,0.0.6,0,387,0,389,389,389,389,411,22,478,387
2,4,1.0.6,0,387,0,395,389,389,395,418,26,478,387
2,4,2.0.6,0,390,2,420,390,391,423,435,25,512,390
2,4,3.4.28,1,387,0,388,390,409,388,419,24,477,387
2,4,4.0.6,0,388,1,388,391,401,388,415,24,496,388
2,4,5.0.6,0,387,0,388,389,399,388,411,23,493,387
2,5,0.0.6,0,387,0,389,389,389,389,418,25,488,387
2,5,1.0.6,0,387,0,395,389,389,395,419,27,510,387
2,5,2.0.6,0,390,2,420,390,409,420,436,26,519,390
2,5,4.0.6,1,388,1,388,391,410,388,407,22,468,388
2,5,5.0.6,0,387,0,388,389,408,388,410,22,469,387
2,6,0.0.29,0,388,0,389,390,390,389,403,17,458,388
2,6,1.0.29,0,388,0,395,390,390,395,414,24,470,388
2,6,2.0.29,0,391,1,420,391,392,420,427,24,503,391
2,6,4.1.29,1,388,0,388,391,392,388,411,20,465,388
2,6,5.0.29,0,388,0,388,390,409,388,402,18,452,388
2,7,0.0.29,0,388,0,389,390,390,389,405,20,465,388
2,7,1.0.29,0,388,0,395,390,390,395,409,20,457,388
2,7,2.0.29,0,391,1,420,391,410,420,429,23,482,391
2,7,4.2.53,1,388,0,388,391,410,388,415,23,466,388
2,7,5.0.29,0,388,0,388,390,409,388,404,18,457,388
2,8,0.0.29,0,388,0,389,390,390,389,408,20,496,388
2,8,1.0.29,0,388,0,395,390,390,395,411,23,498,388
2,8,2.0.29,0,391,1,420,391,401,423,427,25,494,391
2,8,4.3.76,1,388,0,388,391,410,388,411,24,473,388
2,8,5.0.29,0,388,0,388,390,391,388,404,20,461,388
2,9,0.0.29,0,388,0,389,390,390,389,409,19,462,388
2,9,1.0.29,0,388,0,395,390,390,395,410,23,465,388
2,9,2.0.29,0,391,1,420,391,401,423,427,20,487,391
2,9,4.4.101,1,388,0,388,391,401,388,414,24,495,388
2,9,5.0.29,0,388,0,388,390,400,388,405,21,461,388
2,10,0.0.29,0,388,0,389,390,390,389,408,20,462,388
2,10,1.0.29,0,388,0,395,390,390,395,408,23,497,388
2,10,2.0.29,0,391,1,420,391,410,423,428,23,502,391
2,10,5.0.29,1,388,0,388,390,391,388,404,20,457,388
2,11,0.0.56,0,388,0,388,389,389,388,394,11,420,388
2,11,1.0.56,0,388,0,388,389,389,388,401,17,428,388
2,11,2.0.56,0,390,1,420,390,409,420,414,19,457,390
2,11,5.1.56,1,388,0,388,390,391,388,401,19,461,388
2,12,0.0.56,0,388,0,388,389,389,388,395,12,420,388
2,12,1.0.56,0,388,0,388,389,389,388,395,14,428,388
2,12,2.0.56,0,390,1,420,390,400,420,413,19,455,390
2,12,5.2.83,1,388,0,388,390,400,388,407,21,458,388
2,13,0.0.56,0,388,0,388,389,389,388,396,13,430,388
2,13,1.0.56,0,388,0,388,389,389,388,399,16,428,388
2,13,2.0.56,0,390,1,420,390,391,423,416,20,459,390
2,13,5.3.111,1,388,0,388,390,409,388,403,19,459,388
2,14,0.0.56,0,388,0,388,389,389,388,397,13,430,388
2,14,1.0.56,0,388,0,388,389,389,388,397,15,428,388
2,14,2.0.56,0,390,1,420,390,391,420,415,19,460,390
2,14,5.4.138,1,388,0,388,390,409,388,403,18,458,388
2,15,0.0.56,1,388,0,388,389,389,388,397,13,421,388
2,15,1.0.56,0,388,0,388,389,389,388,397,16,428,388
2,15,2.0.56,0,390,1,420,390,391,420,412,18,456,390
2,16,0.1.91,1,388,0,388,389,389,388,395,13,430,388
