PID,Step,Dispatch,Followed,ResultingOptMakespan,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,Rank
1,0,0.0.0,0,828,0,1,0,0,828,848,836,923,877,39,929,828,1
1,0,1.0.0,1,834,0,0,0,1,836,848,848,921,892,39,1008,834,3
1,0,2.0.0,0,826,0,0,1,0,908,848,836,921,892,38,1001,828,0
1,0,3.0.0,0,829,0,0,0,0,829,848,836,921,900,36,1011,829,2
1,0,4.0.0,0,826,0,0,0,0,828,848,836,921,889,39,997,828,0
1,0,5.0.0,0,826,1,0,0,0,828,833,911,833,903,32,997,828,0
1,1,0.0.97,0,838,0,0,0,0,839,848,848,923,879,39,929,838,1
1,1,1.1.97,0,834,0,1,1,0,836,848,848,921,897,40,1014,834,0
1,1,2.0.97,0,834,0,0,0,0,836,848,848,921,892,39,1006,834,0
1,1,3.0.97,0,841,0,0,0,0,841,848,848,921,889,39,935,841,2
1,1,4.0.97,0,834,0,0,0,0,836,848,848,921,898,36,935,834,0
1,1,5.0.97,1,834,1,0,0,1,836,835,923,921,918,15,1013,835,0
1,2,0.0.190,1,835,0,0,0,1,916,915,923,921,917,12,929,835,1
1,2,1.1.97,0,834,0,1,1,0,836,835,923,921,918,15,1007,835,0
1,2,2.0.190,0,834,0,0,0,0,913,916,923,921,915,14,929,834,0
1,2,3.0.190,0,834,0,0,0,0,916,917,926,921,918,23,1012,835,0
1,2,4.0.190,0,834,1,0,0,0,836,916,923,921,918,21,1007,834,0
1,2,5.1.190,0,834,0,0,0,0,836,835,923,921,916,26,1015,834,0
1,3,0.1.282,0,835,0,0,1,0,916,915,923,923,915,20,929,835,0
1,3,1.1.97,0,835,0,1,0,0,916,915,923,921,918,9,929,835,0
1,3,2.0.282,0,835,0,0,0,0,916,919,923,921,918,12,929,835,0
1,3,3.0.282,1,835,0,0,0,1,919,920,929,921,919,12,929,835,0
1,3,4.0.282,0,835,1,0,0,0,916,919,923,921,917,12,929,835,0
1,3,5.1.190,0,835,0,0,0,0,916,835,923,921,916,14,929,835,0
1,4,0.1.282,0,835,0,0,1,0,919,920,929,923,918,15,929,835,0
1,4,1.1.97,0,835,0,1,0,0,919,920,929,921,921,9,929,835,0
1,4,2.0.374,0,835,0,0,0,0,919,926,929,921,922,9,929,835,0
1,4,3.1.374,0,835,0,0,0,0,919,920,929,921,920,12,929,835,0
1,4,4.0.374,1,835,1,0,0,1,919,926,929,921,920,12,929,835,0
1,4,5.1.190,0,835,0,0,0,0,919,835,929,921,917,19,929,835,0
1,5,0.1.282,0,835,0,0,1,0,919,926,929,923,920,12,929,835,0
1,5,1.1.97,0,835,0,1,0,0,919,926,929,921,919,12,929,835,0
1,5,2.0.464,1,835,1,0,0,1,919,929,929,921,921,9,929,835,0
1,5,3.1.374,0,835,0,0,0,0,919,926,929,921,919,15,929,835,0
