PID,Step,Dispatch,Followed,ResultingOptMakespan,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,Rank
1,0,0.0.0,0,828,0,1,0,0,828,848,836,923,882,38,929,828,1
1,0,1.0.0,0,834,0,0,0,1,836,848,848,921,894,37,935,834,3
1,0,2.0.0,1,826,0,0,1,0,908,848,836,921,891,39,996,826,0
1,0,3.0.0,0,829,0,0,0,0,829,848,836,921,890,39,935,829,2
1,0,4.0.0,0,826,0,0,0,0,828,848,836,921,882,40,997,828,0
1,0,5.0.0,0,826,1,0,0,0,828,833,911,833,902,33,1011,828,0
1,1,0.0.89,0,828,0,0,0,0,828,902,902,838,894,42,1006,828,1
1,1,1.0.89,0,834,0,0,0,1,836,848,848,921,885,38,935,834,3
1,1,2.1.89,1,826,0,1,1,0,908,848,836,921,879,39,935,828,0
1,1,3.0.89,0,829,0,0,0,0,917,848,836,921,879,39,933,829,2
1,1,4.0.89,0,826,0,0,0,0,908,848,836,915,878,38,935,828,0
1,1,5.0.89,0,826,1,0,0,0,908,833,911,833,900,31,929,828,0
1,2,0.0.89,0,828,0,0,0,0,828,848,902,838,889,42,1007,828,1
1,2,1.0.89,0,834,0,0,0,1,836,848,848,921,880,39,929,835,3
1,2,2.2.149,1,826,0,1,1,0,908,848,836,921,881,39,935,828,0
1,2,3.0.89,0,829,0,0,0,0,917,848,836,921,874,39,935,829,2
1,2,4.0.89,0,826,0,0,0,0,908,848,836,915,878,40,997,826,0
1,2,5.0.89,0,826,1,0,0,0,908,833,911,833,905,27,929,828,0
1,3,0.0.89,0,828,0,0,0,0,828,848,902,838,881,38,935,828,1
1,3,1.0.89,0,834,0,0,0,1,836,848,848,921,886,38,935,834,3
1,3,2.3.216,1,826,0,1,1,0,908,848,836,921,883,39,935,828,0
1,3,3.0.89,0,829,0,0,0,0,917,848,836,921,882,39,929,829,2
1,3,4.0.89,0,826,0,0,0,0,908,848,836,915,882,38,935,826,0
1,3,5.0.89,0,826,1,0,0,0,908,833,911,833,899,33,926,826,0
1,4,0.0.89,0,828,0,0,0,0,828,848,836,838,873,37,929,828,1
1,4,1.0.89,0,834,0,0,0,1,836,848,848,921,888,38,935,834,3
1,4,2.4.305,1,826,0,1,1,0,908,848,836,921,884,37,929,826,0
1,4,3.0.89,0,829,0,0,0,0,917,848,836,921,877,38,935,829,2
1,4,4.0.89,0,826,0,0,0,0,908,848,836,915,880,38,933,826,0
1,4,5.0.89,0,826,1,0,0,0,908,833,911,833,898,31,929,826,0
1,5,0.0.89,0,828,0,1,0,0,828,848,836,838,875,37,929,828,1
1,5,1.0.89,0,834,0,0,0,1,836,848,848,921,885,39,935,834,3
1,5,3.0.89,0,829,0,0,0,0,917,848,836,921,879,38,935,829,2
