PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,0,-1,-4,0,79,-15,73,-4,15,-2,6,-3,0,1,1,0
0,0,1,4,0,-79,15,-73,4,-15,2,-6,3,0,1,1,0
0,0,-1,-4,0,-4,-15,73,-4,24,1,18,0,0,1,1,0
0,0,1,4,0,4,15,-73,4,-24,-1,-18,0,0,1,1,0
0,0,-1,-4,0,-4,-15,73,-4,33,-5,-3,-3,0,1,1,0
0,0,1,4,0,4,15,-73,4,-33,5,3,3,0,1,1,0
0,0,-1,-4,0,79,-15,26,-4,14,-2,6,0,0,1,1,0
0,0,1,4,0,-79,15,-26,4,-14,2,-6,0,0,1,1,0
0,0,-1,-1,1,-84,0,0,-1,10,2,7,3,1,0,0,1
0,0,1,1,1,84,0,0,1,-10,-2,-7,-3,1,0,0,1
0,1,-1,-4,0,79,-15,73,-4,19,-12,-5,-4,0,1,1,0
0,1,1,4,0,-79,15,-73,4,-19,12,5,4,0,1,1,0
0,1,-1,-4,0,-4,-15,73,-4,12,-10,-2,-5,0,1,1,0
0,1,1,4,0,4,15,-73,4,-12,10,2,5,0,1,1,0
0,1,-1,-4,0,-4,-15,73,-4,25,-10,77,-4,0,1,1,0
0,1,1,4,0,4,15,-73,4,-25,10,-77,4,0,1,1,0
0,1,-1,-4,0,79,-15,73,-4,18,-13,-3,-4,0,1,1,0
0,1,1,4,0,-79,15,-73,4,-18,13,3,4,0,1,1,0
0,1,-1,-4,1,79,0,0,-4,9,-2,-3,-4,1,0,0,1
0,1,1,4,1,-79,0,0,4,-9,2,3,4,1,0,0,1
0,2,-1,-4,0,79,-15,73,-4,24,-1,3,-4,0,1,1,0
0,2,1,4,0,-79,15,-73,4,-24,1,-3,4,0,1,1,0
0,2,-1,-4,0,-4,-15,73,-4,20,-3,5,-4,0,1,1,0
0,2,1,4,0,4,15,-73,4,-20,3,-5,4,0,1,1,0
0,2,-1,-4,0,-4,-15,73,-4,39,0,84,-8,0,1,1,0
0,2,1,4,0,4,15,-73,4,-39,0,-84,8,0,1,1,0
0,2,-1,-4,0,79,-15,73,-4,26,-2,6,-8,0,1,1,0
0,2,1,4,0,-79,15,-73,4,-26,2,-6,8,0,1,1,0
0,2,-1,-4,1,79,0,0,-4,11,5,-2,-1,1,0,0,1
0,2,1,4,1,-79,0,0,4,-11,-5,2,1,1,0,0,1
0,3,-1,-4,0,79,-15,73,-4,21,-6,5,-4,0,1,1,0
0,3,1,4,0,-79,15,-73,4,-21,6,-5,4,0,1,1,0
0,3,-1,-4,0,-4,-15,73,-4,24,-2,8,-5,0,1,1,0
0,3,1,4,0,4,15,-73,4,-24,2,-8,5,0,1,1,0
0,3,-1,-4,0,-4,-15,73,-4,30,-1,85,-4,0,1,1,0
0,3,1,4,0,4,15,-73,4,-30,1,-85,4,0,1,1,0
0,3,-1,-4,0,79,-15,73,-4,16,1,10,-4,0,1,1,0
0,3,1,4,0,-79,15,-73,4,-16,-1,-10,4,0,1,1,0
0,3,-1,-4,1,79,0,0,-4,3,-7,-7,-4,1,0,0,1
0,3,1,4,1,-79,0,0,4,-3,7,7,4,1,0,0,1
0,4,-1,-4,0,79,-15,73,-4,22,-8,2,-5,0,1,1,0
0,4,1,4,0,-79,15,-73,4,-22,8,-2,5,0,1,1,0
0,4,-1,-4,0,-4,-15,73,-4,15,-6,-5,-4,0,1,1,0
0,4,1,4,0,4,15,-73,4,-15,6,5,4,0,1,1,0
0,4,-1,-4,0,-4,-15,73,-4,29,-7,77,-4,0,1,1,0
0,4,1,4,0,4,15,-73,4,-29,7,-77,4,0,1,1,0
0,4,-1,-4,0,79,-15,73,-4,19,-6,-3,-4,0,1,1,0
0,4,1,4,0,-79,15,-73,4,-19,6,3,4,0,1,1,0
0,4,-1,-4,1,79,0,0,-4,10,-3,5,-2,1,0,0,1
0,4,1,4,1,-79,0,0,4,-10,3,-5,2,1,0,0,1
0,5,-1,-4,0,79,-15,73,-4,21,-6,72,-4,0,1,1,0
0,5,1,4,0,-79,15,-73,4,-21,6,-72,4,0,1,1,0
0,5,-1,-4,0,-4,-15,73,-4,19,-8,0,-4,0,1,1,0
0,5,1,4,0,4,15,-73,4,-19,8,0,4,0,1,1,0
0,5,-1,-4,1,-4,-15,73,-4,31,-6,79,-4,0,0,0,0
0,5,1,4,1,4,15,-73,4,-31,6,-79,4,0,0,0,0
0,5,-1,-4,0,79,-15,73,-4,19,-7,-1,-4,0,1,1,0
0,5,1,4,0,-79,15,-73,4,-19,7,1,4,0,1,1,0
0,6,-1,-4,0,79,-14,73,-4,36,-8,0,-4,0,1,1,0
0,6,1,4,0,-79,14,-73,4,-36,8,0,4,0,1,1,0
0,6,-1,-4,0,79,-14,73,-4,35,-7,1,-4,0,1,1,0
0,6,1,4,0,-79,14,-73,4,-35,7,-1,4,0,1,1,0
0,6,-1,-4,1,79,0,0,-4,11,2,0,-4,1,0,0,1
0,6,1,4,1,-79,0,0,4,-11,-2,0,4,1,0,0,1
0,6,-1,-1,0,-84,0,0,-1,-1,0,0,-1,1,1,1,1
0,6,1,1,0,84,0,0,1,1,0,0,1,1,1,1,1
0,7,-1,-4,0,79,-14,73,-4,34,-16,0,-4,0,1,1,0
0,7,1,4,0,-79,14,-73,4,-34,16,0,4,0,1,1,0
0,7,-1,-4,0,79,-14,73,-4,45,-13,1,-4,0,1,1,0
0,7,1,4,0,-79,14,-73,4,-45,13,-1,4,0,1,1,0
0,7,-1,-4,1,79,0,0,-4,3,0,0,-3,1,0,0,1
0,7,1,4,1,-79,0,0,4,-3,0,0,3,1,0,0,1
0,7,-1,-1,0,-84,0,0,-1,12,2,0,-1,1,1,1,1
