PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,0,-1,-4,1,79,-15,73,-4,20,8,13,-8,0,1,1,0
0,0,1,4,1,-79,15,-73,4,-20,-8,-13,8,0,1,1,0
0,0,-1,-4,1,-4,-15,73,-4,15,-1,5,-7,0,1,1,0
0,0,1,4,1,4,15,-73,4,-15,1,-5,7,0,1,1,0
0,0,-1,-4,1,-4,-15,73,-4,33,2,80,-4,0,1,1,0
0,0,1,4,1,4,15,-73,4,-33,-2,-80,4,0,1,1,0
0,0,-1,-4,1,79,-15,26,-4,21,3,10,-4,0,1,1,0
0,0,1,4,1,-79,15,-26,4,-21,-3,-10,4,0,1,1,0
0,0,-1,-1,0,-84,0,0,-1,10,-7,-12,0,1,0,0,1
0,0,1,1,0,84,0,0,1,-10,7,12,0,1,0,0,1
0,1,-1,-1,0,-85,12,-2,-85,17,15,2,2,1,1,1,0
0,1,1,1,0,85,-12,2,85,-17,-15,-2,-2,1,1,1,0
0,1,-1,-1,0,-2,-64,0,-85,6,7,1,2,1,0,0,1
0,1,1,1,0,2,64,0,85,-6,-7,-1,-2,1,0,0,1
0,1,-1,-1,0,1,10,0,2,13,23,-1,-1,1,1,1,1
0,1,1,1,0,-1,-10,0,-2,-13,-23,1,1,1,1,1,1
0,1,-1,-1,0,1,3,0,1,9,12,1,2,1,1,1,1
0,1,1,1,0,-1,-3,0,-1,-9,-12,-1,-2,1,1,1,1
0,1,-1,-1,1,-2,13,-24,-2,14,17,-1,-1,0,1,1,1
0,1,1,1,1,2,-13,24,2,-14,-17,1,1,0,1,1,1
0,2,-1,-1,1,-2,15,28,-2,27,14,1,-2,0,1,1,0
0,2,1,1,1,2,-15,-28,2,-27,-14,-1,2,0,1,1,0
0,2,-1,-1,0,-2,-65,0,-2,3,10,-5,-3,1,1,1,1
0,2,1,1,0,2,65,0,2,-3,-10,5,3,1,1,1,1
0,2,-1,-1,0,1,14,30,1,21,13,5,-1,1,1,1,1
0,2,1,1,0,-1,-14,-30,-1,-21,-13,-5,1,1,1,1,1
0,2,-1,-1,0,1,3,4,1,7,9,2,-3,1,1,1,1
0,2,1,1,0,-1,-3,-4,-1,-7,-9,-2,3,1,1,1,1
0,2,-1,-1,0,-2,13,0,-1,15,10,2,2,1,0,0,1
0,2,1,1,0,2,-13,0,1,-15,-10,-2,-2,1,0,0,1
0,3,-1,-1,0,-2,-81,-71,-2,-3,0,-7,-5,1,0,0,1
0,3,1,1,0,2,81,71,2,3,0,7,5,1,0,0,1
0,3,-1,-1,0,-2,-85,-71,-2,-14,3,-2,-5,1,1,1,1
0,3,1,1,0,2,85,71,2,14,-3,2,5,1,1,1,1
0,3,-1,-1,1,-2,-79,-78,-2,6,1,-8,-4,0,1,1,0
0,3,1,1,1,2,79,78,2,-6,-1,8,4,0,1,1,0
