PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-17,-1,15,50,-65,144,-38,-10,35,12
1,0,1,17,1,-15,-50,65,-144,38,10,-35,-12
1,0,0,-17,-1,15,46,-57,130,-39,3,42,14
1,0,0,17,1,-15,-46,57,-130,39,-3,-42,-14
1,0,0,-17,-1,0,83,-13,124,-12,9,35,15
1,0,0,17,1,0,-83,13,-124,12,-9,-35,-15
1,0,0,-24,-1,-15,-110,-57,-212,-34,-53,-67,-7
1,0,0,24,1,15,110,57,212,34,53,67,7
1,0,0,-24,-1,-82,14,57,64,-32,-7,41,16
1,0,0,24,1,82,-14,-57,-64,32,7,-41,-16
1,1,0,-2,-1,0,-24,-47,-26,12,-29,-55,-5
1,1,0,2,1,0,24,47,26,-12,29,55,5
1,1,1,-2,-1,86,-13,-91,14,-2,-6,-19,1
1,1,1,2,1,-86,13,91,-14,2,6,19,-1
1,1,0,-2,-1,86,-120,-26,-173,8,-33,-75,-16
1,1,0,2,1,-86,120,26,173,-8,33,75,16
1,1,0,-2,-1,71,-2,-60,8,-2,-25,-45,-1
1,1,0,2,1,-71,2,60,-8,2,25,45,1
1,1,0,-22,-1,-74,24,39,64,-54,0,25,17
1,1,0,22,1,74,-24,-39,-64,54,0,-25,-17
1,2,1,-11,-1,-71,3,-24,-40,-35,-30,34,12
1,2,1,11,1,71,-3,24,40,35,30,-34,-12
1,2,0,-11,-1,0,-122,-24,-126,-35,-39,34,4
1,2,0,11,1,0,122,24,126,35,39,-34,-4
1,2,0,-11,-1,15,-23,15,34,-35,-6,25,5
1,2,0,11,1,-15,23,-15,-34,35,6,-25,-5
1,2,0,-2,-1,12,-16,-16,-50,-10,-4,-77,-8
1,2,0,2,1,-12,16,16,50,10,4,77,8
1,2,0,-11,-1,-154,13,-52,64,5,-21,54,17
1,2,0,11,1,154,-13,52,-64,-5,21,-54,-17
1,3,0,-13,-1,-35,-13,-40,0,-14,-24,-34,-2
1,3,0,13,1,35,13,40,0,14,24,34,2
1,3,0,-13,-1,-35,-30,-40,0,-16,-36,-17,2
1,3,0,13,1,35,30,40,0,16,36,17,-2
1,3,1,-13,-1,-32,-138,-40,-149,-14,-53,-10,-11
1,3,1,13,1,32,138,40,149,14,53,10,11
1,3,0,-13,-1,-35,-39,-1,0,-16,-38,-71,-1
1,3,0,13,1,35,39,1,0,16,38,71,1
1,3,0,-11,-1,-31,13,-52,20,-44,-22,9,13
1,3,0,11,1,31,-13,52,-20,44,22,-9,-13
1,4,0,-2,-1,79,-20,-131,15,9,-16,-74,-13
1,4,0,2,1,-79,20,131,-15,-9,16,74,13
1,4,1,-2,-1,-16,-20,-131,-84,-2,-21,-36,-12
1,4,1,2,1,16,20,131,84,2,21,36,12
1,4,0,-2,-1,-19,-20,-131,-84,-2,-40,-93,-13
1,4,0,2,1,19,20,131,84,2,40,93,13
1,4,0,-2,-1,-16,-20,-131,-67,6,-29,-64,-15
1,4,0,2,1,16,20,131,67,-6,29,64,15
1,4,0,-2,-1,-16,-45,-97,-81,-2,-31,-105,-21
1,4,0,2,1,16,45,97,81,2,31,105,21
1,5,0,-2,-1,97,-20,-131,15,-2,-12,-45,-5
1,5,0,2,1,-97,20,131,-15,2,12,45,5
1,5,0,-2,-1,-16,-20,-131,-84,0,-2,23,2
1,5,0,2,1,16,20,131,84,0,2,-23,-2
1,5,0,-2,-1,-19,-20,-131,-84,-2,-36,-45,-1
1,5,0,2,1,19,20,131,84,2,36,45,1
1,5,1,-2,-1,-16,-20,-131,-67,0,-14,10,-4
1,5,1,2,1,16,20,131,67,0,14,-10,4
1,5,0,-2,-1,-16,-45,-97,-81,-2,-13,-29,-3
1,5,0,2,1,16,45,97,81,2,13,29,3
1,6,0,-2,-1,97,-20,-131,15,30,-15,-60,-15
1,6,0,2,1,-97,20,131,-15,-30,15,60,15
1,6,0,-2,-1,-16,-20,-131,-67,8,-22,-57,-13
1,6,0,2,1,16,20,131,67,-8,22,57,13
1,6,0,-2,-1,-19,-20,-131,-67,0,-33,-47,-15
1,6,0,2,1,19,20,131,67,0,33,47,15
1,6,1,-2,-1,-16,-20,-131,-67,17,-23,-64,-14
1,6,1,2,1,16,20,131,67,-17,23,64,14
1,6,0,-2,-1,-16,14,-97,-81,-2,-15,-43,-4
1,6,0,2,1,16,-14,97,81,2,15,43,4
1,7,0,-2,-1,97,-20,-131,-26,19,-9,-64,-8
1,7,0,2,1,-97,20,131,26,-19,9,64,8
1,7,1,-2,-1,-16,-20,-131,-67,0,-19,-63,-9
1,7,1,2,1,16,20,131,67,0,19,63,9
1,7,0,-2,-1,-19,-20,-131,-67,10,-27,10,-10
1,7,0,2,1,19,20,131,67,-10,27,-10,10
1,7,0,-2,-1,-16,14,-97,-81,0,-17,-44,-11
1,7,0,2,1,16,-14,97,81,0,17,44,11
1,7,0,-19,-1,16,20,131,65,-19,16,67,8
1,7,0,19,1,-16,-20,-131,-65,19,-16,-67,-8
1,8,0,-2,-1,79,-20,-131,-26,-9,-18,-45,-9
1,8,0,2,1,-79,20,131,26,9,18,45,9
1,8,0,-2,-1,-16,-20,-131,-67,-19,-20,-36,-2
1,8,0,2,1,16,20,131,67,19,20,36,2
1,8,0,-2,-1,-19,-20,-131,-67,-19,-29,-45,-4
1,8,0,2,1,19,20,131,67,19,29,45,4
1,8,1,-2,-1,-16,14,-97,-81,0,-22,-62,-3
1,8,1,2,1,16,-14,97,81,0,22,62,3
1,8,0,-19,-1,16,20,131,65,0,22,62,7
1,8,0,19,1,-16,-20,-131,-65,0,-22,-62,-7
1,9,0,-2,-1,-41,-20,-18,-34,17,14,28,4
1,9,0,2,1,41,20,18,34,-17,-14,-28,-4
1,9,0,-2,-1,-44,-20,-18,-65,3,-2,-47,1
1,9,0,2,1,44,20,18,65,-3,2,47,-1
1,9,1,-2,-1,-47,-20,-18,-51,-2,-14,-45,4
1,9,1,2,1,47,20,18,51,2,14,45,-4
1,9,0,-3,-1,44,54,-19,65,-3,-2,7,-2
1,9,0,3,1,-44,-54,19,-65,3,2,-7,2
1,9,0,-16,-1,0,-34,37,-16,-16,5,-35,-2
1,9,0,16,1,0,34,-37,16,16,-5,35,2
1,10,0,-2,-1,84,-20,-18,-34,-2,21,-39,-1
1,10,0,2,1,-84,20,18,34,2,-21,39,1
1,10,0,-2,-1,0,-20,-18,-41,0,10,-37,-1
1,10,0,2,1,0,20,18,41,0,-10,37,1
1,10,1,-2,-1,0,-20,-18,-41,0,3,-7,1
1,10,1,2,1,0,20,18,41,0,-3,7,-1
1,10,0,-2,-1,0,-69,-56,-10,0,8,-28,-3
1,10,0,2,1,0,69,56,10,0,-8,28,3
1,10,0,-19,-1,0,20,18,39,-19,1,70,9
1,10,0,19,1,0,-20,-18,-39,19,-1,-70,-9
1,11,0,-2,-1,66,-20,-18,-34,8,13,37,-1
1,11,0,2,1,-66,20,18,34,-8,-13,-37,1
1,11,0,-2,-1,0,-20,-18,-41,-2,1,-10,-5
1,11,0,2,1,0,20,18,41,2,-1,10,5
1,11,0,-2,-1,0,-20,-18,-41,-2,-9,25,-1
1,11,0,2,1,0,20,18,41,2,9,-25,1
1,11,0,-2,-1,0,-69,-56,-41,-2,-4,-8,-4
1,11,0,2,1,0,69,56,41,2,4,8,4
1,11,1,-19,-1,0,20,18,26,-19,1,7,12
1,11,1,19,1,0,-20,-18,-26,19,-1,-7,-12
1,13,0,-11,-1,35,0,0,-38,-11,-16,31,7
1,13,0,11,1,-35,0,0,38,11,16,-31,-7
1,13,1,-11,-1,-32,0,0,-38,-11,-20,-2,7
1,13,1,11,1,32,0,0,38,11,20,2,-7
1,13,0,-11,-1,-32,0,0,-38,-11,-28,-24,-1
1,13,0,11,1,32,0,0,38,11,28,24,1
1,13,0,-11,-1,-110,0,0,-46,-11,-27,-31,0
1,13,0,11,1,110,0,0,46,11,27,31,0
1,13,0,-11,-1,-32,-49,-38,-38,-11,-45,-49,-5
1,13,0,11,1,32,49,38,38,11,45,49,5
1,14,0,-11,-1,35,0,0,-38,-11,-22,-21,4
1,14,0,11,1,-35,0,0,38,11,22,21,-4
1,14,0,-11,-1,-32,0,0,-38,-11,-19,-5,3
1,14,0,11,1,32,0,0,38,11,19,5,-3
1,14,0,-11,-1,-110,0,0,-46,-11,-21,0,6
1,14,0,11,1,110,0,0,46,11,21,0,-6
1,14,1,-11,-1,-32,-49,-38,-38,-11,-38,24,6
1,14,1,11,1,32,49,38,38,11,38,-24,-6
1,17,0,-13,-1,0,-8,-13,0,-13,10,80,16
1,17,0,13,1,0,8,13,0,13,-10,-80,-16
1,17,1,-13,-1,67,-8,-13,0,-13,6,41,13
1,17,1,13,1,-67,8,13,0,13,-6,-41,-13
1,17,0,-13,-1,-78,-8,-13,-8,-13,-10,-58,-6
