PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1501,0,0.0.0,0,582,0,27,0,27,0,0,27,27,0,0,0,1,1,220,244,220,244,1,1619,1619
1501,0,1.0.0,0,611,2,29,0,29,0,0,29,29,0,0,0,1,1,246,244,246,244,1,1619,1619
1501,0,2.0.0,0,582,0,18,0,18,0,0,18,18,0,0,0,1,1,203,244,203,244,1,1619,1619
1501,0,3.0.0,1,615,3,55,0,55,0,0,55,55,0,0,0,1,1,378,244,378,244,1,1619,1619
1501,0,4.0.0,0,584,1,25,0,25,0,0,25,25,0,0,0,1,1,205,244,205,244,1,1619,1619
1501,0,5.0.0,0,634,4,90,0,90,0,0,90,90,0,0,0,1,1,367,244,367,244,1,1619,1619
1501,1,0.0.55,0,625,1,27,55,82,0,55,82,82,0,0,0,1,2,220,189,220,244,2,1619,1564
1501,1,1.0.55,1,644,2,29,55,84,0,55,84,84,0,0,0,1,2,246,189,246,244,2,1619,1564
1501,1,2.0.55,0,615,0,18,55,73,0,55,73,73,0,0,0,1,2,203,189,203,244,2,1619,1564
1501,1,3.1.55,0,651,3,97,55,152,55,0,152,152,-55,55,55,2,1,323,297,378,297,2,1619,1564
1501,1,4.0.55,0,625,1,25,55,80,0,55,80,80,0,0,0,1,2,205,189,205,244,2,1619,1564
1501,1,5.0.55,0,669,4,90,55,145,0,55,145,145,0,0,0,1,2,367,189,367,244,2,1619,1564
1501,2,0.0.84,0,654,2,27,84,111,0,84,111,111,0,0,0,1,3,220,160,220,244,3,1619,1535
1501,2,1.1.84,0,670,3,66,84,150,84,0,150,150,-84,84,84,2,1,217,297,246,297,3,1619,1535
1501,2,2.0.84,1,644,0,18,84,102,0,84,102,102,0,0,0,1,3,203,160,203,244,3,1619,1535
1501,2,3.1.55,0,652,1,97,55,152,55,0,152,152,-55,55,55,2,1,323,297,378,297,3,1619,1535
1501,2,4.0.84,0,652,1,25,84,109,0,84,109,109,0,0,0,1,3,205,160,205,244,3,1619,1535
1501,2,5.0.84,0,679,4,90,84,174,0,84,174,174,0,0,0,1,3,367,160,367,244,3,1619,1535
1501,3,0.0.102,1,648,1,27,102,129,0,102,129,129,0,0,0,1,4,220,142,220,244,4,1619,1517
1501,3,1.1.84,0,670,4,66,84,150,84,0,150,150,-84,84,84,2,1,217,297,246,297,4,1619,1517
1501,3,2.1.102,0,644,0,1,102,103,102,0,103,103,-102,102,102,2,1,185,297,203,297,4,1619,1517
1501,3,3.1.55,0,656,2,97,55,152,55,0,152,152,-55,55,55,2,1,323,297,378,297,4,1619,1517
1501,3,4.0.102,0,644,0,25,102,127,0,102,127,127,0,0,0,1,4,205,142,205,244,4,1619,1517
1501,3,5.0.102,0,667,3,90,102,192,0,102,192,192,0,0,0,1,4,367,142,367,244,4,1619,1517
1501,4,0.1.129,0,648,0,7,129,136,129,0,136,136,-129,129,129,2,1,193,297,220,297,5,1619,1490
1501,4,1.1.84,0,670,2,66,84,150,84,0,150,150,-84,84,84,2,1,217,297,246,297,5,1619,1490
1501,4,2.1.102,0,648,0,1,102,103,102,0,103,129,-102,102,102,2,1,185,297,203,297,5,1619,1490
1501,4,3.1.55,0,666,1,97,55,152,55,0,152,152,-55,55,55,2,1,323,297,378,297,5,1619,1490
1501,4,4.0.129,1,648,0,25,129,154,0,129,154,154,0,0,0,1,5,205,115,205,244,5,1619,1490
1501,4,5.0.129,0,676,3,90,129,219,0,129,219,219,0,0,0,1,5,367,115,367,244,5,1619,1490
1501,5,0.1.129,0,648,0,7,129,136,129,0,136,154,-129,129,129,2,1,193,297,220,297,6,1619,1465
1501,5,1.1.84,0,670,2,66,84,150,84,0,150,154,-84,84,84,2,1,217,297,246,297,6,1619,1465
1501,5,2.1.102,0,648,0,1,102,103,102,0,103,154,-102,102,102,2,1,185,297,203,297,6,1619,1465
1501,5,3.1.55,0,666,1,97,55,152,55,0,152,154,-55,55,55,2,1,323,297,378,297,6,1619,1465
1501,5,4.1.154,0,648,0,37,154,191,154,0,191,191,-154,154,154,2,1,180,297,205,297,6,1619,1465
1501,5,5.0.154,1,648,0,90,154,244,0,154,244,244,0,0,0,1,6,367,90,367,244,6,1619,1465
1501,6,0.1.129,0,648,0,7,129,136,129,0,136,244,-129,129,129,2,1,193,297,220,297,7,1619,1375
1501,6,1.1.84,0,670,3,66,84,150,84,0,150,244,-84,84,84,2,1,217,297,246,297,7,1619,1375
1501,6,2.1.102,0,648,0,1,102,103,102,0,103,244,-102,102,102,2,1,185,297,203,297,7,1619,1375
1501,6,3.1.55,1,666,2,97,55,152,55,0,152,244,-55,55,55,2,1,323,297,378,297,7,1619,1375
1501,6,4.1.154,0,648,0,37,154,191,154,0,191,244,-154,154,154,2,1,180,297,205,297,7,1619,1375
1501,6,5.1.244,0,650,1,89,244,333,244,0,333,333,-244,244,244,2,1,277,297,367,297,7,1619,1375
1501,7,0.1.152,0,666,0,7,152,159,129,23,159,244,0,55,55,2,2,193,200,220,297,8,1619,1278
1501,7,1.1.152,0,683,1,66,152,218,84,68,218,244,0,55,55,2,2,217,200,246,297,8,1619,1278
1501,7,2.1.152,1,666,0,1,152,153,102,50,153,244,0,55,55,2,2,185,200,203,297,8,1619,1278
1501,7,3.2.152,0,683,1,87,152,239,152,0,239,244,-152,152,207,3,1,226,298,378,298,8,1619,1278
1501,7,4.1.154,0,666,0,37,154,191,154,0,191,244,-2,57,57,2,2,180,200,205,297,8,1619,1278
1501,7,5.1.244,0,666,0,89,244,333,244,0,333,333,-92,147,147,2,2,277,200,367,297,8,1619,1278
1501,8,0.1.153,1,666,0,7,153,160,129,24,160,244,0,55,55,2,3,193,199,220,297,9,1619,1277
1501,8,1.1.153,0,683,1,66,153,219,84,69,219,244,0,55,55,2,3,217,199,246,297,9,1619,1277
1501,8,2.2.153,0,694,2,91,153,244,153,0,244,244,-153,153,208,3,1,184,298,203,298,9,1619,1277
1501,8,3.2.152,0,683,1,87,152,239,152,0,239,244,-152,152,207,3,1,226,298,378,298,9,1619,1277
1501,8,4.1.154,0,666,0,37,154,191,154,0,191,244,-1,56,56,2,3,180,199,205,297,9,1619,1277
1501,8,5.1.244,0,666,0,89,244,333,244,0,333,333,-91,146,146,2,3,277,199,367,297,9,1619,1277
1501,9,0.2.160,0,692,2,82,160,242,160,0,242,244,-160,160,215,3,1,186,298,220,298,10,1619,1270
1501,9,1.1.160,1,683,1,66,160,226,84,76,226,244,0,55,55,2,4,217,192,246,297,10,1619,1270
1501,9,2.2.153,0,694,3,91,153,244,153,0,244,244,-153,153,208,3,1,184,298,203,298,10,1619,1270
1501,9,3.2.152,0,683,1,87,152,239,152,0,239,244,-152,152,207,3,1,226,298,378,298,10,1619,1270
1501,9,4.1.160,0,666,0,37,160,197,154,6,197,244,0,55,55,2,4,180,192,205,297,10,1619,1270
1501,9,5.1.244,0,666,0,89,244,333,244,0,333,333,-84,139,139,2,4,277,192,367,297,10,1619,1270
1501,10,0.2.160,0,695,1,82,160,242,160,0,242,244,-160,160,215,3,1,186,298,220,298,11,1619,1204
1501,10,1.2.226,0,725,3,22,226,248,226,0,248,248,-226,226,281,3,1,151,298,246,298,11,1619,1204
1501,10,2.2.153,0,696,2,91,153,244,153,0,244,244,-153,153,208,3,1,184,298,203,298,11,1619,1204
1501,10,3.2.152,0,683,0,87,152,239,152,0,239,244,-152,152,207,3,1,226,298,378,298,11,1619,1204
1501,10,4.1.226,1,683,0,37,226,263,154,72,263,263,0,55,55,2,5,180,126,205,297,11,1619,1204
1501,10,5.1.244,0,696,2,89,244,333,244,0,333,333,-18,73,73,2,5,277,126,367,297,11,1619,1204
1501,11,0.2.160,0,695,1,82,160,242,160,0,242,263,-160,160,215,3,1,186,298,220,298,12,1619,1167
1501,11,1.2.226,0,725,3,22,226,248,226,0,248,263,-226,226,281,3,1,151,298,246,298,12,1619,1167
1501,11,2.2.153,0,696,2,91,153,244,153,0,244,263,-153,153,208,3,1,184,298,203,298,12,1619,1167
1501,11,3.2.152,0,683,0,87,152,239,152,0,239,263,-152,152,207,3,1,226,298,378,298,12,1619,1167
1501,11,4.2.263,0,683,0,3,263,266,263,0,266,266,-263,263,318,3,1,143,298,205,298,12,1619,1167
1501,11,5.1.263,1,683,0,89,263,352,244,19,352,352,0,55,55,2,6,277,89,367,297,12,1619,1167
1501,12,0.2.160,0,695,1,82,160,242,160,0,242,352,-160,160,215,3,1,186,298,220,298,13,1619,1078
1501,12,1.2.226,0,725,3,22,226,248,226,0,248,352,-226,226,281,3,1,151,298,246,298,13,1619,1078
1501,12,2.2.153,0,696,2,91,153,244,153,0,244,352,-153,153,208,3,1,184,298,203,298,13,1619,1078
1501,12,3.2.152,1,683,0,87,152,239,152,0,239,352,-152,152,207,3,1,226,298,378,298,13,1619,1078
1501,12,4.2.263,0,683,0,3,263,266,263,0,266,352,-263,263,318,3,1,143,298,205,298,13,1619,1078
1501,12,5.2.352,0,683,0,13,352,365,352,0,365,365,-352,352,407,3,1,188,298,367,298,13,1619,1078
1501,13,0.2.239,0,696,1,82,239,321,160,79,321,352,0,152,207,3,2,186,211,220,298,14,1619,991
1501,13,1.2.239,1,683,0,22,239,261,226,13,261,352,0,152,207,3,2,151,211,246,298,14,1619,991
1501,13,2.2.239,0,705,2,91,239,330,153,86,330,352,0,152,207,3,2,184,211,203,298,14,1619,991
1501,13,3.3.239,0,683,0,59,239,298,239,0,298,352,-239,239,446,4,1,139,395,378,395,14,1619,991
1501,13,4.2.263,0,683,0,3,263,266,263,0,266,352,-24,176,231,3,2,143,211,205,298,14,1619,991
1501,13,5.2.352,0,683,0,13,352,365,352,0,365,365,-113,265,320,3,2,188,211,367,298,14,1619,991
1501,14,0.2.261,0,718,1,82,261,343,160,101,343,352,0,152,207,3,3,186,189,220,298,15,1619,969
1501,14,1.3.261,0,756,2,90,261,351,261,0,351,352,-261,261,468,4,1,129,395,246,395,15,1619,969
1501,14,2.2.261,0,718,1,91,261,352,153,108,352,352,0,152,207,3,3,184,189,203,298,15,1619,969
1501,14,3.3.239,0,683,0,59,239,298,239,0,298,352,-239,239,446,4,1,139,395,378,395,15,1619,969
1501,14,4.2.263,1,683,0,3,263,266,263,0,266,352,-2,154,209,3,3,143,189,205,298,15,1619,969
