PID,Step,Rank,ResultingOptMakespan,Followed,phi.proc,phi.startTime,phi.endTime,phi.jobOps,phi.arrival,phi.procTotal,phi.wait,phi.mac,phi.macOps,phi.macFree,phi.makespan,phi.step,phi.slotReduced,phi.slots,phi.slotsTotal,phi.wrmMac,phi.wrmJob,phi.wrmTotal
0,0,-1,-17,0,-60,0,-60,0,0,-106,0,0,0,-60,-60,0,0,0,0,0,-106,0
0,0,1,17,0,60,0,60,0,0,106,0,0,0,60,60,0,0,0,0,0,106,0
0,0,-1,-17,0,-40,0,-40,0,0,-127,0,0,0,-40,-40,0,0,0,0,0,-127,0
0,0,1,17,0,40,0,40,0,0,127,0,0,0,40,40,0,0,0,0,0,127,0
0,0,-1,-17,0,-46,0,-46,0,0,-165,0,0,0,-46,-46,0,0,0,0,0,-165,0
0,0,1,17,0,46,0,46,0,0,165,0,0,0,46,46,0,0,0,0,0,165,0
0,0,-1,-24,0,-8,0,-8,0,0,73,0,0,0,-8,-8,0,0,0,0,0,73,0
0,0,1,24,0,8,0,8,0,0,-73,0,0,0,8,8,0,0,0,0,0,-73,0
0,0,-1,-24,1,-8,0,-8,0,0,-33,0,0,0,-8,-8,0,0,0,0,0,-33,0
0,0,1,24,1,8,0,8,0,0,33,0,0,0,8,8,0,0,0,0,0,33,0
0,1,-1,-2,0,-6,0,-6,0,0,-38,0,0,0,-6,-6,0,0,0,0,0,-38,0
0,1,1,2,0,6,0,6,0,0,38,0,0,0,6,6,0,0,0,0,0,38,0
0,1,-1,-3,0,20,0,20,0,0,-21,0,0,0,20,20,0,0,0,0,0,-21,0
0,1,1,3,0,-20,0,-20,0,0,21,0,0,0,-20,-20,0,0,0,0,0,21,0
0,1,-1,-18,0,-56,0,-56,-1,-96,-66,96,-1,1,-56,-56,0,96,-96,-96,-121,30,0
0,1,1,18,0,56,0,56,1,96,66,-96,1,-1,56,56,0,-96,96,96,121,-30,0
0,1,-1,-4,0,-4,0,-4,1,96,-40,-96,1,-1,-4,-4,0,-96,96,96,121,-136,0
0,1,1,4,0,4,0,4,-1,-96,40,96,-1,1,4,4,0,96,-96,-96,-121,136,0
0,1,-1,-30,1,-8,0,-8,0,0,73,0,0,0,-8,-8,0,0,0,0,0,73,0
0,1,1,30,1,8,0,8,0,0,-73,0,0,0,8,8,0,0,0,0,0,-73,0
0,2,-1,-4,1,-4,-88,-92,1,96,-40,-184,1,-2,-92,-80,0,-96,96,96,209,-136,0
0,2,1,4,1,4,88,92,-1,-96,40,184,-1,2,92,80,0,96,-96,-96,-209,136,0
0,2,-1,-4,1,-9,0,-9,1,184,-73,-184,1,-2,-9,-9,0,-184,184,184,209,-161,0
0,2,1,4,1,9,0,9,-1,-184,73,184,-1,2,9,9,0,184,-184,-184,-209,161,0
0,2,-1,-4,1,-46,0,-46,0,0,-165,0,0,0,-46,-46,0,0,0,0,0,-165,0
0,2,1,4,1,46,0,46,0,0,165,0,0,0,46,46,0,0,0,0,0,165,0
0,2,-1,-1,1,60,0,60,0,0,106,0,0,0,60,60,0,0,0,0,0,106,0
0,2,1,1,1,-60,0,-60,0,0,-106,0,0,0,-60,-60,0,0,0,0,0,-106,0
0,2,-1,-1,1,40,0,40,0,0,127,0,0,0,40,40,0,0,0,0,0,127,0
0,2,1,1,1,-40,0,-40,0,0,-127,0,0,0,-40,-40,0,0,0,0,0,-127,0
0,3,-1,-9,1,36,-168,-132,1,96,87,-264,1,-3,-132,-40,0,-96,96,96,289,-9,0
0,3,1,9,1,-36,168,132,-1,-96,-87,264,-1,3,132,40,0,96,-96,-96,-289,9,0
0,3,-1,-9,0,31,-80,-49,1,184,54,-264,1,-3,-49,-40,0,-184,184,184,289,-34,0
0,3,1,9,0,-31,80,49,-1,-184,-54,264,-1,3,49,40,0,184,-184,-184,-289,34,0
0,3,-1,-9,0,-16,0,-16,1,264,127,-264,1,-3,-16,-16,0,-264,264,264,289,47,0
0,3,1,9,0,16,0,16,-1,-264,-127,264,-1,3,16,16,0,264,-264,-264,-289,-47,0
0,3,-1,-9,0,-6,0,-6,0,0,-38,0,0,0,-6,-6,0,0,0,0,0,-38,0
0,3,1,9,0,6,0,6,0,0,38,0,0,0,6,6,0,0,0,0,0,38,0
0,3,-1,-11,0,20,0,20,0,0,-21,0,0,0,20,20,0,0,0,0,0,-21,0
0,3,1,11,0,-20,0,-20,0,0,21,0,0,0,-20,-20,0,0,0,0,0,21,0
0,4,-1,-9,1,56,-92,-36,2,172,87,-264,2,-3,-36,-36,0,-172,172,172,105,-85,0
0,4,1,9,1,-56,92,36,-2,-172,-87,264,-2,3,36,36,0,172,-172,-172,-105,85,0
0,4,-1,-9,0,31,-80,-49,1,184,54,-264,1,-2,-49,-40,0,-12,108,12,213,-34,0
0,4,1,9,0,-31,80,49,-1,-184,-54,264,-1,2,49,40,0,12,-108,-12,-213,34,0
0,4,-1,-9,0,-16,0,-16,1,264,127,-264,1,-2,-16,-16,0,-92,188,92,213,47,0
0,4,1,9,0,16,0,16,-1,-264,-127,264,-1,2,16,16,0,92,-188,-92,-213,-47,0
0,4,-1,-9,0,-6,0,-6,0,0,-38,0,0,0,-6,-6,0,0,0,0,0,-38,0
0,4,1,9,0,6,0,6,0,0,38,0,0,0,6,6,0,0,0,0,0,38,0
0,4,-1,-11,0,20,0,20,0,0,-21,0,0,0,20,20,0,0,0,0,0,-21,0
0,4,1,11,0,-20,0,-20,0,0,21,0,0,0,-20,-20,0,0,0,0,0,21,0
0,5,-1,-9,1,42,-84,-42,-2,-84,-33,0,-2,1,-42,-29,0,256,-160,-256,12,147,0
0,5,1,9,1,-42,84,42,2,84,33,0,2,-1,42,29,0,-256,160,256,-12,-147,0
0,5,-1,-9,1,31,-80,-49,1,184,54,-264,1,-2,-49,-36,0,-12,108,12,213,-34,0
0,5,1,9,1,-31,80,49,-1,-184,-54,264,-1,2,49,36,0,12,-108,-12,-213,34,0
0,5,-1,-9,0,-5,-4,-9,-2,-4,40,0,-2,1,-9,-9,0,176,-80,-176,12,228,0
0,5,1,9,0,5,4,9,2,4,-40,0,2,-1,9,9,0,-176,80,176,-12,-228,0
0,5,-1,-9,0,5,-4,1,-3,-268,-125,264,-3,3,1,1,0,268,-268,-268,-201,143,0
0,5,1,9,0,-5,4,-1,3,268,125,-264,3,-3,-1,-1,0,-268,268,268,201,-143,0
0,5,-1,-11,0,9,4,13,3,268,66,-264,3,-3,13,13,0,-268,268,268,201,-202,0
0,5,1,11,0,-9,-4,-13,-3,-268,-66,264,-3,3,-13,-13,0,268,-268,-268,-201,202,0
0,6,-1,-9,0,-26,0,-26,-1,-13,-33,13,-1,1,-26,-26,0,268,-96,-268,-192,76,0
0,6,1,9,0,26,0,26,1,13,33,-13,1,-1,26,26,0,-268,96,268,192,-76,0
0,6,-1,-9,1,-37,4,-33,2,255,54,-251,2,-2,-33,-33,0,0,172,0,9,-105,0
0,6,1,9,1,37,-4,33,-2,-255,-54,251,-2,2,33,33,0,0,-172,0,-9,105,0
0,6,-1,-9,0,-5,-4,-9,-2,-4,40,0,-2,2,-9,-9,0,259,-151,-259,-59,228,0
0,6,1,9,0,5,4,9,2,4,-40,0,2,-2,9,9,0,-259,151,259,59,-228,0
0,6,-1,-9,0,5,-4,1,-3,-268,-125,264,-3,3,1,1,0,268,-268,-268,-201,143,0
0,6,1,9,0,-5,4,-1,3,268,125,-264,3,-3,-1,-1,0,-268,268,268,201,-143,0
0,6,-1,-11,0,9,4,13,3,268,66,-264,3,-3,13,13,0,-268,268,268,201,-202,0
0,6,1,11,0,-9,-4,-13,-3,-268,-66,264,-3,3,-13,-13,0,268,-268,-268,-201,202,0
0,13,-1,-56,1,-86,-39,-125,1,-39,-40,0,1,-1,-125,-12,0,-258,-10,258,70,-185,0
0,13,1,56,1,86,39,125,-1,39,40,0,-1,1,125,12,0,258,10,-258,-70,185,0
0,13,-1,-56,1,-93,-68,-161,-1,-81,-73,13,-1,1,-96,-12,0,42,-118,-42,-211,-80,0
0,13,1,56,1,93,68,161,1,81,73,-13,1,-1,96,12,0,-42,118,42,211,80,0
0,13,-1,-56,1,-76,2,-74,-3,-336,-106,338,-3,4,-74,-12,0,39,-307,-39,-246,46,0
0,13,1,56,1,76,-2,74,3,336,106,-338,3,-4,74,12,0,-39,307,39,246,-46,0
0,13,-1,-56,1,-81,40,-41,-1,40,-127,0,-1,1,-41,-12,0,-1,-75,1,-211,-87,0
0,13,1,56,1,81,-40,41,1,-40,127,0,1,-1,41,12,0,1,75,-1,211,87,0
0,13,-1,-56,1,-95,84,-11,-1,84,-165,0,-1,1,-11,-11,0,-45,-31,45,-211,-91,0
0,13,1,56,1,95,-84,11,1,-84,165,0,1,-1,11,11,0,45,31,-45,211,91,0
0,19,-1,-7,1,-46,-288,-334,0,-288,66,0,0,0,-110,-56,0,64,-64,-64,0,-46,0
0,19,1,7,1,46,288,334,0,288,-66,0,0,0,110,56,0,-64,64,64,0,46,0
0,19,-1,-7,1,-53,-317,-370,-2,-330,33,13,-2,2,-89,-56,0,57,-117,-57,-218,59,0
0,19,1,7,1,53,317,370,2,330,-33,-13,2,-2,89,56,0,-57,117,57,218,-59,0
0,19,-1,-7,1,-41,-209,-250,-2,-209,-21,0,-2,2,-89,-56,0,69,-129,-69,-218,52,0
0,19,1,7,1,41,209,250,2,209,21,0,2,-2,89,56,0,-69,129,69,218,-52,0
0,19,-1,-7,1,-55,-165,-220,-2,-165,-59,0,-2,2,-89,-56,0,55,-115,-55,-218,48,0
0,19,1,7,1,55,165,220,2,165,59,0,2,-2,89,56,0,-55,115,55,218,-48,0
0,25,-1,-3,1,-67,-25,-92,-1,149,-92,-174,-1,1,-33,0,0,-67,7,67,-123,-8,0
0,25,1,3,1,67,25,92,1,-149,92,174,1,-1,33,0,0,67,-7,-67,123,8,0
1,0,-1,-3,0,-7,0,-7,0,0,133,0,0,0,-7,-7,0,0,0,0,0,133,0
1,0,1,3,0,7,0,7,0,0,-133,0,0,0,7,7,0,0,0,0,0,-133,0
1,0,-1,-12,0,-29,0,-29,0,0,-30,0,0,0,-29,-29,0,0,0,0,0,-30,0
1,0,1,12,0,29,0,29,0,0,30,0,0,0,29,29,0,0,0,0,0,30,0
1,0,-1,-17,0,-25,0,-25,0,0,8,0,0,0,-25,-25,0,0,0,0,0,8,0
1,0,1,17,0,25,0,25,0,0,-8,0,0,0,25,25,0,0,0,0,0,-8,0
1,0,-1,-1,0,-1,0,-1,0,0,-93,0,0,0,-1,-1,0,0,0,0,0,-93,0
1,0,1,1,0,1,0,1,0,0,93,0,0,0,1,1,0,0,0,0,0,93,0
1,0,-1,-27,1,-27,0,-27,0,0,-12,0,0,0,-27,-27,0,0,0,0,0,-12,0
1,0,1,27,1,27,0,27,0,0,12,0,0,0,27,27,0,0,0,0,0,12,0
1,1,-1,-1,0,-1,0,-1,-1,-92,-127,92,-1,1,-1,-1,0,92,-92,-92,-107,-35,0
1,1,1,1,0,1,0,1,1,92,127,-92,1,-1,1,1,0,-92,92,92,107,35,0
1,1,-1,-1,0,8,0,8,1,92,-6,-92,1,-1,8,8,0,-92,92,92,107,-98,0
1,1,1,1,0,-8,0,-8,-1,-92,6,92,-1,1,-8,-8,0,92,-92,-92,-107,98,0
1,1,-1,-12,0,-36,0,-36,0,0,103,0,0,0,-36,-36,0,0,0,0,0,103,0
1,1,1,12,0,36,0,36,0,0,-103,0,0,0,36,36,0,0,0,0,0,-103,0
1,1,-1,-25,0,-25,0,-25,0,0,8,0,0,0,-25,-25,0,0,0,0,0,8,0
1,1,1,25,0,25,0,25,0,0,-8,0,0,0,25,25,0,0,0,0,0,-8,0
1,1,-1,-1,1,-1,0,-1,0,0,-93,0,0,0,-1,-1,0,0,0,0,0,-93,0
1,1,1,1,1,1,0,1,0,0,93,0,0,0,1,1,0,0,0,0,0,93,0
