PID,Step,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime
1001,0,0,-1,-1,-4,0,-4,0,0,-4,-4,0,0,0,0,0,0,0,0,0
1001,0,0,1,1,4,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0
1001,0,1,-1,-1,-4,0,-4,0,0,-4,-4,0,0,0,0,0,-7,0,-7,0
1001,0,1,1,1,4,0,4,0,0,4,4,0,0,0,0,0,7,0,7,0
1001,0,0,-1,-1,1,0,1,0,0,1,1,0,0,0,0,0,-12,0,-12,0
1001,0,0,1,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,12,0,12,0
1001,0,1,-2,-1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1001,0,1,2,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0
1001,0,0,-1,-1,3,0,3,0,0,3,3,0,0,0,0,0,5,0,5,0
1001,0,0,1,1,-3,0,-3,0,0,-3,-3,0,0,0,0,0,-5,0,-5,0
1001,1,0,-1,-1,4,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0
1001,1,0,1,1,-4,0,-4,0,0,-4,-4,0,0,0,0,0,0,0,0,0
1001,1,1,-1,-1,6,0,6,54,-54,6,6,-54,54,54,1,-1,-47,48,7,-6
1001,1,1,1,1,-6,0,-6,-54,54,-6,-6,54,-54,-54,-1,1,47,-48,-7,6
1001,1,0,-5,-1,-7,0,-7,0,0,-7,-7,0,0,0,0,0,-7,0,-7,0
1001,1,0,5,1,7,0,7,0,0,7,7,0,0,0,0,0,7,0,7,0
1001,1,0,-1,-1,4,0,4,0,0,4,4,0,0,0,0,0,-5,0,-5,0
1001,1,0,1,1,-4,0,-4,0,0,-4,-4,0,0,0,0,0,5,0,5,0
1001,1,0,-2,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,10,0,10,0
1001,1,0,2,1,1,0,1,0,0,1,1,0,0,0,0,0,-10,0,-10,0
1001,2,0,-1,-1,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
1001,2,0,1,1,-4,0,-4,0,0,-4,0,0,0,0,0,0,0,0,0,0
1001,2,1,-1,-1,-1,52,51,106,-54,51,45,-106,106,106,2,-1,-99,40,7,-14
1001,2,1,1,1,1,-52,-51,-106,54,-51,-45,106,-106,-106,-2,1,99,-40,-7,14
1001,2,0,-5,-1,-7,0,-7,0,0,-7,-1,0,0,0,0,0,-7,0,-7,0
1001,2,0,5,1,7,0,7,0,0,7,1,0,0,0,0,0,7,0,7,0
1001,2,0,-1,-1,4,0,4,0,0,4,1,0,0,0,0,0,-5,0,-5,0
1001,2,0,1,1,-4,0,-4,0,0,-4,-1,0,0,0,0,0,5,0,5,0
1001,2,0,-2,-1,-1,0,-1,0,0,-1,0,0,0,0,0,0,10,0,10,0
