PID,Step,Rank,ResultingOptMakespan,Followed,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT
0,0,-1,-1,0,48,-2,0,-44,18,-5,3,14,1,1,0,1
0,0,1,1,0,-48,2,0,44,-18,5,-3,-14,1,1,0,1
0,0,-1,-1,0,47,-1,0,3,-3,-6,16,9,1,0,1,1
0,0,1,1,0,-47,1,0,-3,3,6,-16,-9,1,0,1,1
0,0,-1,-1,0,-49,14,59,45,-4,5,-2,-7,0,1,1,1
0,0,1,1,0,49,-14,-59,-45,4,-5,2,7,0,1,1,1
0,0,-1,-2,0,44,-19,0,3,-11,-8,-94,-1,0,1,1,1
0,0,1,2,0,-44,19,0,-3,11,8,94,1,0,1,1,1
0,0,-1,-7,1,-44,7,-58,-49,-10,4,39,-38,1,1,1,0
0,0,1,7,1,44,-7,58,49,10,-4,-39,38,1,1,1,0
0,1,-1,-2,0,-92,0,0,-7,-13,-11,-20,-39,1,0,0,1
0,1,1,2,0,92,0,0,7,13,11,20,39,1,0,0,1
0,1,-1,-2,0,-48,-48,-90,-3,-12,-1,-6,-42,1,0,1,1
0,1,1,2,0,48,48,90,3,12,1,6,42,1,0,1,1
0,1,-1,-2,0,-92,50,87,4,4,-6,7,2,1,1,0,1
0,1,1,2,0,92,-50,-87,-4,-4,6,-7,-2,1,1,0,1
0,1,-1,-1,1,45,-46,-41,7,1,6,12,-3,1,1,0,0
0,1,1,1,1,-45,46,41,-7,-1,-6,-12,3,1,1,0,0
0,1,-1,-5,1,47,43,55,46,2,2,4,5,0,1,1,0
0,1,1,5,1,-47,-43,-55,-46,-2,-2,-4,-5,0,1,1,0
0,2,-1,-2,1,2,-48,42,-3,-6,-4,0,-6,1,1,1,0
0,2,1,2,1,-2,48,-42,3,6,4,0,6,1,1,1,0
0,2,-1,-2,0,2,-4,42,-3,-2,-3,5,-3,1,0,1,1
0,2,1,2,0,-2,4,-42,3,2,3,-5,3,1,0,1,1
0,2,-1,-2,0,-46,1,42,-45,0,3,56,-2,1,1,1,1
0,2,1,2,0,46,-1,-42,45,0,-3,-56,2,1,1,1,1
0,2,-1,-1,0,2,7,-42,-5,1,-6,-10,40,1,1,0,1
0,2,1,1,0,-2,-7,42,5,-1,6,10,-40,1,1,0,1
0,2,-1,-3,0,-4,-9,54,8,7,9,10,-26,0,1,0,1
0,2,1,3,0,4,9,-54,-8,-7,-9,-10,26,0,1,0,1
0,3,-1,-2,1,2,-48,-4,-3,-6,6,-2,-40,1,0,1,0
0,3,1,2,1,-2,48,4,3,6,-6,2,40,1,0,1,0
0,3,-1,-2,0,2,-4,42,-3,4,10,48,-35,1,1,1,1
0,3,1,2,0,-2,4,-42,3,-4,-10,-48,35,1,1,1,1
0,3,-1,-2,0,-46,1,42,-45,8,1,40,7,1,1,1,1
0,3,1,2,0,46,-1,-42,45,-8,-1,-40,-7,1,1,1,1
0,3,-1,-1,0,2,49,-42,-5,-10,-8,-34,37,1,1,0,1
0,3,1,1,0,-2,-49,42,5,10,8,34,-37,1,1,0,1
0,3,-1,-3,0,-4,-3,54,8,10,4,29,-3,0,1,0,1
0,3,1,3,0,4,3,-54,-8,-10,-4,-29,3,0,1,0,1
0,4,-1,-2,0,2,-48,-4,-3,1,5,47,-5,1,0,1,1
0,4,1,2,0,-2,48,4,3,-1,-5,-47,5,1,0,1,1
0,4,-1,-2,0,2,-48,-4,-3,-2,-2,0,-1,1,1,1,1
0,4,1,2,0,-2,48,4,3,2,2,0,1,1,1,1,1
0,4,-1,-2,0,-46,1,-4,-45,12,4,51,-7,1,1,1,1
0,4,1,2,0,46,-1,4,45,-12,-4,-51,7,1,1,1,1
0,4,-1,-1,0,2,49,4,-5,-16,-7,-51,-36,1,1,0,1
0,4,1,1,0,-2,-49,-4,5,16,7,51,36,1,1,0,1
0,4,-1,-3,1,-4,-3,54,8,15,8,50,37,0,1,0,0
0,4,1,3,1,4,3,-54,-8,-15,-8,-50,-37,0,1,0,0
0,15,-1,-37,1,-2,0,0,0,-3,-3,0,0,1,0,1,0
0,15,1,37,1,2,0,0,0,3,3,0,0,1,0,1,0
0,15,-1,-37,1,-2,0,0,-49,-8,-5,-10,0,1,1,0,0
0,15,1,37,1,2,0,0,49,8,5,10,0,1,1,0,0
0,15,-1,-37,1,-2,0,0,0,-2,-1,0,2,1,1,1,0
0,15,1,37,1,2,0,0,0,2,1,0,-2,1,1,1,0
0,15,-1,-37,1,-2,0,0,0,8,4,0,0,0,1,1,0
0,15,1,37,1,2,0,0,0,-8,-4,0,0,0,1,1,0
0,15,-1,-37,1,-2,0,0,3,-3,3,-9,3,1,1,1,0
0,15,1,37,1,2,0,0,-3,3,-3,9,-3,1,1,1,0
0,18,-1,-49,1,0,0,-44,0,-11,7,0,-49,1,0,1,0
0,18,1,49,1,0,0,44,0,11,-7,0,49,1,0,1,0
0,18,-1,-49,1,0,-49,-44,4,-21,12,0,-49,0,1,0,0
0,18,1,49,1,0,49,44,-4,21,-12,0,49,0,1,0,0
0,18,-1,-49,1,0,6,-44,0,-19,5,-9,-49,1,1,1,0
0,18,1,49,1,0,-6,44,0,19,-5,9,49,1,1,1,0
0,18,-1,-49,1,0,3,-44,3,-20,10,0,-49,1,1,1,0
0,18,1,49,1,0,-3,44,-3,20,-10,0,49,1,1,1,0
1,0,-1,-1,0,94,14,0,8,-10,0,6,-10,1,0,0,1
1,0,1,1,0,-94,-14,0,-8,10,0,-6,10,1,0,0,1
1,0,-1,-1,0,40,0,0,-2,-9,4,27,-18,1,0,1,1
