PID,Step,Dispatch,Followed,ResultingOptMakespan,sdr.MWR,sdr.LWR,sdr.SPT,sdr.LPT,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmean,phi.RNDstd,phi.RNDmax,phi.RNDmin,Rank
1,0,0.0.0,0,518,0,0,0,1,612,523,619,613,617,36,707,561,4
1,0,1.0.0,0,511,0,0,0,0,568,530,561,564,601,36,668,514,3
1,0,2.0.0,0,507,0,0,1,0,611,523,620,568,599,34,665,509,0
1,0,3.0.0,0,508,0,0,0,0,563,525,620,612,591,36,697,511,1
1,0,4.0.0,0,509,1,0,0,0,612,511,561,567,590,35,664,514,2
1,0,5.0.0,1,507,0,1,0,0,610,524,620,615,586,41,713,511,0
1,1,0.0.48,0,517,0,0,0,1,610,522,619,615,597,39,715,521,3
1,1,1.0.48,0,510,0,0,0,0,566,529,561,566,581,39,668,512,2
1,1,2.0.48,0,508,0,0,1,0,609,524,620,615,611,42,742,518,1
1,1,3.0.48,0,508,0,0,0,0,559,524,620,617,584,33,700,508,1
1,1,4.0.48,0,507,1,0,0,0,610,511,561,566,575,27,623,507,0
1,1,5.1.48,1,507,0,1,0,0,610,524,620,615,581,41,669,511,0
1,2,0.0.48,0,517,0,0,0,1,610,522,619,615,597,32,699,517,3
1,2,1.0.48,0,510,0,0,0,0,566,529,561,566,584,39,677,512,2
1,2,2.0.48,0,508,0,0,0,0,609,524,620,566,586,37,697,508,1
1,2,3.0.48,0,508,0,0,0,0,559,524,620,617,570,40,666,508,1
1,2,4.0.48,0,507,1,0,0,0,610,511,561,566,569,27,624,507,0
1,2,5.2.97,1,507,0,1,1,0,610,524,620,615,581,35,663,508,0
1,3,0.0.48,0,517,0,0,0,1,610,522,619,615,603,36,673,519,3
1,3,1.0.48,0,510,0,0,0,0,566,529,561,566,583,36,705,512,2
1,3,2.0.48,0,508,0,0,1,0,609,524,620,566,585,36,663,508,1
1,3,3.0.48,0,508,0,0,0,0,559,524,620,567,567,39,667,508,1
1,3,4.0.48,0,507,1,0,0,0,610,511,561,566,574,31,652,511,0
1,3,5.3.142,1,507,0,1,0,0,610,524,620,615,580,37,703,508,0
1,4,0.0.48,0,517,0,0,0,1,610,522,619,615,595,37,672,517,3
1,4,1.0.48,0,510,0,0,0,0,566,529,561,566,583,37,701,512,2
1,4,2.0.48,0,508,0,0,1,0,609,524,620,566,591,36,673,508,1
1,4,3.0.48,0,508,0,0,0,0,559,524,620,567,569,37,673,508,1
1,4,4.0.48,0,507,1,0,0,0,610,511,561,566,571,34,660,511,0
1,4,5.4.193,1,507,0,1,0,0,610,524,620,615,585,40,707,508,0
1,5,0.0.48,0,517,0,0,0,1,610,522,619,615,600,34,711,519,3
1,5,1.0.48,0,510,0,0,0,0,566,529,561,566,578,35,671,512,2
1,5,2.0.48,0,508,0,0,1,0,609,524,620,566,591,41,674,508,1
1,5,3.0.48,1,508,0,1,0,0,559,524,620,567,568,33,650,508,1
1,5,4.0.48,0,507,1,0,0,0,610,511,561,566,569,29,655,507,0
1,6,0.0.97,0,517,0,0,0,1,605,519,619,567,581,38,708,517,1
1,6,1.0.97,0,508,0,0,0,0,514,526,561,569,554,42,711,508,0
1,6,2.0.97,0,508,0,0,1,0,558,524,620,613,594,38,710,508,0
1,6,3.1.97,1,508,0,1,0,0,559,524,620,567,558,32,624,508,0
1,6,4.0.97,0,508,1,0,0,0,559,508,561,513,555,32,624,508,0
1,7,0.0.97,0,517,0,0,0,1,605,519,619,567,575,31,653,517,1
