PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
1,0,0.0.0,0,429,0,26,0,26,0,0,26,26,0,0,0,1,1,139,104,139,104,1,916,916
1,0,1.0.0,1,429,0,18,0,18,0,0,18,18,0,0,0,1,1,272,104,272,104,1,916,916
1,0,2.0.0,0,429,0,20,0,20,0,0,20,20,0,0,0,1,1,251,104,251,104,1,916,916
1,0,3.3.0,0,429,0,13,0,13,0,0,13,13,0,0,0,1,1,254,169,254,169,1,916,916
1,1,0.0.18,0,429,0,26,18,44,0,18,44,44,0,0,0,1,2,139,86,139,104,2,916,898
1,1,1.1.18,1,429,0,86,18,104,18,0,104,104,-18,18,18,2,1,254,217,272,217,2,916,898
1,1,2.0.18,0,429,0,20,18,38,0,18,38,38,0,0,0,1,2,251,86,251,104,2,916,898
1,1,3.3.0,0,429,0,13,0,13,0,0,13,18,0,0,0,1,1,254,169,254,169,2,916,898
1,2,0.0.18,0,429,0,26,18,44,0,18,44,104,0,0,18,1,2,139,86,139,104,3,916,812
1,2,1.2.104,0,429,0,16,104,120,104,0,120,120,-104,104,122,3,1,168,105,272,105,3,916,812
1,2,2.0.18,0,429,0,20,18,38,0,18,38,104,0,0,18,1,2,251,86,251,104,3,916,812
1,2,3.3.0,1,429,0,13,0,13,0,0,13,104,0,0,18,1,1,254,169,254,169,3,916,812
1,3,0.0.18,0,429,0,26,18,44,0,18,44,104,0,0,18,1,2,139,86,139,104,4,916,799
1,3,1.2.104,0,429,0,16,104,120,104,0,120,120,-104,104,122,3,1,168,105,272,105,4,916,799
1,3,2.0.18,1,429,0,20,18,38,0,18,38,104,0,0,18,1,2,251,86,251,104,4,916,799
1,3,3.2.13,0,429,0,55,13,68,13,0,68,104,-13,13,31,2,1,241,105,254,105,4,916,799
1,4,0.0.38,0,429,0,26,38,64,0,38,64,104,0,0,18,1,3,139,66,139,104,5,916,779
1,4,1.2.104,0,429,0,16,104,120,104,0,120,120,-104,104,122,3,1,168,105,272,105,5,916,779
1,4,2.2.38,0,457,1,3,38,41,38,0,41,104,-38,38,56,2,1,231,105,251,105,5,916,779
1,4,3.2.13,1,429,0,55,13,68,13,0,68,104,-13,13,31,2,1,241,105,254,105,5,916,779
1,5,0.0.38,0,429,0,26,38,64,0,38,64,104,0,0,31,1,3,139,66,139,104,6,916,724
1,5,1.2.104,0,429,0,16,104,120,104,0,120,120,-36,49,67,3,2,168,50,272,105,6,916,724
1,5,2.2.68,1,429,0,3,68,71,38,30,71,104,0,13,31,2,2,231,50,251,105,6,916,724
