PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,0.2.0,0,546,3,622,721,656,591,559,651,768,47
1,0,1.2.0,1,500,1,624,665,656,625,520,641,781,47
1,0,2.1.0,0,497,0,656,721,656,625,544,651,761,47
1,0,3.2.0,0,497,0,621,736,656,625,531,640,750,48
1,0,4.3.0,0,520,2,611,721,656,667,571,662,750,42
1,0,5.3.0,0,520,2,529,582,651,625,565,644,753,44
1,1,0.2.3,0,520,1,566,665,656,594,566,646,738,41
1,1,1.4.3,0,500,0,624,753,656,625,550,634,735,44
1,1,2.1.0,0,500,0,531,665,656,625,572,653,769,44
1,1,3.2.3,1,500,0,624,680,656,625,560,640,768,45
1,1,4.3.0,0,520,1,598,665,656,667,568,659,759,38
1,1,5.3.0,0,520,1,529,610,624,625,520,636,749,42
1,2,0.2.18,0,500,0,624,680,656,585,544,640,783,51
1,2,1.4.3,0,500,0,560,768,656,625,550,625,728,38
1,2,2.1.0,0,500,0,531,680,656,625,531,635,782,48
1,2,3.3.18,0,500,0,624,573,590,615,510,604,727,40
1,2,4.3.0,1,520,1,611,680,656,667,575,648,768,45
1,2,5.3.0,0,520,1,529,625,624,625,529,625,735,43
1,3,0.2.18,1,520,0,598,680,656,618,564,662,792,43
1,3,1.4.3,0,520,0,598,768,656,567,550,645,777,44
1,3,2.1.0,0,520,0,605,680,656,689,574,655,807,50
1,3,3.3.96,0,520,0,598,690,656,620,580,654,768,40
1,3,4.0.96,0,546,1,643,661,656,636,572,648,741,40
1,3,5.3.96,0,520,0,667,680,656,667,563,644,805,43
1,4,0.0.114,0,599,3,651,680,662,662,611,686,817,36
1,4,1.4.3,1,520,0,611,768,656,618,563,667,817,47
1,4,2.1.0,0,520,0,583,680,656,602,572,666,805,48
1,4,3.3.96,0,520,0,598,690,656,705,582,657,768,43
1,4,4.0.96,0,546,2,663,661,656,657,571,655,753,38
1,4,5.3.96,0,535,1,631,680,656,618,577,657,751,41
1,5,0.0.114,0,599,3,651,768,662,662,621,704,805,40
1,5,1.0.47,0,520,0,650,701,607,618,542,637,726,40
1,5,2.1.0,1,520,0,583,768,656,602,563,651,771,49
1,5,3.3.96,0,520,0,598,741,656,654,559,666,796,46
1,5,4.0.96,0,546,2,643,661,656,662,580,656,736,39
1,5,5.3.96,0,535,1,667,768,656,618,566,658,793,45
1,6,0.0.114,0,599,3,611,768,662,662,621,707,817,45
1,6,1.0.47,0,520,0,535,701,607,602,542,639,750,41
1,6,2.2.114,0,520,0,583,768,656,602,574,651,767,43
1,6,3.3.96,1,520,0,583,741,656,639,549,658,792,49
1,6,4.0.96,0,546,2,569,661,656,657,571,650,782,44
1,6,5.3.96,0,535,1,631,768,656,593,555,655,810,52
1,7,0.0.114,0,599,3,611,741,662,662,599,698,817,44
1,7,1.0.47,0,520,0,535,674,607,602,535,636,738,44
1,7,2.2.114,1,520,0,583,741,656,639,550,638,750,45
1,7,3.0.109,0,559,2,583,696,669,639,559,644,708,36
1,7,4.0.96,0,546,1,569,672,656,657,551,648,748,43
1,7,5.3.109,0,520,0,598,741,656,654,560,648,770,40
1,8,0.0.114,0,599,4,611,741,662,662,599,684,805,46
1,8,1.0.47,1,520,0,535,674,607,602,557,629,755,36
1,8,2.0.150,0,535,1,583,665,602,639,535,626,729,38
1,8,3.0.109,0,559,3,583,696,669,639,582,648,744,37
1,8,4.0.96,0,546,2,569,672,656,657,567,641,749,39
1,8,5.3.109,0,520,0,583,741,656,639,560,644,799,50
1,9,0.0.135,0,582,3,625,674,641,683,582,659,750,37
1,9,1.1.135,0,520,0,535,674,607,602,559,635,746,41
1,9,2.0.150,0,535,1,535,665,602,602,535,622,729,40
1,9,3.0.135,0,520,0,614,634,624,621,520,613,726,33
1,9,4.0.135,0,542,2,614,628,607,596,555,613,715,37
1,9,5.3.109,1,520,0,629,674,607,602,535,634,750,41
1,10,0.0.135,0,582,4,651,674,641,683,582,651,756,40
