PID,Step,Followed,ResultingOptMakespan,Rank,phi.MWR,phi.LWR,phi.SPT,phi.LPT,phi.RNDmin,phi.RNDmean,phi.RNDmax,phi.RNDstd
1,0,1,-3,-1,32,56,0,0,24,10,-20,0
1,0,1,3,1,-32,-56,0,0,-24,-10,20,0
1,0,1,-3,-1,-3,71,0,0,11,-1,-31,1
1,0,1,3,1,3,-71,0,0,-11,1,31,-1
1,0,1,-20,-1,13,-56,0,-42,-51,-21,31,5
1,0,1,20,1,-13,56,0,42,51,21,-31,-5
1,0,1,-20,-1,95,83,5,0,-45,-3,28,3
1,0,1,20,1,-95,-83,-5,0,45,3,-28,-3
1,0,0,-26,-1,-11,0,0,76,12,11,-18,-5
1,0,0,26,1,11,0,0,-76,-12,-11,18,5
1,1,0,-20,-1,58,88,0,31,-16,-12,-3,3
1,1,0,20,1,-58,-88,0,-31,16,12,3,-3
1,1,0,-20,-1,26,88,0,-42,-18,-25,-24,6
1,1,0,20,1,-26,-88,0,42,18,25,24,-6
1,1,0,-20,-1,95,143,32,0,30,-2,-14,2
1,1,0,20,1,-95,-143,-32,0,-30,2,14,-2
1,1,0,-20,-1,-35,0,0,31,6,7,31,3
1,1,0,20,1,35,0,0,-31,-6,-7,-31,-3
1,1,1,-20,-1,58,15,0,31,-6,-6,30,4
1,1,1,20,1,-58,-15,0,-31,6,6,-30,-4
1,2,1,-20,-1,13,0,0,-82,-31,-8,15,6
1,2,1,20,1,-13,0,0,82,31,8,-15,-6
1,2,0,-20,-1,95,55,32,-40,15,15,48,8
1,2,0,20,1,-95,-55,-32,40,-15,-15,-48,-8
1,2,1,-20,-1,-51,88,0,-42,-25,-23,-40,-7
1,2,1,20,1,51,-88,0,42,25,23,40,7
1,2,1,-20,-1,-80,0,0,-42,-44,-13,14,3
1,2,1,20,1,80,0,0,42,44,13,-14,-3
1,2,1,-20,-1,13,-107,-66,-52,-65,-44,-41,-5
1,2,1,20,1,-13,107,66,52,65,44,41,5
