PID,Step,Dispatch,Followed,ResultingOptMakespan,Rank,phi.proc,phi.startTime,phi.endTime,phi.arrival,phi.wait,phi.macFree,phi.makespan,phi.reducedSlack,phi.macSlack,phi.allSlack,phi.jobOps,phi.macOps,phi.jobWrm,phi.macWrm,phi.jobTotProcTime,phi.macTotProcTime,xi.step,xi.totProcTime,xi.totWrm
2501,0,0.1.0,0,499,0,92,0,92,0,0,92,92,0,0,0,1,1,292,468,292,468,1,1747,1747
2501,0,1.1.0,0,502,1,95,0,95,0,0,95,95,0,0,0,1,1,326,468,326,468,1,1747,1747
2501,0,2.0.0,0,499,0,82,0,82,0,0,82,82,0,0,0,1,1,276,399,276,399,1,1747,1747
2501,0,3.4.0,0,513,2,80,0,80,0,0,80,80,0,0,0,1,1,220,317,220,317,1,1747,1747
2501,0,4.4.0,0,499,0,97,0,97,0,0,97,97,0,0,0,1,1,274,317,274,317,1,1747,1747
2501,0,5.3.0,1,499,0,97,0,97,0,0,97,97,0,0,0,1,1,359,265,359,265,1,1747,1747
2501,1,0.1.0,0,499,0,92,0,92,0,0,92,97,0,0,0,1,1,292,468,292,468,2,1747,1650
2501,1,1.1.0,0,502,1,95,0,95,0,0,95,97,0,0,0,1,1,326,468,326,468,2,1747,1650
2501,1,2.0.0,0,499,0,82,0,82,0,0,82,97,0,0,0,1,1,276,399,276,399,2,1747,1650
2501,1,3.4.0,0,513,2,80,0,80,0,0,80,97,0,0,0,1,1,220,317,220,317,2,1747,1650
2501,1,4.4.0,1,499,0,97,0,97,0,0,97,97,0,0,0,1,1,274,317,274,317,2,1747,1650
2501,1,5.4.97,0,499,0,28,97,125,97,0,125,125,-97,97,97,2,1,262,317,359,317,2,1747,1650
2501,2,0.1.0,0,499,0,92,0,92,0,0,92,97,0,0,0,1,1,292,468,292,468,3,1747,1553
2501,2,1.1.0,0,502,1,95,0,95,0,0,95,97,0,0,0,1,1,326,468,326,468,3,1747,1553
2501,2,2.0.0,0,499,0,82,0,82,0,0,82,97,0,0,0,1,1,276,399,276,399,3,1747,1553
2501,2,3.4.97,1,515,2,80,97,177,0,97,177,177,0,0,0,1,2,220,220,220,317,3,1747,1553
2501,2,4.0.97,0,499,0,21,97,118,97,0,118,118,-97,97,97,2,1,177,399,274,399,3,1747,1553
2501,2,5.4.97,0,499,0,28,97,125,97,0,125,125,0,0,0,2,2,262,220,359,317,3,1747,1553
2501,3,0.1.0,0,515,0,92,0,92,0,0,92,177,0,0,0,1,1,292,468,292,468,4,1747,1473
2501,3,1.1.0,0,539,1,95,0,95,0,0,95,177,0,0,0,1,1,326,468,326,468,4,1747,1473
2501,3,2.0.0,0,515,0,82,0,82,0,0,82,177,0,0,0,1,1,276,399,276,399,4,1747,1473
2501,3,3.1.177,0,550,2,48,177,225,177,0,225,225,-177,177,177,2,1,140,468,220,468,4,1747,1473
2501,3,4.0.97,0,515,0,21,97,118,97,0,118,177,-97,97,97,2,1,177,399,274,399,4,1747,1473
2501,3,5.4.177,1,515,0,28,177,205,97,80,205,205,0,0,0,2,3,262,140,359,317,4,1747,1473
2501,4,0.1.0,0,515,0,92,0,92,0,0,92,205,0,0,0,1,1,292,468,292,468,5,1747,1445
2501,4,1.1.0,0,539,1,95,0,95,0,0,95,205,0,0,0,1,1,326,468,326,468,5,1747,1445
2501,4,2.0.0,1,515,0,82,0,82,0,0,82,205,0,0,0,1,1,276,399,276,399,5,1747,1445
2501,4,3.1.177,0,550,2,48,177,225,177,0,225,225,-177,177,177,2,1,140,468,220,468,5,1747,1445
2501,4,4.0.97,0,515,0,21,97,118,97,0,118,205,-97,97,97,2,1,177,399,274,399,5,1747,1445
2501,4,5.0.205,0,568,3,95,205,300,205,0,300,300,-205,205,205,3,1,234,399,359,399,5,1747,1445
2501,5,0.1.0,0,515,0,92,0,92,0,0,92,205,0,0,0,1,1,292,468,292,468,6,1747,1363
2501,5,1.1.0,0,539,1,95,0,95,0,0,95,205,0,0,0,1,1,326,468,326,468,6,1747,1363
2501,5,2.4.205,1,515,0,36,205,241,82,123,241,241,0,0,0,2,4,194,112,276,317,6,1747,1363
2501,5,3.1.177,0,550,2,48,177,225,177,0,225,225,-177,177,177,2,1,140,468,220,468,6,1747,1363
2501,5,4.0.97,0,515,0,21,97,118,97,0,118,205,-15,15,15,2,2,177,317,274,399,6,1747,1363
2501,5,5.0.205,0,568,3,95,205,300,205,0,300,300,-123,123,123,3,2,234,317,359,399,6,1747,1363
2501,6,0.1.0,0,515,0,92,0,92,0,0,92,241,0,0,0,1,1,292,468,292,468,7,1747,1327
2501,6,1.1.0,0,539,2,95,0,95,0,0,95,241,0,0,0,1,1,326,468,326,468,7,1747,1327
2501,6,2.2.241,0,533,1,61,241,302,241,0,302,302,-241,241,241,3,1,158,298,276,298,7,1747,1327
2501,6,3.1.177,0,550,3,48,177,225,177,0,225,241,-177,177,177,2,1,140,468,220,468,7,1747,1327
2501,6,4.0.97,1,515,0,21,97,118,97,0,118,241,-15,15,15,2,2,177,317,274,399,7,1747,1327
2501,6,5.0.205,0,568,4,95,205,300,205,0,300,300,-123,123,123,3,2,234,317,359,399,7,1747,1327
2501,7,0.1.0,0,515,0,92,0,92,0,0,92,241,0,0,15,1,1,292,468,292,468,8,1747,1306
2501,7,1.1.0,0,539,2,95,0,95,0,0,95,241,0,0,15,1,1,326,468,326,468,8,1747,1306
2501,7,2.2.241,0,533,1,61,241,302,241,0,302,302,-241,241,256,3,1,158,298,276,298,8,1747,1306
2501,7,3.1.177,0,550,3,48,177,225,177,0,225,241,-177,177,192,2,1,140,468,220,468,8,1747,1306
2501,7,4.2.118,1,568,4,72,118,190,118,0,190,241,-118,118,133,3,1,156,298,274,298,8,1747,1306
2501,7,5.0.205,0,568,4,95,205,300,205,0,300,300,-87,102,102,3,3,234,296,359,399,8,1747,1306
2501,8,0.1.0,0,568,0,92,0,92,0,0,92,241,0,0,133,1,1,292,468,292,468,9,1747,1234
2501,8,1.1.0,1,568,0,95,0,95,0,0,95,241,0,0,133,1,1,326,468,326,468,9,1747,1234
2501,8,2.2.241,0,568,0,61,241,302,241,0,302,302,-51,169,184,3,2,158,226,276,298,9,1747,1234
